quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	2	1	.G.V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
4	4.0	1	1	1	1	4/2	2	1	vi	IV6	G	I		vi	vi							m	0	0	3, 0, 4		3	3
8	2.0	2	2	0	0	4/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
10	2.0	2	2	1/2	1/2	4/2	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	2.0	2	2	1	1	4/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
14	1.0	2	2	3/2	3/2	4/2	2	1	IV6/IV		G	I		IV6/IV	IV		6		IV			M	0	0	2, -1, -2		-2	2
15	1.0	2	2	7/4	7/4	4/2	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	1.0	3	3	0	0	4/2	2	1	V6(4)/IV		G	I		V6(4)/IV	V		6	4	IV			M	0	0	-1, 1, 0		0	-1
17	3.0	3	3	1/4	1/4	4/2	2	1	V6/IV		G	I		V6/IV	V		6		IV			M	0	0	4, 1, 0		0	4
20	4.0	3	3	1	1	4/2	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
24	1.0	4	4	0	0	4/2	2	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
25	1.0	4	4	1/4	1/4	4/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
26	3.0	4	4	1/2	1/2	4/2	2	1	I}{		G	I		I	I						}{	M	0	0	0, 4, 1		0	0
29	1.0	4	4	5/4	5/4	4/2	2	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
30	1.0	4	4	3/2	3/2	4/2	2	1	IV/IV		G	I		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
31	1.0	4	4	7/4	7/4	4/2	2	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
32	1.0	5	5	0	0	4/2	2	1	ii7/IV		G	I		ii7/IV	ii		7		IV			mm7	0	0	1, -2, 2, -1		1	1
33	1.0	5	5	1/4	1/4	4/2	2	1	V43/IV		G	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
34	2.0	5	5	1/2	1/2	4/2	2	1	IV}		G	I		IV	IV						}	M	0	0	-1, 3, 0		-1	-1
36	3.0	5	5	1	1	4/2	2	1	I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
39	1.0	5	5	7/4	7/4	4/2	2	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
40	4.0	6	6	0	0	4/2	2	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
44	2.0	6	6	1	1	4/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
46	1.0	6	6	3/2	3/2	4/2	2	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
