mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/2	1	1	i{					i	i							{	m	0, -3, 1		0	0
1	1	4	2.0	1	1	4/2	1	1	V6					V6	V		6						M	5, 2, 1		1	5
1	1	6	2.0	3/2	3/2	4/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
2	2	8	2.0	0	0	4/2	1	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
2	2	10	2.0	1/2	1/2	4/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
2	2	12	2.0	1	1	4/2	1	1	V					V	V								M	1, 5, 2		1	1
2	2	14	2.0	3/2	3/2	4/2	1	1	v					v	v								m	1, -2, 2		1	1
3	3	16	2.0	0	0	4/2	1	1	IV					IV	IV								M	-1, 3, 0		-1	-1
3	3	18	2.0	1/2	1/2	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
3	3	20	4.0	1	1	4/2	1	1	III					III	III								M	-3, 1, -2		-3	-3
4	4	24	4.0	0	0	4/2	1	1	ii%65	ii65				ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
4	4	28	2.0	1	1	4/2	1	1	v(64)					v(64)	v			64					m	1, 0, -3		1	1
4	4	30	6.0	3/2	3/2	4/2	1	1	v					v	v								m	1, -2, 2		1	1
5	5	36	1.0	1	1	4/2	1	1	VII					VII	VII								M	-2, 2, -1		-2	-2
5	5	37	2.0	5/4	5/4	4/2	1	1	ii					ii	ii								m	2, -1, 3		2	2
5	5	39	1.0	7/4	7/4	4/2	1	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
6	6	40	2.0	0	0	4/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
6	6	42	2.0	1/2	1/2	4/2	1	1	I					I	I								M	0, 4, 1		0	0
6	6	44	2.0	1	1	4/2	1	1	#viio6					#viio6	#vii	o	6						o	2, -1, 5		5	2
6	6	46	2.0	3/2	3/2	4/2	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
7	7	48	2.0	0	0	4/2	1	1	IV					IV	IV								M	-1, 3, 0		-1	-1
7	7	50	2.0	1/2	1/2	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
7	7	52	2.0	1	1	4/2	1	1	III	i6				III	III								M	-3, 1, -2		-3	-3
7	7	54	2.0	3/2	3/2	4/2	1	1	i					i	i								m	0, -3, 1		0	0
8	8	56	2.0	0	0	4/2	1	1	V6					V6	V		6						M	5, 2, 1		1	5
8	8	58	2.0	1/2	1/2	4/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
8	8	60	2.0	1	1	4/2	1	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
8	8	62	2.0	3/2	3/2	4/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
9	9	64	2.0	0	0	4/2	1	1	V					V	V								M	1, 5, 2		1	1
9	9	66	2.0	1/2	1/2	4/2	1	1	v					v	v								m	1, -2, 2		1	1
9	9	68	2.0	1	1	4/2	1	1	i7					i7	i		7						mm7	0, -3, 1, -2		0	0
9	9	70	2.0	3/2	3/2	4/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
10	10	72	2.0	0	0	2/2	1	1	V7/III					V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
10	10	74	2.0	1/2	1/2	2/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
11	11	76	2.0	0	0	4/2	1	1	iv6(2)					iv6(2)	iv		6	2					m	-4, 0, 1		-1	-4
11	11	78	2.0	1/2	1/2	4/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
11	11	80	1.0	1	1	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
11	11	81	1.0	5/4	5/4	4/2	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
11	11	82	1.0	3/2	3/2	4/2	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
11	11	83	1.0	7/4	7/4	4/2	1	1	i					i	i								m	0, -3, 1		0	0
12	12	84	2.0	0	0	4/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
12	12	86	2.0	1/2	1/2	4/2	1	1	i					i	i								m	0, -3, 1		0	0
12	12	88	4.0	1	1	4/2	1	1	I					I	I								M	0, 4, 1		0	0
13	13	92	2.0	0	0	4/2	1	1	IV					IV	IV								M	-1, 3, 0		-1	-1
13	13	94	2.0	1/2	1/2	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
13	13	96	1.0	1	1	4/2	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
13	13	97	1.0	5/4	5/4	4/2	1	1	ii%65					ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
13	13	98	1.0	3/2	3/2	4/2	1	1	i					i	i								m	0, -3, 1		0	0
13	13	99	1.0	7/4	7/4	4/2	1	1	V64(+4)					V64(+4)	V		64	+4					M	2, 1, 5	0	1	2
14	14	100	1.0	0	0	4/2	1	1	I					I	I								M	0, 4, 1		0	0
14	14	101	2.0	1/4	1/4	4/2	1	1	I(4)					I(4)	I			4					M	0, -1, 1		0	0
14	14	103	5.0	3/4	3/4	4/2	1	1	I}					I	I							}	M	0, 4, 1		0	0
