quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
2	1.0	1	1	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
3	1.0	1	1	3/4	3/4	4/4	1	1	VI	iv6				VI	VI								M	-4, 0, -3		-4	-4
4	3.0	2	2	0	0	4/4	1	1	i					i	i								m	0, -3, 1		0	0
7	1.0	2	2	3/4	3/4	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
8	1.0	3	3	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
9	1.0	3	3	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
10	2.0	3	3	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
12	1.5	4	4	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
27/2	0.5	4	4	3/8	3/8	4/4	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
14	1.0	4	4	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
15	1.0	4	4	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
16	2.0	5	5	0	0	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
18	0.5	5	5	1/2	1/2	4/4	1	1	VI6(2)					VI6(2)	VI		6	2					M	0, -3, -2		-4	0
37/2	1.0	5	5	5/8	5/8	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
39/2	0.5	5	5	7/8	7/8	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
20	1.0	6	6	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
21	1.0	6	6	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
22	2.0	6	6	1/2	1/2	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
24	1.0	7	7	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
25	1.0	7	7	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
26	1.0	7	7	1/2	1/2	4/4	1	1	ii%65/iv					ii%65/iv	ii	%	65		iv				%7	-2, -5, -1, 1		1	-2
27	1.0	7	7	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
28	2.0	8	8	0	0	4/4	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
30	1.0	8	8	1/2	1/2	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
31	1.0	8	8	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
32	1.0	9	9	0	0	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
33	2.0	9	9	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
35	1.0	9	9	3/4	3/4	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
36	1.0	10	10	0	0	4/4	1	1	iv(4)					iv(4)	iv			4					m	-1, -2, 0		-1	-1
37	1.0	10	10	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
38	1.0	10	10	1/2	1/2	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
39	1.0	10	10	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
40	1.0	11	11	0	0	4/4	1	1	i64(4)					i64(4)	i		64	4					m	1, 0, -1		0	1
41	1.0	11	11	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
42	1.0	11	11	1/2	1/2	4/4	1	1	V7/vii					V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
43	1.0	11	11	3/4	3/4	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
44	1.0	12	12	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
45	1.0	12	12	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
46	1.0	12	12	1/2	1/2	4/4	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
47	1.0	12	12	3/4	3/4	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
48	1.5	13	13	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
99/2	1.5	13	13	3/8	3/8	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
51	1.0	13	13	3/4	3/4	4/4	1	1	I					I	I								M	0, 4, 1		0	0
52	2.0	14	14	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
54	2.0	14	14	1/2	1/2	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
56	1.0	15	15	0	0	4/4	1	1	V7/iv					V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
57	2.0	15	15	1/4	1/4	4/4	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
59	1.0	15	15	3/4	3/4	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
60	1.0	16	16	0	0	8/4	1	1	I(4)					I(4)	I			4					M	0, -1, 1		0	0
61	1.0	16	16	1/4	1/4	8/4	1	1	I					I	I								M	0, 4, 1		0	0
62	0.5	16	16	1/2	1/2	8/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
125/2	1.5	16	16	5/8	5/8	8/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
64	1.0	16	16	1	1	8/4	1	1	I(64)}					I(64)	I			64				}	M	0, -1, -4		0	0
65	3.0	16	16	5/4	5/4	8/4	1	1	I					I	I								M	0, 4, 1		0	0
68	3.0	17	17	0	0	3/2	1	1	i{					i	i							{	m	0, -3, 1		0	0
71	6.0	17	17	3/4	3/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
77	2.0	18	18	3/4	3/4	3/2	1	1	i					i	i								m	0, -3, 1		0	0
79	1.0	18	18	5/4	5/4	3/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
80	3.0	19	19	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
83	2.0	19	19	3/4	3/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
85	1.0	19	19	5/4	5/4	3/2	1	1	iv6/iv					iv6/iv	iv		6		iv				m	-5, -1, -2		-2	-5
86	1.0	20	20	0	0	3/2	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
87	4.0	20	20	1/4	1/4	3/2	1	1	V7/iv					V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
91	1.0	20	20	5/4	5/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
92	2.0	21	21	0	0	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
94	1.0	21	21	1/2	1/2	3/2	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
95	2.0	21	21	3/4	3/4	3/2	1	1	i					i	i								m	0, -3, 1		0	0
97	1.0	21	21	5/4	5/4	3/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
98	2.0	22	22	0	0	3/2	1	1	II					II	II								M	2, 6, 3		2	2
100	1.0	22	22	1/2	1/2	3/2	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
101	1.0	22	22	3/4	3/4	3/2	1	1	i6					i6	i		6						m	-3, 1, 0		0	-3
102	2.0	22	22	1	1	3/2	1	1	III					III	III								M	-3, 1, -2		-3	-3
104	3.0	23	23	0	0	3/2	1	1	iv(4)					iv(4)	iv			4					m	-1, -2, 0		-1	-1
107	2.0	23	23	3/4	3/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
109	1.0	23	23	5/4	5/4	3/2	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
110	2.0	24	24	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
112	1.0	24	24	1/2	1/2	3/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
113	2.0	24	24	3/4	3/4	3/2	1	1	i					i	i								m	0, -3, 1		0	0
115	1.0	24	24	5/4	5/4	3/2	1	1	#vii%7/vii					#vii%7/vii	#vii	%	7		vii				%7	3, 0, -3, 1		3	3
116	2.0	25	25	0	0	3/2	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
118	1.0	25	25	1/2	1/2	3/2	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
119	2.0	25	25	3/4	3/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
121	1.0	25	25	5/4	5/4	3/2	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
122	2.0	26	26	0	0	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
124	1.0	26	26	1/2	1/2	3/2	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
125	2.0	26	26	3/4	3/4	3/2	1	1	V(4)/iv					V(4)/iv	V			4	iv				M	0, -1, 1		0	0
127	1.0	26	26	5/4	5/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
128	2.0	27	27	0	0	3/2	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
130	1.0	27	27	1/2	1/2	3/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
131	2.0	27	27	3/4	3/4	3/2	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
