mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6.0	0	0	4/2	1	1	d.v{	d	i		v	v						{	m	1	1	1, -2, 2		1	1
1	1	6	6	2.0	3/2	3/2	4/2	1	1	V6/v	d	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
2	2	8	8	2.0	0	0	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
2	2	10	10	2.0	1/2	1/2	4/2	1	1	v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	12	12	2.0	1	1	4/2	1	1	IV6(2)	d	i		IV6(2)	IV		6	2				M	1	1	3, 0, 1		-1	3
2	2	14	14	2.0	3/2	3/2	4/2	1	1	IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
3	3	16	16	2.0	0	0	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	18	18	2.0	1/2	1/2	4/2	1	1	IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
3	3	20	20	2.0	1	1	4/2	1	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
3	3	22	22	2.0	3/2	3/2	4/2	1	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
4	4	24	24	2.0	0	0	4/2	1	1	ii%65/v	d	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
4	4	26	26	2.0	1/2	1/2	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
4	4	28	28	2.0	1	1	4/2	1	1	VI/v	d	i		VI/v	VI				v			M	1	1	-3, 1, -2		-3	-3
4	4	30	30	2.0	3/2	3/2	4/2	1	1	v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	5	32	32	2.0	0	0	4/2	1	1	ii%65/v	d	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
5	5	34	34	2.0	1/2	1/2	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
5	5	36	36	4.0	1	1	4/2	1	1	v}{	d	i		v	v						}{	m	1	1	1, -2, 2		1	1
6	6	40	40	2.0	0	0	4/2	1	1	ii%2/v	d	i		ii%2/v	ii	%	2		v			%7	1	1	1, 3, 0, -3		3	1
6	6	42	42	2.0	1/2	1/2	4/2	1	1	ii6	d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
6	6	44	44	2.0	1	1	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	46	46	2.0	3/2	3/2	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	48	48	2.0	0	0	4/2	1	1	ii(64)	d	i		ii(64)	ii			64				m	1	1	2, 1, -2		2	2
7	7	50	50	2.0	1/2	1/2	4/2	1	1	ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
7	7	52	52	2.0	1	1	4/2	1	1	IV/VII	d	i		IV/VII	IV				VII			M	1	1	-3, 1, -2		-3	-3
7	7	54	54	1.0	3/2	3/2	4/2	1	1	V(4)/VII	d	i		V(4)/VII	V			4	VII			M	1	1	-1, -2, 0		-1	-1
7	7	55	55	1.0	7/4	7/4	4/2	1	1	V/VII	d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
8	8	56	56	2.0	0	0	4/2	1	1	VII}	d	i		VII	VII						}	M	1	1	-2, 2, -1		-2	-2
8	8	58	58	2.0	1/2	1/2	4/2	1	1	v{	d	i		v	v						{	m	1	1	1, -2, 2		1	1
8	8	60	60	2.0	1	1	4/2	1	1	#viio(2)/v	d	i		#viio(2)/v	#vii	o		2	v			o	1	1	1, 3, 0		6	1
8	8	62	62	2.0	3/2	3/2	4/2	1	1	#viio/v	d	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
9	9	64	64	2.0	0	0	4/2	1	1	v}	d	i		v	v						}	m	1	1	1, -2, 2		1	1
9	9	66	66	2.0	1/2	1/2	4/2	1	1	VII6{	d	i		VII6	VII		6				{	M	1	1	2, -1, -2		-2	2
9	9	68	68	2.0	1	1	4/2	1	1	iii/VII	d	i		iii/VII	iii				VII			m	1	1	2, -1, 3		2	2
9	9	70	70	2.0	3/2	3/2	4/2	1	1	viio6/VII	d	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
10	10	72	72	2.0	0	0	4/2	1	1	VII}	d	i		VII	VII						}	M	1	1	-2, 2, -1		-2	-2
10	10	74	74	2.0	1/2	1/2	4/2	1	1	v{	d	i		v	v						{	m	1	1	1, -2, 2		1	1
10	10	76	76	2.0	1	1	4/2	1	1	#viio6(2)/v	d	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	3, 0, 1		6	3
10	10	78	78	2.0	3/2	3/2	4/2	1	1	#viio6/v	d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
11	11	80	80	2.0	0	0	4/2	1	1	v(6)}{	d	i		v(6)	v			6			}{	m	1	1	1, -2, -3		1	1
11	11	82	82	2.0	1/2	1/2	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
11	11	84	84	2.0	1	1	4/2	1	1	iio6(2)/v	d	i		iio6(2)/v	ii	o	6	2	v			o	1	1	0, -3, -2		3	0
11	11	86	86	2.0	3/2	3/2	4/2	1	1	iio6/v	d	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
12	12	88	88	2.0	0	0	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
12	12	90	90	4.0	1/2	1/2	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	94	94	2.0	3/2	3/2	4/2	1	1	V6	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
13	13	96	96	2.0	0	0	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
13	13	98	98	2.0	1/2	1/2	4/2	1	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
13	13	100	100	2.0	1	1	4/2	1	1	ii(64)	d	i		ii(64)	ii			64				m	1	1	2, 1, -2		2	2
13	13	102	102	2.0	3/2	3/2	4/2	1	1	ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
14	14	104	104	2.0	0	0	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	106	106	2.0	1/2	1/2	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
14	14	108	108	2.0	1	1	4/2	1	1	#viio6(2)	d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
14	14	110	110	2.0	3/2	3/2	4/2	1	1	#viio6	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
15	15	112	112	4.0	0	0	4/2	1	1	i}	d	i		i	i						}	m	1	1	0, -3, 1		0	0
15	15	114	114	0.0	1/2	1/2	4/2	1	1	{	d	i									{		1	1				
15	15	116	116	2.0	1	1	4/2	1	1	V65/VII	d	i		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3
15	15	118	118	2.0	3/2	3/2	4/2	1	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
16	16	120	120	1.0	0	0	4/2	1	1	i(9)	d	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
16	16	121	121	3.0	1/4	1/4	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
16	16	124	124	2.0	1	1	4/2	1	1	viio6(2)/V	d	i		viio6(2)/V	vii	o	6	2	V			o	1	1	3, 0, 1		6	3
16	16	126	126	2.0	3/2	3/2	4/2	1	1	viio6/V	d	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3
