quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	10.0	1	1	0	0	4/2	2	1	.d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
10	2.0	2	2	1/2	1/2	4/2	2	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
12	2.0	2	2	1	1	4/2	2	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
14	2.0	2	2	3/2	3/2	4/2	2	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
16	2.0	3	3	0	0	4/2	2	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	2.0	3	3	1/2	1/2	4/2	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
20	2.0	3	3	1	1	4/2	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
22	2.0	3	3	3/2	3/2	4/2	2	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
24	4.0	4	4	0	0	4/2	2	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
28	2.0	4	4	1	1	4/2	2	1	III	i6	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
30	2.0	4	4	3/2	3/2	4/2	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
32	2.0	5	5	0	0	4/2	2	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
34	2.0	5	5	1/2	1/2	4/2	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
36	2.0	5	5	1	1	4/2	2	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
38	4.0	5	5	3/2	3/2	4/2	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
42	2.0	6	6	1/2	1/2	4/2	2	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
44	2.0	6	6	1	1	4/2	2	1	ii%65/v		d	i		ii%65/v	ii	%	65		v			%7	1	1	0, -3, 1, 3		3	0
46	2.0	6	6	3/2	3/2	4/2	2	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
48	2.0	7	7	0	0	4/2	2	1	VI/v}{		d	i		VI/v	VI				v		}{	M	1	1	-3, 1, -2		-3	-3
50	4.0	7	7	1/2	1/2	4/2	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
54	2.0	7	7	3/2	3/2	4/2	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
56	4.0	8	8	0	0	4/2	2	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
60	2.0	8	8	1	1	4/2	2	1	iv65		d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
62	2.0	8	8	3/2	3/2	4/2	2	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
64	2.0	9	9	0	0	4/2	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
66	4.0	9	9	1/2	1/2	4/2	2	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
70	2.0	9	9	3/2	3/2	4/2	2	1	V6/III		d	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
72	4.0	10	10	0	0	4/2	2	1	III}{		d	i		III	III						}{	M	1	1	-3, 1, -2		-3	-3
76	2.0	10	10	1	1	4/2	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
78	4.0	10	10	3/2	3/2	4/2	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
82	2.0	11	11	1/2	1/2	4/2	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
84	2.0	11	11	1	1	4/2	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
86	2.0	11	11	3/2	3/2	4/2	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
88	8.0	12	12	0	0	4/2	2	1	I}		d	i		I	I						}	M	1	1	0, 4, 1		0	0
