mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor
1	1	0	0	4	0	0	4/2	1	1	.e.i{	e.phrygian	i		i	i						{	m	1	1
1	1	4	4	2	1	1	4/2	1	1	v(64)	e.phrygian	i		v(64)	v			64				m	1	1
1	1	6	6	2	3/2	3/2	4/2	1	1	v	e.phrygian	i		v	v							m	1	1
2	2	8	8	2	0	0	4/2	1	1	#vi2	e.phrygian	i		#vi2	#vi		2					mm7	1	1
2	2	10	10	2	1/2	1/2	4/2	1	1	#ii6	e.phrygian	i		#ii6	#ii		6					m	1	1
2	2	12	12	2	1	1	4/2	1	1	v7	e.phrygian	i		v7	v		7					mm7	1	1
2	2	14	14	2	3/2	3/2	4/2	1	1	IV6/vii	e.phrygian	i		IV6/vii	IV		6		vii			M	1	1
3	3	16	16	2	0	0	4/2	1	1	V7/vii	e.phrygian	i		V7/vii	V		7		vii			Mm7	1	1
3	3	18	18	2	1/2	1/2	4/2	1	1	V(64)/vii	e.phrygian	i		V(64)/vii	V			64	vii			M	1	1
3	3	20	20	2	1	1	4/2	1	1	ii%65/vii	e.phrygian	i		ii%65/vii	ii	%	65		vii			%7	1	1
3	3	22	22	2	3/2	3/2	4/2	1	1	#ii/III	e.phrygian	i		#ii/III	#ii				III			m	1	1
4	4	24	24	2	0	0	4/2	1	1	V7/III	e.phrygian	i		V7/III	V		7		III			Mm7	1	1
4	4	26	26	2	1/2	1/2	4/2	1	1	III	e.phrygian	i		III	III							M	1	1
4	4	28	28	2	1	1	4/2	1	1	iv[V7/VII	e.phrygian	i	iv	V7/VII	V		7		VII			Mm7	1	1
4	4	30	30	2	3/2	3/2	4/2	1	1	VII64	e.phrygian	i	iv	VII64	VII		64					M	1	1
5	5	32	32	2	0	0	4/2	1	1	IV6/VI	e.phrygian	i	iv	IV6/VI	IV		6		VI			M	1	1
5	5	34	34	2	1/2	1/2	4/2	1	1	iii6/VI	e.phrygian	i	iv	iii6/VI	iii		6		VI			m	1	1
5	5	36	36	2	1	1	4/2	1	1	IVM65/VI]	e.phrygian	i	iv	IVM65/VI	IV	M	65		VI			MM7	1	1
5	5	38	38	2	3/2	3/2	4/2	1	1	viio/VI	e.phrygian	i		viio/VI	vii	o			VI			o	1	1
6	6	40	40	2	0	0	4/2	1	1	VI	e.phrygian	i		VI	VI							M	1	1
6	6	42	42	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
6	6	44	44	2	1	1	4/2	1	1	V(4)/iv	e.phrygian	i		V(4)/iv	V			4	iv			M	1	1
6	6	46	46	2	3/2	3/2	4/2	1	1	V/iv	e.phrygian	i		V/iv	V				iv			M	1	1
7	7	48	48	6	0	0	4/2	1	1	IV}{	e.phrygian	i		IV	IV						}{	M	1	1
7	7	54	54	2	3/2	3/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
8	8	56	56	2	0	0	4/2	1	1	III	e.phrygian	i		III	III							M	1	1
8	8	58	58	2	1/2	1/2	4/2	1	1	iii	e.phrygian	i		iii	iii							m	1	1
8	8	60	60	2	1	1	4/2	1	1	II	e.phrygian	i		II	II							M	1	1
8	8	62	62	2	3/2	3/2	4/2	1	1	II6	e.phrygian	i		II6	II		6					M	1	1
9	9	64	64	2	0	0	4/2	1	1	IV6	e.phrygian	i		IV6	IV		6					M	1	1
9	9	66	66	2	1/2	1/2	4/2	1	1	iv6	e.phrygian	i		iv6	iv		6					m	1	1
9	9	68	68	2	1	1	4/2	1	1	III6	e.phrygian	i		III6	III		6					M	1	1
9	9	70	70	2	3/2	3/2	4/2	1	1	iii6	e.phrygian	i		iii6	iii		6					m	1	1
10	10	72	72	2	0	0	4/2	1	1	iv(b2)	e.phrygian	i		iv(b2)	iv			b2				m	1	1
10	10	74	74	2	1/2	1/2	4/2	1	1	iv	e.phrygian	i		iv	iv							m	1	1
10	10	76	76	2	1	1	4/2	1	1	#viio(2)/iv	e.phrygian	i		#viio(2)/iv	#vii	o		2	iv			o	1	1
10	10	78	78	2	3/2	3/2	4/2	1	1	V/iv	e.phrygian	i		V/iv	V				iv			M	1	1
