quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	4/2	1	1	.d.i[i{	d	i	i	i	i							{	m	1	1	0, -3, 1		0	0
2	1.0	1	1	1/2	1/2	4/2	1	1	VI6	d	i		VI6	VI		6						M	1	1	0, -3, -4		-4	0
3	0.5	1	1	3/4	3/4	4/2	1	1	III64	d	i		III64	III		64						M	1	1	-2, -3, 1		-3	-2
7/2	0.5	1	1	7/8	7/8	4/2	1	1	v6	d	i		v6	v		6						m	1	1	-2, 2, 1		1	-2
4	1.0	1	1	1	1	4/2	1	1	iv64(2)	d	i		iv64(2)	iv		64	2					m	1	1	0, 1, -4		-1	0
5	1.0	1	1	5/4	5/4	4/2	1	1	iv64]	d	i		iv64	iv		64			]			m	1	1	0, -1, -4		-1	0
6	1.0	1	1	3/2	3/2	4/2	1	1	V65/III	d	i		V65/III	V		65		III				Mm7	1	1	2, -1, -4, -2		-2	2
7	1.0	1	1	7/4	7/4	4/2	1	1	V6/III	d	i		V6/III	V		6		III				M	1	1	2, -1, -2		-2	2
8	1.0	2	2	0	0	4/2	1	1	III(9)	d	i		III(9)	III			9					M	1	1	-3, 1, -2	-1	-3	-3
9	1.0	2	2	1/4	1/4	4/2	1	1	i6	d	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
10	1.0	2	2	1/2	1/2	4/2	1	1	V(64)	d	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
11	1.0	2	2	3/4	3/4	4/2	1	1	V7	d	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
12	1.0	2	2	1	1	4/2	1	1	VI	d	i		VI	VI								M	1	1	-4, 0, -3		-4	-4
13	1.0	2	2	5/4	5/4	4/2	1	1	iv6	d	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
14	1.0	2	2	3/2	3/2	4/2	1	1	VI	d	i		VI	VI								M	1	1	-4, 0, -3		-4	-4
15	1.0	2	2	7/4	7/4	4/2	1	1	iv6	d	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
16	1.0	3	3	0	0	4/2	1	1	V7/III	d	i		V7/III	V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
17	1.0	3	3	1/4	1/4	4/2	1	1	V(64)/III	d	i		V(64)/III	V			64	III				M	1	1	-2, -3, 1		-2	-2
18	1.0	3	3	1/2	1/2	4/2	1	1	V(4)/III	d	i		V(4)/III	V			4	III				M	1	1	-2, -3, -1		-2	-2
19	1.0	3	3	3/4	3/4	4/2	1	1	V/III	d	i		V/III	V				III				M	1	1	-2, 2, -1		-2	-2
20	1.0	3	3	1	1	4/2	1	1	V2/IV	d	i		V2/IV	V		2		IV				Mm7	1	1	-2, 0, 4, 1		0	-2
21	1.0	3	3	5/4	5/4	4/2	1	1	IV6	d	i		IV6	IV		6						M	1	1	3, 0, -1		-1	3
22	1.0	3	3	3/2	3/2	4/2	1	1	V6(11#2)	d	i		V6(11#2)	V		6	11#2					M	1	1	3, 2, 1	0	1	3
23	1.0	3	3	7/4	7/4	4/2	1	1	V6	d	i		V6	V		6						M	1	1	5, 2, 1		1	5
