quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	1	1	.d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
4	4.0	1	1	1	1	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
8	2.0	2	2	0	0	4/2	1	1	I6(2)	d	i		I6(2)	I		6	2				M	1	1	4, 1, 2		0	4
10	2.0	2	2	1/2	1/2	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	1.0	2	2	1	1	4/2	1	1	VII6(2)	d	i		VII6(2)	VII		6	2				M	1	1	2, -1, 0		-2	2
13	3.0	2	2	5/4	5/4	4/2	1	1	VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
16	3.0	3	3	0	0	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
19	1.0	3	3	3/4	3/4	4/2	1	1	III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
20	1.0	3	3	1	1	4/2	1	1	V(4)/III	d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
21	3.0	3	3	5/4	5/4	4/2	1	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
24	2.0	4	4	0	0	4/2	1	1	IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
26	2.0	4	4	1/2	1/2	4/2	1	1	IV	d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
28	2.0	4	4	1	1	4/2	1	1	ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
30	2.0	4	4	3/2	3/2	4/2	1	1	#viio6	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
32	2.0	5	5	0	0	4/2	1	1	#vi	d	i		#vi	#vi							m	1	1	3, 0, 4		3	3
34	2.0	5	5	1/2	1/2	4/2	1	1	ii6	d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
36	2.0	5	5	1	1	4/2	1	1	V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
38	2.0	5	5	3/2	3/2	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
40	4.0	6	6	0	0	4/2	1	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
44	4.0	6	6	1	1	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
48	1.0	7	7	0	0	4/2	1	1	i6(2)	d	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
49	3.0	7	7	1/4	1/4	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
52	8.0	7	7	1	1	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
60	1.0	8	8	1	1	4/2	1	1	v(4)	d	i		v(4)	v			4				m	1	1	1, 0, 2		1	1
61	3.0	8	8	5/4	5/4	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
64	2.0	9	9	0	0	4/2	1	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
66	2.0	9	9	1/2	1/2	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
68	2.0	9	9	1	1	4/2	1	1	ii(2)	d	i		ii(2)	ii			2				m	1	1	-3, -1, 3		2	-3
70	2.0	9	9	3/2	3/2	4/2	1	1	ii	d	i		ii	ii							m	1	1	2, -1, 3		2	2
72	1.0	10	10	0	0	4/2	1	1	i6(2)	d	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
73	3.0	10	10	1/4	1/4	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
76	4.0	10	10	1	1	4/2	1	1	v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
80	1.0	11	11	0	0	4/2	1	1	IV6(2)	d	i		IV6(2)	IV		6	2				M	1	1	3, 0, 1		-1	3
81	3.0	11	11	1/4	1/4	4/2	1	1	IV6	d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
