quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
4	1.0	1	1	1	1	4/2	2	1	V(6)/iv					V(6)/iv	V			6	iv				M	0, 4, -4		0	0
5	1.0	1	1	5/4	5/4	4/2	2	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
6	1.0	1	1	3/2	3/2	4/2	2	1	V7(4)/iv					V7(4)/iv	V		7	4	iv				Mm7	0, -1, 1, -2		0	0
7	1.0	1	1	7/4	7/4	4/2	2	1	V7/iv					V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
8	2.0	2	2	0	0	4/2	2	1	VI/iv					VI/iv	VI				iv				M	-5, -1, -4		-5	-5
10	4.0	2	2	1/2	1/2	4/2	2	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
14	2.0	2	2	3/2	3/2	4/2	2	1	III					III	III								M	-3, 1, -2		-3	-3
16	2.0	3	3	0	0	4/2	2	1	V2/vii					V2/vii	V		2		vii				Mm7	-3, -1, 3, 0		-1	-3
18	2.0	3	3	1/2	1/2	4/2	2	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
20	2.0	3	3	1	1	4/2	2	1	V2/VI					V2/VI	V		2		VI				Mm7	-5, -3, 1, -2		-3	-5
22	2.0	3	3	3/2	3/2	4/2	2	1	V43/vii					V43/vii	V		43		vii				Mm7	0, -3, -1, 3		-1	0
24	1.0	4	4	0	0	4/2	2	1	V(6)					V(6)	V			6					M	1, 5, -3		1	1
25	1.0	4	4	1/4	1/4	4/2	2	1	v(64)					v(64)	v			64					m	1, 0, -3		1	1
26	1.0	4	4	1/2	1/2	4/2	2	1	v(4)					v(4)	v			4					m	1, 0, 2		1	1
27	1.0	4	4	3/4	3/4	4/2	2	1	v					v	v								m	1, -2, 2		1	1
28	2.0	4	4	1	1	4/2	2	1	IV6(112)					IV6(112)	IV		6	112					M	3, 0, 1	-2	-1	3
30	2.0	4	4	3/2	3/2	4/2	2	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
32	2.0	5	5	0	0	4/2	2	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
34	2.0	5	5	1/2	1/2	4/2	2	1	i					i	i								m	0, -3, 1		0	0
36	1.0	5	5	1	1	4/2	2	1	V7/vii					V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
37	1.0	5	5	5/4	5/4	4/2	2	1	V(64)/vii					V(64)/vii	V			64	vii				M	-1, -2, -5		-1	-1
38	1.0	5	5	3/2	3/2	4/2	2	1	V(4)/vii					V(4)/vii	V			4	vii				M	-1, -2, 0		-1	-1
39	1.0	5	5	7/4	7/4	4/2	2	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
40	6.0	6	6	0	0	4/2	2	1	I}					I	I							}	M	0, 4, 1		0	0
43	0.0	6	6	3/4	3/4	4/2	2	1	{													{					
46	1.0	6	6	3/2	3/2	4/2	2	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
47	1.0	6	6	7/4	7/4	4/2	2	1	I					I	I								M	0, 4, 1		0	0
48	3.0	7	7	0	0	2/2	2	1	iv					iv	iv								m	-1, -4, 0		-1	-1
51	1.0	7	7	3/4	3/4	2/2	2	1	IV					IV	IV								M	-1, 3, 0		-1	-1
52	1.0	8	8	0	0	2/2	2	1	iii6(2)					iii6(2)	iii		6	2					m	-6, -2, -1		-3	-6
53	1.0	8	8	1/4	1/4	2/2	2	1	iii6					iii6	iii		6						m	-6, -2, -3		-3	-6
54	1.0	8	8	1/2	1/2	2/2	2	1	III6					III6	III		6						M	1, -2, -3		-3	1
55	1.0	8	8	3/4	3/4	2/2	2	1	V64/IV					V64/IV	V		64		IV				M	1, 0, 4		0	1
56	2.0	9	9	0	0	2/2	2	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
58	1.0	9	9	1/2	1/2	2/2	2	1	VII6(2)					VII6(2)	VII		6	2					M	2, -1, 0		-2	2
59	1.0	9	9	3/4	3/4	2/2	2	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
60	2.0	10	10	0	0	2/2	2	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
62	2.0	10	10	1/2	1/2	2/2	2	1	I					I	I								M	0, 4, 1		0	0
64	1.0	11	11	0	0	2/2	2	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
65	1.0	11	11	1/4	1/4	2/2	2	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
66	1.0	11	11	1/2	1/2	2/2	2	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
67	1.0	11	11	3/4	3/4	2/2	2	1	ii64/iv					ii64/iv	ii		64		iv				m	2, 1, -2		1	2
68	2.0	12	12	0	0	2/2	2	1	#viio/iv					#viio/iv	#vii	o			iv				o	4, 1, -2		4	4
70	1.0	12	12	1/2	1/2	2/2	2	1	iv(9)					iv(9)	iv			9					m	-1, -4, 0	1	-1	-1
71	1.0	12	12	3/4	3/4	2/2	2	1	iv					iv	iv								m	-1, -4, 0		-1	-1
72	1.0	13	13	0	0	2/2	2	1	II	vii6				II	II								M	2, 6, 3		2	2
73	1.0	13	13	1/4	1/4	2/2	2	1	IV					IV	IV								M	-1, 3, 0		-1	-1
74	1.0	13	13	1/2	1/2	2/2	2	1	iii6(2)					iii6(2)	iii		6	2					m	-6, -2, -1		-3	-6
75	1.0	13	13	3/4	3/4	2/2	2	1	iii6					iii6	iii		6						m	-6, -2, -3		-3	-6
76	2.0	14	14	0	0	2/2	2	1	III6					III6	III		6						M	1, -2, -3		-3	1
78	4.0	14	14	1/2	1/2	2/2	2	1	VII[V/III				VII	V/III	V				III				M	-2, 2, -1		-2	-2
82	1.0	15	15	1/2	1/2	2/2	2	1	V(64)/III					V(64)/III	V			64	III				M	-2, -3, 1		-2	-2
83	1.0	15	15	3/4	3/4	2/2	2	1	V7/V/III					V7/V/III	V		7		V/III				Mm7	-1, 3, 0, -3		-1	-1
84	1.0	16	16	0	0	4/2	2	1	V(4)/III					V(4)/III	V			4	III				M	-2, -3, -1		-2	-2
