quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	1	1	i{					i	i							{	m	0, -3, 1		0	0
4	2.0	1	1	1	1	4/2	1	1	V6					V6	V		6						M	5, 2, 1		1	5
6	2.0	1	1	3/2	3/2	4/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
8	2.0	2	2	0	0	4/2	1	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
10	2.0	2	2	1/2	1/2	4/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
12	2.0	2	2	1	1	4/2	1	1	V					V	V								M	1, 5, 2		1	1
14	2.0	2	2	3/2	3/2	4/2	1	1	v					v	v								m	1, -2, 2		1	1
16	2.0	3	3	0	0	4/2	1	1	IV					IV	IV								M	-1, 3, 0		-1	-1
18	2.0	3	3	1/2	1/2	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
20	4.0	3	3	1	1	4/2	1	1	III					III	III								M	-3, 1, -2		-3	-3
24	4.0	4	4	0	0	4/2	1	1	ii%65	ii65				ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
28	2.0	4	4	1	1	4/2	1	1	v(64)					v(64)	v			64					m	1, 0, -3		1	1
30	6.0	4	4	3/2	3/2	4/2	1	1	v					v	v								m	1, -2, 2		1	1
36	1.0	5	5	1	1	4/2	1	1	VII					VII	VII								M	-2, 2, -1		-2	-2
37	2.0	5	5	5/4	5/4	4/2	1	1	ii					ii	ii								m	2, -1, 3		2	2
39	1.0	5	5	7/4	7/4	4/2	1	1	V43					V43	V		43						Mm7	2, -1, 1, 5		1	2
40	2.0	6	6	0	0	4/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
42	2.0	6	6	1/2	1/2	4/2	1	1	I					I	I								M	0, 4, 1		0	0
44	2.0	6	6	1	1	4/2	1	1	#viio6					#viio6	#vii	o	6						o	2, -1, 5		5	2
46	2.0	6	6	3/2	3/2	4/2	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
48	2.0	7	7	0	0	4/2	1	1	IV					IV	IV								M	-1, 3, 0		-1	-1
50	2.0	7	7	1/2	1/2	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
52	2.0	7	7	1	1	4/2	1	1	III	i6				III	III								M	-3, 1, -2		-3	-3
54	2.0	7	7	3/2	3/2	4/2	1	1	i					i	i								m	0, -3, 1		0	0
56	2.0	8	8	0	0	4/2	1	1	V6					V6	V		6						M	5, 2, 1		1	5
58	2.0	8	8	1/2	1/2	4/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
60	2.0	8	8	1	1	4/2	1	1	IV6					IV6	IV		6						M	3, 0, -1		-1	3
62	2.0	8	8	3/2	3/2	4/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
64	2.0	9	9	0	0	4/2	1	1	V					V	V								M	1, 5, 2		1	1
66	2.0	9	9	1/2	1/2	4/2	1	1	v					v	v								m	1, -2, 2		1	1
68	2.0	9	9	1	1	4/2	1	1	i7					i7	i		7						mm7	0, -3, 1, -2		0	0
70	2.0	9	9	3/2	3/2	4/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
72	2.0	10	10	0	0	2/2	1	1	V7/III					V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
74	2.0	10	10	1/2	1/2	2/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
76	2.0	11	11	0	0	4/2	1	1	iv6(2)					iv6(2)	iv		6	2					m	-4, 0, 1		-1	-4
78	2.0	11	11	1/2	1/2	4/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
80	1.0	11	11	1	1	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
81	1.0	11	11	5/4	5/4	4/2	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
82	1.0	11	11	3/2	3/2	4/2	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
83	1.0	11	11	7/4	7/4	4/2	1	1	i					i	i								m	0, -3, 1		0	0
84	2.0	12	12	0	0	4/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
86	2.0	12	12	1/2	1/2	4/2	1	1	i					i	i								m	0, -3, 1		0	0
88	4.0	12	12	1	1	4/2	1	1	I					I	I								M	0, 4, 1		0	0
92	2.0	13	13	0	0	4/2	1	1	IV					IV	IV								M	-1, 3, 0		-1	-1
94	2.0	13	13	1/2	1/2	4/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
96	1.0	13	13	1	1	4/2	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
97	1.0	13	13	5/4	5/4	4/2	1	1	ii%65					ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
98	1.0	13	13	3/2	3/2	4/2	1	1	i					i	i								m	0, -3, 1		0	0
99	1.0	13	13	7/4	7/4	4/2	1	1	V64(+4)					V64(+4)	V		64	+4					M	2, 1, 5	0	1	2
100	1.0	14	14	0	0	4/2	1	1	I					I	I								M	0, 4, 1		0	0
101	2.0	14	14	1/4	1/4	4/2	1	1	I(4)					I(4)	I			4					M	0, -1, 1		0	0
103	5.0	14	14	3/4	3/4	4/2	1	1	I}					I	I							}	M	0, 4, 1		0	0
