quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
4	1.0	1	1	1	1	4/2	1	1	V(6)/iv				V(6)/iv	V			6	iv				M	0, 4, -4		0	0
5	1.0	1	1	5/4	5/4	4/2	1	1	V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
6	1.0	1	1	3/2	3/2	4/2	1	1	V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
7	1.0	1	1	7/4	7/4	4/2	1	1	V/iv				V/iv	V				iv				M	0, 4, 1		0	0
8	1.0	2	2	0	0	4/2	1	1	iv6(2)/iv				iv6(2)/iv	iv		6	2	iv				m	-5, -1, 0		-2	-5
9	1.0	2	2	1/4	1/4	4/2	1	1	iv6/iv				iv6/iv	iv		6		iv				m	-5, -1, -2		-2	-5
10	2.0	2	2	1/2	1/2	4/2	1	1	V6/III				V6/III	V		6		III				M	2, -1, -2		-2	2
12	1.0	2	2	1	1	4/2	1	1	III6(2)				III6(2)	III		6	2					M	1, -2, -1		-3	1
13	2.0	2	2	5/4	5/4	4/2	1	1	III6				III6	III		6						M	1, -2, -3		-3	1
15	1.0	2	2	7/4	7/4	4/2	1	1	III				III	III								M	-3, 1, -2		-3	-3
16	2.0	3	3	0	0	4/2	1	1	ii6(112)/III				ii6(112)/III	ii		6	112	III				m	-4, 0, 1	-2	-1	-4
18	2.0	3	3	1/2	1/2	4/2	1	1	ii6/III				ii6/III	ii		6		III				m	-4, 0, -1		-1	-4
20	2.0	3	3	1	1	4/2	1	1	V6/V/III				V6/V/III	V		6		V/III				M	3, 0, -1		-1	3
22	2.0	3	3	3/2	3/2	4/2	1	1	V65/V/III				V65/V/III	V		65		V/III				Mm7	3, 0, -3, -1		-1	3
24	1.0	4	4	0	0	4/2	1	1	V(4)/III				V(4)/III	V			4	III				M	-2, -3, -1		-2	-2
25	2.0	4	4	1/4	1/4	4/2	1	1	V/III				V/III	V				III				M	-2, 2, -1		-2	-2
27	1.0	4	4	3/4	3/4	4/2	1	1	V7/III				V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
28	2.0	4	4	1	1	4/2	1	1	V(13)/iii				V(13)/iii	V			13	iii				M	-2, 2, -1	-6	-2	-2
30	2.0	4	4	3/2	3/2	4/2	1	1	V(64)/iii				V(64)/iii	V			64	iii				M	-2, -3, -6		-2	-2
32	2.0	5	5	0	0	4/2	1	1	V(4)/iii				V(4)/iii	V			4	iii				M	-2, -3, -1		-2	-2
34	2.0	5	5	1/2	1/2	4/2	1	1	V/iii				V/iii	V				iii				M	-2, 2, -1		-2	-2
36	2.0	5	5	1	1	4/2	1	1	V(64)/III				V(64)/III	V			64	III				M	-2, -3, 1		-2	-2
38	2.0	5	5	3/2	3/2	4/2	1	1	V/III				V/III	V				III				M	-2, 2, -1		-2	-2
40	2.0	6	6	0	0	4/2	1	1	V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
42	1.0	6	6	1/2	1/2	4/2	1	1	V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
43	1.0	6	6	3/4	3/4	4/2	1	1	V7(4)/iv				V7(4)/iv	V		7	4	iv				Mm7	0, -1, 1, -2		0	0
44	2.0	6	6	1	1	4/2	1	1	V/iv				V/iv	V				iv				M	0, 4, 1		0	0
46	1.0	6	6	3/2	3/2	4/2	1	1	V(13)/iv				V(13)/iv	V			13	iv				M	0, 4, 1	-4	0	0
47	1.0	6	6	7/4	7/4	4/2	1	1	V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
48	2.0	7	7	0	0	4/2	1	1	iv65(2)/iv				iv65(2)/iv	iv		65	2	iv				mm7	-5, -1, -4, 0		-2	-5
50	2.0	7	7	1/2	1/2	4/2	1	1	iv6/iv				iv6/iv	iv		6		iv				m	-5, -1, -2		-2	-5
52	2.0	7	7	1	1	4/2	1	1	iv2/vii				iv2/vii	iv		2		vii				mm7	-5, -3, -6, -2		-3	-5
54	2.0	7	7	3/2	3/2	4/2	1	1	V43/vii				V43/vii	V		43		vii				Mm7	0, -3, -1, 3		-1	0
56	2.0	8	8	0	0	4/2	1	1	vii(4)				vii(4)	vii			4					m	-2, -3, -1		-2	-2
58	2.0	8	8	1/2	1/2	4/2	1	1	vii				vii	vii								m	-2, -5, -1		-2	-2
60	2.0	8	8	1	1	4/2	1	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
62	2.0	8	8	3/2	3/2	4/2	1	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
64	2.0	9	9	0	0	2/2	1	1	#viio6(2)/iv				#viio6(2)/iv	#vii	o	6	2	iv				o	1, -2, -1		4	1
66	2.0	9	9	1/2	1/2	2/2	1	1	#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1
68	1.0	10	10	0	0	4/2	1	1	iv[iv}{			iv	iv	iv							}{	m	-1, -4, 0		-1	-1
69	1.0	10	10	1/4	1/4	4/2	1	1	IV/vii				IV/vii	IV				vii				M	-3, 1, -2		-3	-3
70	1.0	10	10	1/2	1/2	4/2	1	1	V7/vii				V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
71	1.0	10	10	3/4	3/4	4/2	1	1	V(64)/vii				V(64)/vii	V			64	vii				M	-1, -2, -5		-1	-1
72	1.0	10	10	1	1	4/2	1	1	V/vii]				V/vii	V				vii	]			M	-1, 3, 0		-1	-1
73	1.0	10	10	5/4	5/4	4/2	1	1	#viio/vii				#viio/vii	#vii	o			vii				o	3, 0, -3		3	3
74	1.0	10	10	3/2	3/2	4/2	1	1	vii(9)				vii(9)	vii			9					m	-2, -5, -1	0	-2	-2
75	1.0	10	10	7/4	7/4	4/2	1	1	vii				vii	vii								m	-2, -5, -1		-2	-2
76	3.0	11	11	0	0	2/2	1	1	vii64				vii64	vii		64						m	-1, -2, -5		-2	-1
79	1.0	11	11	3/4	3/4	2/2	1	1	ii6/vii				ii6/vii	ii		6		vii				m	-3, 1, 0		0	-3
80	1.0	12	12	0	0	2/2	1	1	V2/VII				V2/VII	V		2		VII				Mm7	-3, -1, 3, 0		-1	-3
81	1.0	12	12	1/4	1/4	2/2	1	1	VII6				VII6	VII		6						M	2, -1, -2		-2	2
82	1.0	12	12	1/2	1/2	2/2	1	1	V43/iv				V43/iv	V		43		iv				Mm7	1, -2, 0, 4		0	1
83	1.0	12	12	3/4	3/4	2/2	1	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
84	1.0	13	13	0	0	2/2	1	1	I				I	I								M	0, 4, 1		0	0
85	2.0	13	13	1/4	1/4	2/2	1	1	I(64)				I(64)	I			64					M	0, -1, -4		0	0
87	1.0	13	13	3/4	3/4	2/2	1	1	i				i	i								m	0, -3, 1		0	0
88	4.0	14	14	0	0	2/2	1	1	I}{				I	I							}{	M	0, 4, 1		0	0
92	1.0	15	15	0	0	2/2	1	1	vii6(2)				vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
93	1.0	15	15	1/4	1/4	2/2	1	1	vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
94	1.0	15	15	1/2	1/2	2/2	1	1	i(2)				i(2)	i			2					m	2, -3, 1		0	2
95	1.0	15	15	3/4	3/4	2/2	1	1	i				i	i								m	0, -3, 1		0	0
96	1.0	16	16	0	0	2/2	1	1	vii6(2)				vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
97	1.0	16	16	1/4	1/4	2/2	1	1	vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
98	1.0	16	16	1/2	1/2	2/2	1	1	V7/VI				V7/VI	V		7		VI				Mm7	-3, 1, -2, -5		-3	-3
99	1.0	16	16	3/4	3/4	2/2	1	1	V(64)/VI				V(64)/VI	V			64	VI				M	-3, -4, 0		-3	-3
100	1.0	17	17	0	0	2/2	1	1	V(4)/VI				V(4)/VI	V			4	VI				M	-3, -4, -2		-3	-3
101	1.0	17	17	1/4	1/4	2/2	1	1	V/VI				V/VI	V				VI				M	-3, 1, -2		-3	-3
102	1.0	17	17	1/2	1/2	2/2	1	1	vi65(2)/VI				vi65(2)/VI	vi		65	2	VI				mm7	-4, 0, -3, 1		-1	-4
