mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/2	1	1	.d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	2.0	1/2	1/2	4/2	1	1	i6	III	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	4	4	1.0	1	1	4/2	1	1	V6(4)/III		d	i		V6(4)/III	V		6	4	III			M	1	1	-3, -1, -2		-2	-3
1	1	5	5	2.0	5/4	5/4	4/2	1	1	V6/III		d	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
1	1	7	7	1.0	7/4	7/4	4/2	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
2	2	8	8	2.0	0	0	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	10	10	2.0	1/2	1/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
2	2	12	12	4.0	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
3	3	16	16	2.0	0	0	4/2	1	1	V65/IV		d	i		V65/IV	V		65		IV			Mm7	1	1	4, 1, -2, 0		0	4
3	3	18	18	2.0	1/2	1/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
3	3	20	20	1.0	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
3	3	21	21	1.0	5/4	5/4	4/2	1	1	VII64		d	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
3	3	22	22	1.0	3/2	3/2	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	3	23	23	1.0	7/4	7/4	4/2	1	1	v64		d	i		v64	v		64					m	1	1	2, 1, -2		1	2
4	4	24	24	1.0	0	0	4/2	1	1	iv64(2)		d	i		iv64(2)	iv		64	2				m	1	1	0, 1, -4		-1	0
4	4	25	25	1.0	1/4	1/4	4/2	1	1	iv64		d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
4	4	26	26	2.0	1/2	1/2	4/2	1	1	iio		d	i		iio	ii	o						o	1	1	2, -1, -4		2	2
4	4	28	28	4.0	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	32	32	1.0	0	0	4/2	1	1	V(4)/III		d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
5	5	33	33	3.0	1/4	1/4	4/2	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
5	5	36	36	8.0	1	1	4/2	1	1	III6}{		d	i		III6	III		6				}{	M	1	1	1, -2, -3		-3	1
6	6	44	44	1.0	1	1	4/2	1	1	VII64		d	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
6	6	45	45	1.0	5/4	5/4	4/2	1	1	ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
6	6	46	46	1.0	3/2	3/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
6	6	47	47	1.0	7/4	7/4	4/2	1	1	ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
7	7	48	48	4.0	0	0	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	52	52	1.0	1	1	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
7	7	53	53	2.0	5/4	5/4	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
7	7	55	55	1.0	7/4	7/4	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
8	8	56	56	4.0	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
8	8	60	60	2.0	1	1	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	8	62	62	2.0	3/2	3/2	4/2	1	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
9	9	64	64	2.0	0	0	4/2	1	1	V(9)/iv		d	i		V(9)/iv	V			9	iv			M	1	1	0, 4, 1	-5	0	0
9	9	66	66	4.0	1/2	1/2	4/2	1	1	V(64)/iv		d	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
9	9	70	70	4.0	3/2	3/2	4/2	1	1	V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
10	10	74	74	4.0	1/2	1/2	4/2	1	1	V(64)/iv		d	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
10	10	78	78	2.0	3/2	3/2	4/2	1	1	V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
11	11	80	80	2.0	0	0	4/2	1	1	iv}{		d	i		iv	iv						}{	m	1	1	-1, -4, 0		-1	-1
11	11	82	82	6.0	1/2	1/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	12	88	88	6.0	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	94	94	4.0	3/2	3/2	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
13	13	98	98	2.0	1/2	1/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
13	13	100	100	3.0	1	1	4/2	1	1	i(64)		d	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
13	13	103	103	2.0	7/4	7/4	4/2	1	1	i(4)		d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
14	14	105	105	1.0	1/4	1/4	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
14	14	106	106	4.0	1/2	1/2	4/2	1	1	i(64)		d	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
14	14	110	110	10.0	3/2	3/2	4/2	1	1	I}		d	i		I	I						}	M	1	1	0, 4, 1		0	0
