quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	24.0	1	1	0	0	3/1	1	1	.d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
24	4.0	3	3	0	0	3/1	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	4.0	3	3	1	1	3/1	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
32	4.0	3	3	2	2	3/1	1	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
36	12.0	4	4	0	0	3/1	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
48	4.0	5	5	0	0	3/1	1	1	III}{		d	i		III	III						}{	M	1	1	-3, 1, -2		-3	-3
52	4.0	5	5	1	1	3/1	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
56	4.0	5	5	2	2	3/1	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
60	4.0	6	6	0	0	3/1	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
64	8.0	6	6	1	1	3/1	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
72	12.0	7	7	0	0	3/1	1	1	V/VII		d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
84	4.0	8	8	0	0	3/1	1	1	VII}{		d	i		VII	VII						}{	M	1	1	-2, 2, -1		-2	-2
88	4.0	8	8	1	1	3/1	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
92	4.0	8	8	2	2	3/1	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
96	8.0	9	9	0	0	3/1	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
104	4.0	9	9	2	2	3/1	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
