mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	2	1.0	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
1	1	3	1.0	3/4	3/4	4/4	1	1	VI	iv6				VI	VI								M	-4, 0, -3		-4	-4
2	2	4	3.0	0	0	4/4	1	1	i					i	i								m	0, -3, 1		0	0
2	2	7	1.0	3/4	3/4	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
3	3	8	1.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
3	3	9	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
3	3	10	2.0	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
4	4	12	1.5	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
4	4	27/2	0.5	3/8	3/8	4/4	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
4	4	14	1.0	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
4	4	15	1.0	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
5	5	16	2.0	0	0	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
5	5	18	0.5	1/2	1/2	4/4	1	1	VI6(2)					VI6(2)	VI		6	2					M	0, -3, -2		-4	0
5	5	37/2	1.0	5/8	5/8	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
5	5	39/2	0.5	7/8	7/8	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
6	6	20	1.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
6	6	21	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
6	6	22	2.0	1/2	1/2	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
7	7	24	1.0	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
7	7	25	1.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
7	7	26	1.0	1/2	1/2	4/4	1	1	ii%65/iv					ii%65/iv	ii	%	65		iv				%7	-2, -5, -1, 1		1	-2
7	7	27	1.0	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
8	8	28	2.0	0	0	4/4	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
8	8	30	1.0	1/2	1/2	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
8	8	31	1.0	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
9	9	32	1.0	0	0	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
9	9	33	2.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
9	9	35	1.0	3/4	3/4	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
10	10	36	1.0	0	0	4/4	1	1	iv(4)					iv(4)	iv			4					m	-1, -2, 0		-1	-1
10	10	37	1.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
10	10	38	1.0	1/2	1/2	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
10	10	39	1.0	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
11	11	40	1.0	0	0	4/4	1	1	i64(4)					i64(4)	i		64	4					m	1, 0, -1		0	1
11	11	41	1.0	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
11	11	42	1.0	1/2	1/2	4/4	1	1	V7/vii					V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
11	11	43	1.0	3/4	3/4	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
12	12	44	1.0	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
12	12	45	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
12	12	46	1.0	1/2	1/2	4/4	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
12	12	47	1.0	3/4	3/4	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
13	13	48	1.5	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
13	13	99/2	1.5	3/8	3/8	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
13	13	51	1.0	3/4	3/4	4/4	1	1	I					I	I								M	0, 4, 1		0	0
14	14	52	2.0	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
14	14	54	2.0	1/2	1/2	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
15	15	56	1.0	0	0	4/4	1	1	V7/iv					V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
15	15	57	2.0	1/4	1/4	4/4	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
15	15	59	1.0	3/4	3/4	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
