quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	4/2	1	1	.d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2.0	1	1	1/2	1/2	4/2	1	1	i6	III	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	1.0	1	1	1	1	4/2	1	1	V6(4)/III		d	i		V6(4)/III	V		6	4	III			M	1	1	-3, -1, -2		-2	-3
5	2.0	1	1	5/4	5/4	4/2	1	1	V6/III		d	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
7	1.0	1	1	7/4	7/4	4/2	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	2.0	2	2	0	0	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	2.0	2	2	1/2	1/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
12	4.0	2	2	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
16	2.0	3	3	0	0	4/2	1	1	V65/IV		d	i		V65/IV	V		65		IV			Mm7	1	1	4, 1, -2, 0		0	4
18	2.0	3	3	1/2	1/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
20	1.0	3	3	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
21	1.0	3	3	5/4	5/4	4/2	1	1	VII64		d	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
22	1.0	3	3	3/2	3/2	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
23	1.0	3	3	7/4	7/4	4/2	1	1	v64		d	i		v64	v		64					m	1	1	2, 1, -2		1	2
24	1.0	4	4	0	0	4/2	1	1	iv64(2)		d	i		iv64(2)	iv		64	2				m	1	1	0, 1, -4		-1	0
25	1.0	4	4	1/4	1/4	4/2	1	1	iv64		d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
26	2.0	4	4	1/2	1/2	4/2	1	1	iio		d	i		iio	ii	o						o	1	1	2, -1, -4		2	2
28	4.0	4	4	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
32	1.0	5	5	0	0	4/2	1	1	V(4)/III		d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
33	3.0	5	5	1/4	1/4	4/2	1	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
36	8.0	5	5	1	1	4/2	1	1	III6}{		d	i		III6	III		6				}{	M	1	1	1, -2, -3		-3	1
44	1.0	6	6	1	1	4/2	1	1	VII64		d	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
45	1.0	6	6	5/4	5/4	4/2	1	1	ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
46	1.0	6	6	3/2	3/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
47	1.0	6	6	7/4	7/4	4/2	1	1	ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
48	4.0	7	7	0	0	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
52	1.0	7	7	1	1	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
53	2.0	7	7	5/4	5/4	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
55	1.0	7	7	7/4	7/4	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
56	4.0	8	8	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
60	2.0	8	8	1	1	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
62	2.0	8	8	3/2	3/2	4/2	1	1	#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
64	2.0	9	9	0	0	4/2	1	1	V(9)/iv		d	i		V(9)/iv	V			9	iv			M	1	1	0, 4, 1	-5	0	0
66	4.0	9	9	1/2	1/2	4/2	1	1	V(64)/iv		d	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
70	4.0	9	9	3/2	3/2	4/2	1	1	V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
74	4.0	10	10	1/2	1/2	4/2	1	1	V(64)/iv		d	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
78	2.0	10	10	3/2	3/2	4/2	1	1	V/iv		d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
80	2.0	11	11	0	0	4/2	1	1	iv}{		d	i		iv	iv						}{	m	1	1	-1, -4, 0		-1	-1
82	6.0	11	11	1/2	1/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
88	6.0	12	12	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
94	4.0	12	12	3/2	3/2	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
98	2.0	13	13	1/2	1/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
100	3.0	13	13	1	1	4/2	1	1	i(64)		d	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
103	2.0	13	13	7/4	7/4	4/2	1	1	i(4)		d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
105	1.0	14	14	1/4	1/4	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
106	4.0	14	14	1/2	1/2	4/2	1	1	i(64)		d	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
110	10.0	14	14	3/2	3/2	4/2	1	1	I}		d	i		I	I						}	M	1	1	0, 4, 1		0	0
