quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	12.0	1	1	0	0	4/2	2	1	.G.vi{		G	I		vi	vi						{	m	0	0	3, 0, 4		3	3
12	12.0	2	2	1	1	4/2	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
24	3.0	4	4	0	0	4/2	2	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
27	1.0	4	4	3/4	3/4	4/2	2	1	#viio6/v		G	I		#viio6/v	#vii	o	6		v			o	0	0	3, 0, 6		6	3
28	2.0	4	4	1	1	4/2	2	1	v		G	I		v	v							m	0	0	1, -2, 2		1	1
30	1.0	4	4	3/2	3/2	4/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
31	1.0	4	4	7/4	7/4	4/2	2	1	v6		G	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
32	2.0	5	5	0	0	4/2	2	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
34	1.0	5	5	1/2	1/2	4/2	2	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
35	1.0	5	5	3/4	3/4	4/2	2	1	iiio6		G	I		iiio6	iii	o	6					o	0	0	1, -2, 4		4	1
36	1.0	5	5	1	1	4/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
37	1.0	5	5	5/4	5/4	4/2	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
38	1.0	5	5	3/2	3/2	4/2	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
39	1.0	5	5	7/4	7/4	4/2	2	1	ii	viio6	G	I		ii	ii							m	0	0	2, -1, 3		2	2
40	2.0	6	6	0	0	4/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
42	1.0	6	6	1/2	1/2	4/2	2	1	V6(4)		G	I		V6(4)	V		6	4				M	0	0	0, 2, 1		1	0
43	1.0	6	6	3/4	3/4	4/2	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
44	4.0	6	6	1	1	4/2	2	1	vi}{		G	I		vi	vi						}{	m	0	0	3, 0, 4		3	3
48	2.0	7	7	0	0	4/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
50	2.0	7	7	1/2	1/2	4/2	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
52	2.0	7	7	1	1	4/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
54	1.0	7	7	3/2	3/2	4/2	2	1	iii		G	I		iii	iii							m	0	0	4, 1, 5		4	4
55	1.0	7	7	7/4	7/4	4/2	2	1	viio6		G	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
56	2.0	8	8	0	0	4/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
58	1.0	8	8	1/2	1/2	4/2	2	1	v6(4)		G	I		v6(4)	v		6	4				m	0	0	0, 2, 1		1	0
59	1.0	8	8	3/4	3/4	4/2	2	1	v6		G	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
60	6.0	8	8	1	1	4/2	2	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
66	2.0	9	9	1/2	1/2	4/2	2	1	V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
68	4.0	9	9	1	1	4/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
72	1.0	10	10	0	0	4/2	2	1	V(13)		G	I		V(13)	V			13				M	0	0	1, 5, 2	4	1	1
73	1.0	10	10	1/4	1/4	4/2	2	1	V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
74	1.0	10	10	1/2	1/2	4/2	2	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
75	1.0	10	10	3/4	3/4	4/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
76	2.0	10	10	1	1	4/2	2	1	I}		G	I		I	I						}	M	0	0	0, 4, 1		0	0
78	5.0	10	10	3/2	3/2	4/2	2	1	vi{		G	I		vi	vi						{	m	0	0	3, 0, 4		3	3
83	1.0	11	11	3/4	3/4	4/2	2	1	#viio6/v		G	I		#viio6/v	#vii	o	6		v			o	0	0	3, 0, 6		6	3
84	2.0	11	11	1	1	4/2	2	1	v		G	I		v	v							m	0	0	1, -2, 2		1	1
