quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	8.0	1	1	0	0	2/1	2	1	.a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
8	12.0	2	2	0	0	8/1	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
20	8.0	2	2	3	3	8/1	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
28	4.0	2	2	5	5	8/1	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
32	12.0	2	2	6	6	8/1	2	1	i}		a	i		i	i						}	m	1	1	0, -3, 1		0	0
40	0.0	3	3	0	0	4/2	2	1	{		a	i									{		1	1				
44	4.0	3	3	1	1	4/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
48	4.0	4	4	0	0	4/2	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
52	2.0	4	4	1	1	4/2	2	1	iv6(2)		a	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
54	2.0	4	4	3/2	3/2	4/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
56	2.0	5	5	0	0	4/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
58	2.0	5	5	1/2	1/2	4/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
60	2.0	5	5	1	1	4/2	2	1	v6(2)		a	i		v6(2)	v		6	2				m	1	1	-2, 2, -4		1	-2
62	2.0	5	5	3/2	3/2	4/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
64	2.0	6	6	0	0	4/2	2	1	VI6(2)		a	i		VI6(2)	VI		6	2				M	1	1	0, -3, -2		-4	0
66	2.0	6	6	1/2	1/2	4/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
68	2.0	6	6	1	1	4/2	2	1	III(4)		a	i		III(4)	III			4				M	1	1	-3, -4, -2		-3	-3
70	2.0	6	6	3/2	3/2	4/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
72	2.0	7	7	0	0	4/2	2	1	VII6		a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
74	2.0	7	7	1/2	1/2	4/2	2	1	v		a	i		v	v							m	1	1	1, -2, 2		1	1
76	2.0	7	7	1	1	4/2	2	1	iv(2)		a	i		iv(2)	iv			2				m	1	1	1, -4, 0		-1	1
78	2.0	7	7	3/2	3/2	4/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
80	2.0	8	8	0	0	4/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
82	1.0	8	8	1/2	1/2	4/2	2	1	V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
83	1.0	8	8	3/4	3/4	4/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
84	2.0	8	8	1	1	4/2	2	1	iv6(2)		a	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
86	2.0	8	8	3/2	3/2	4/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
88	2.0	9	9	0	0	4/2	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
90	2.0	9	9	1/2	1/2	4/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
92	2.0	9	9	1	1	4/2	2	1	VII(2)		a	i		VII(2)	VII			2				M	1	1	0, 2, -1		-2	0
94	2.0	9	9	3/2	3/2	4/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
96	2.0	10	10	0	0	4/2	2	1	iv65(2)		a	i		iv65(2)	iv		65	2				mm7	1	1	-4, 0, -3, 1		-1	-4
98	2.0	10	10	1/2	1/2	4/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
100	4.0	10	10	1	1	4/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
104	4.0	11	11	0	0	4/2	2	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
108	2.0	11	11	1	1	4/2	2	1	iv6(2)		a	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
110	2.0	11	11	3/2	3/2	4/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
112	2.0	12	12	0	0	4/2	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
114	2.0	12	12	1/2	1/2	4/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
116	2.0	12	12	1	1	4/2	2	1	V6(4)		a	i		V6(4)	V		6	4				M	1	1	0, 2, 1		1	0
118	2.0	12	12	3/2	3/2	4/2	2	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
120	2.0	13	13	0	0	4/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
122	2.0	13	13	1/2	1/2	4/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
124	2.0	13	13	1	1	4/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
126	2.0	13	13	3/2	3/2	4/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
128	2.0	14	14	0	0	4/2	2	1	V6(4)		a	i		V6(4)	V		6	4				M	1	1	0, 2, 1		1	0
130	2.0	14	14	1/2	1/2	4/2	2	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
132	2.0	14	14	1	1	4/2	2	1	i}{		a	i		i	i						}{	m	1	1	0, -3, 1		0	0
134	2.0	14	14	3/2	3/2	4/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
