quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	5.0	1	1	0	0	4/4	2	1	.g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
5	1.0	2	2	1/4	1/4	4/4	2	1	V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
6	2.0	2	2	1/2	1/2	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
8	2.0	3	3	0	0	4/4	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
10	1.5	3	3	1/2	1/2	4/4	2	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
23/2	0.5	3	3	7/8	7/8	4/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
12	1.0	4	4	0	0	4/4	2	1	I6		g	i		I6	I		6					M	1	1	4, 1, 0		0	4
13	1.0	4	4	1/4	1/4	4/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	3.0	4	4	1/2	1/2	4/4	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
17	1.0	5	5	1/4	1/4	4/4	2	1	V6/v		g	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
18	2.0	5	5	1/2	1/2	4/4	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
20	0.5	6	6	0	0	4/4	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
41/2	0.5	6	6	1/8	1/8	4/4	2	1	V(64)/v		g	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
21	0.5	6	6	1/4	1/4	4/4	2	1	V(4)/v		g	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
43/2	0.5	6	6	3/8	3/8	4/4	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
22	1.5	6	6	1/2	1/2	4/4	2	1	VI/v}{		g	i		VI/v	VI				v		}{	M	1	1	-3, 1, -2		-3	-3
47/2	0.5	6	6	7/8	7/8	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
24	1.0	7	7	0	0	4/4	2	1	V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
25	2.0	7	7	1/4	1/4	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
27	1.0	7	7	3/4	3/4	4/4	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
28	1.0	8	8	0	0	4/4	2	1	iv6/v		g	i		iv6/v	iv		6		v			m	1	1	-3, 1, 0		0	-3
29	1.0	8	8	1/4	1/4	4/4	2	1	iv/v		g	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
30	2.0	8	8	1/2	1/2	4/4	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
32	2.0	9	9	0	0	4/4	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
34	2.0	9	9	1/2	1/2	4/4	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
36	2.0	10	10	0	0	4/4	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
38	1.0	10	10	1/2	1/2	4/4	2	1	VI6/v		g	i		VI6/v	VI		6		v			M	1	1	1, -2, -3		-3	1
39	1.0	10	10	3/4	3/4	4/4	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
40	1.0	11	11	0	0	4/4	2	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
41	1.0	11	11	1/4	1/4	4/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
42	1.0	11	11	1/2	1/2	4/4	2	1	V		g	i		V	V							M	1	1	1, 5, 2		1	1
43	1.0	11	11	3/4	3/4	4/4	2	1	V6/iv		g	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
44	2.0	12	12	0	0	4/4	2	1	iv		g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
46	0.5	12	12	1/2	1/2	4/4	2	1	V/iv		g	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
93/2	1.5	12	12	5/8	5/8	4/4	2	1	V(64)/iv		g	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
48	1.0	13	13	0	0	4/4	2	1	V(4)/iv		g	i		V(4)/iv	V			4	iv			M	1	1	0, -1, 1		0	0
49	1.0	13	13	1/4	1/4	4/4	2	1	V/iv		g	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
50	0.75	13	13	1/2	1/2	4/4	2	1	V(6)/v		g	i		V(6)/v	V			6	v			M	1	1	2, 6, -2		2	2
203/4	0.25	13	13	11/16	11/16	4/4	2	1	V/v		g	i		V/v	V				v			M	1	1	2, 6, 3		2	2
51	1.0	13	13	3/4	3/4	4/4	2	1	VI/v		g	i		VI/v	VI				v			M	1	1	-3, 1, -2		-3	-3
52	1.0	14	14	0	0	4/4	2	1	VII/v		g	i		VII/v	VII				v			M	1	1	-1, 3, 0		-1	-1
53	1.0	14	14	1/4	1/4	4/4	2	1	V/V		g	i		V/V	V				V			M	1	1	2, 6, 3		2	2
54	0.5	14	14	1/2	1/2	4/4	2	1	V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
109/2	0.5	14	14	5/8	5/8	4/4	2	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
55	0.5	14	14	3/4	3/4	4/4	2	1	V6(4)		g	i		V6(4)	V		6	4				M	1	1	0, 2, 1		1	0
111/2	0.5	14	14	7/8	7/8	4/4	2	1	V6		g	i		V6	V		6					M	1	1	5, 2, 1		1	5
56	2.0	15	15	0	0	4/4	2	1	i}{		g	i		i	i						}{	m	1	1	0, -3, 1		0	0
58	2.0	15	15	1/2	1/2	4/4	2	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
60	2.0	16	16	0	0	4/4	2	1	VI		g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
