mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	1	1	4/2	1	1		v(64)				v(64)	v			64					m	1, 0, -3		1	1
1	1	3/2	3/2	4/2	1	1		v				v	v								m	1, -2, 2		1	1
2	2	0	0	4/2	1	1		#vi2				#vi2	#vi		2						mm7	1, 3, 0, 4		3	1
2	2	1/2	1/2	4/2	1	1		#ii6				#ii6	#ii		6						m	6, 10, 9		9	6
2	2	1	1	4/2	1	1		v7				v7	v		7						mm7	1, -2, 2, -1		1	1
2	2	3/2	3/2	4/2	1	1		IV6/vii				IV6/vii	IV		6		vii				M	1, -2, -3		-3	1
3	3	0	0	4/2	1	1		V7/vii				V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
3	3	1/2	1/2	4/2	1	1		V(64)/vii				V(64)/vii	V			64	vii				M	-1, -2, -5		-1	-1
3	3	1	1	4/2	1	1		ii%65/vii				ii%65/vii	ii	%	65		vii				%7	-3, -6, -2, 0		0	-3
3	3	3/2	3/2	4/2	1	1		#ii/III				#ii/III	#ii				III				m	6, 3, 7		6	6
4	4	0	0	4/2	1	1		V7/III				V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
4	4	1/2	1/2	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
4	4	1	1	4/2	1	1		iv[V7/VII			iv	V7/VII	V		7		VII				Mm7	-1, 3, 0, -3		-1	-1
4	4	3/2	3/2	4/2	1	1		VII64				VII64	VII		64						M	-1, -2, 2		-2	-1
5	5	0	0	4/2	1	1		IV6/VI				IV6/VI	IV		6		VI				M	-1, -4, -5		-5	-1
5	5	1/2	1/2	4/2	1	1		iii6/VI				iii6/VI	iii		6		VI				m	-3, 1, 0		0	-3
5	5	1	1	4/2	1	1		IVM65/VI]				IVM65/VI	IV	M	65		VI	]			MM7	-1, -4, 0, -5		-5	-1
5	5	3/2	3/2	4/2	1	1		viio/VI				viio/VI	vii	o			VI				o	1, -2, -5		1	1
6	6	0	0	4/2	1	1		VI				VI	VI								M	-4, 0, -3		-4	-4
6	6	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
6	6	1	1	4/2	1	1		V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
6	6	3/2	3/2	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
7	7	0	0	4/2	1	1		IV}{				IV	IV							}{	M	-1, 3, 0		-1	-1
7	7	3/2	3/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
8	8	0	0	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
8	8	1/2	1/2	4/2	1	1		iii				iii	iii								m	-3, -6, -2		-3	-3
8	8	1	1	4/2	1	1		II				II	II								M	2, 6, 3		2	2
8	8	3/2	3/2	4/2	1	1		II6				II6	II		6						M	6, 3, 2		2	6
9	9	0	0	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
9	9	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
9	9	1	1	4/2	1	1		III6				III6	III		6						M	1, -2, -3		-3	1
9	9	3/2	3/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
10	10	0	0	4/2	1	1		iv(b2)				iv(b2)	iv			b2					m	-6, -4, 0		-1	-6
10	10	1/2	1/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
10	10	1	1	4/2	1	1		#viio(2)/iv				#viio(2)/iv	#vii	o		2	iv				o	-1, 1, -2		4	-1
10	10	3/2	3/2	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
11	11	0	0	4/2	1	1		IV6(9)				IV6(9)	IV		6	9					M	3, 0, -1	1	-1	3
