quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	1	1	.g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
4	4.0	1	1	1	1	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	2.0	2	2	0	0	4/2	1	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
10	2.0	2	2	1/2	1/2	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	4.0	2	2	1	1	4/2	1	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
16	4.0	3	3	0	0	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
20	2.0	3	3	1	1	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
22	2.0	3	3	3/2	3/2	4/2	1	1	III		g	i		III	III							M	1	1	-3, 1, -2		-3	-3
24	2.0	4	4	0	0	4/2	1	1	ii6		g	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
26	1.0	4	4	1/2	1/2	4/2	1	1	i6(2)		g	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
27	1.0	4	4	3/4	3/4	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	1.0	4	4	1	1	4/2	1	1	#viio6(2)		g	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
29	3.0	4	4	5/4	5/4	4/2	1	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
32	4.0	5	5	0	0	4/2	1	1	i}		g	i		i	i						}	m	1	1	0, -3, 1		0	0
34	0.0	5	5	1/2	1/2	4/2	1	1	{		g	i									{		1	1				
36	4.0	5	5	1	1	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
40	2.0	6	6	0	0	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
42	2.0	6	6	1/2	1/2	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
44	2.0	6	6	1	1	4/2	1	1	IV(2)		g	i		IV(2)	IV			2				M	1	1	1, 3, 0		-1	1
46	2.0	6	6	3/2	3/2	4/2	1	1	IV		g	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
48	2.0	7	7	0	0	4/2	1	1	V2		g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
50	2.0	7	7	1/2	1/2	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
52	2.0	7	7	1	1	4/2	1	1	V7/v		g	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
54	2.0	7	7	3/2	3/2	4/2	1	1	v		g	i		v	v							m	1	1	1, -2, 2		1	1
56	4.0	8	8	0	0	4/2	1	1	v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
60	1.0	8	8	1	1	4/2	1	1	iio6(2)/v		g	i		iio6(2)/v	ii	o	6	2	v			o	1	1	0, -3, -2		3	0
61	1.0	8	8	5/4	5/4	4/2	1	1	iio6/v		g	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
62	1.0	8	8	3/2	3/2	4/2	1	1	v6(2)		g	i		v6(2)	v		6	2				m	1	1	-2, 2, -4		1	-2
63	1.0	8	8	7/4	7/4	4/2	1	1	v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
64	1.0	9	9	0	0	4/2	1	1	#viio6(2)/v		g	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	3, 0, 1		6	3
65	3.0	9	9	1/4	1/4	4/2	1	1	#viio6/v		g	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
68	4.0	9	9	1	1	4/2	1	1	VI6/v}{		g	i		VI6/v	VI		6		v		}{	M	1	1	1, -2, -3		-3	1
72	2.0	10	10	0	0	4/2	1	1	ii6		g	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
74	2.0	10	10	1/2	1/2	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
76	2.0	10	10	1	1	4/2	1	1	VII6(2)		g	i		VII6(2)	VII		6	2				M	1	1	2, -1, 0		-2	2
78	2.0	10	10	3/2	3/2	4/2	1	1	VII6		g	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
80	2.0	11	11	0	0	4/2	1	1	VI6(2)		g	i		VI6(2)	VI		6	2				M	1	1	0, -3, -2		-4	0
82	3.0	11	11	1/2	1/2	4/2	1	1	VI6		g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
85	1.0	11	11	5/4	5/4	4/2	1	1	i		g	i		i	i							m	1	1	0, -3, 1		0	0
86	2.0	11	11	3/2	3/2	4/2	1	1	i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
