quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	1	1	.a.v{	a	i		v	v						{	m	1	1	1, -2, 2		1	1
4	2.0	1	1	1	1	4/2	1	1	v(64)/v	a	i		v(64)/v	v			64	v			m	1	1	2, 1, -2		2	2
6	2.0	1	1	3/2	3/2	4/2	1	1	v/v	a	i		v/v	v				v			m	1	1	2, -1, 3		2	2
8	2.0	2	2	0	0	4/2	1	1	#vi2/v	a	i		#vi2/v	#vi		2		v			mm7	1	1	2, 4, 1, 5		4	2
10	2.0	2	2	1/2	1/2	4/2	1	1	ii6/v	a	i		ii6/v	ii		6		v			m	1	1	0, 4, 3		3	0
12	2.0	2	2	1	1	4/2	1	1	v7/v	a	i		v7/v	v		7		v			mm7	1	1	2, -1, 3, 0		2	2
14	2.0	2	2	3/2	3/2	4/2	1	1	IV6/iv	a	i		IV6/iv	IV		6		iv			M	1	1	2, -1, -2		-2	2
16	2.0	3	3	0	0	4/2	1	1	V7/iv	a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
18	2.0	3	3	1/2	1/2	4/2	1	1	V(64)/iv	a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
20	2.0	3	3	1	1	4/2	1	1	ii%65/iv	a	i		ii%65/iv	ii	%	65		iv			%7	1	1	-2, -5, -1, 1		1	-2
22	2.0	3	3	3/2	3/2	4/2	1	1	ii/VII	a	i		ii/VII	ii				VII			m	1	1	0, -3, 1		0	0
24	2.0	4	4	0	0	4/2	1	1	V7/VII	a	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
26	2.0	4	4	1/2	1/2	4/2	1	1	VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
28	2.0	4	4	1	1	4/2	1	1	i[V7/IV	a	i	i	V7/IV	V		7		IV			Mm7	1	1	0, 4, 1, -2		0	0
30	2.0	4	4	3/2	3/2	4/2	1	1	IV64	a	i	i	IV64	IV		64					M	1	1	0, -1, 3		-1	0
32	2.0	5	5	0	0	4/2	1	1	IV6/III	a	i	i	IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
34	2.0	5	5	1/2	1/2	4/2	1	1	iii6/III	a	i	i	iii6/III	iii		6		III			m	1	1	-2, 2, 1		1	-2
36	2.0	5	5	1	1	4/2	1	1	IVM65/III]	a	i	i	IVM65/III	IV	M	65		III			MM7	1	1	0, -3, 1, -4		-4	0
38	2.0	5	5	3/2	3/2	4/2	1	1	viio/III	a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
40	2.0	6	6	0	0	4/2	1	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
42	2.0	6	6	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
44	2.0	6	6	1	1	4/2	1	1	V(4)	a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
46	2.0	6	6	3/2	3/2	4/2	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
48	6.0	7	7	0	0	4/2	1	1	I}{	a	i		I	I						}{	M	1	1	0, 4, 1		0	0
54	2.0	7	7	3/2	3/2	4/2	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
56	2.0	8	8	0	0	4/2	1	1	VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
58	2.0	8	8	1/2	1/2	4/2	1	1	vii	a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
60	2.0	8	8	1	1	4/2	1	1	VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
62	2.0	8	8	3/2	3/2	4/2	1	1	VI6	a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
64	2.0	9	9	0	0	4/2	1	1	I6	a	i		I6	I		6					M	1	1	4, 1, 0		0	4
66	2.0	9	9	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
68	2.0	9	9	1	1	4/2	1	1	VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
70	2.0	9	9	3/2	3/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
72	2.0	10	10	0	0	4/2	1	1	i(b2)	a	i		i(b2)	i			b2				m	1	1	-5, -3, 1		0	-5
74	2.0	10	10	1/2	1/2	4/2	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
76	2.0	10	10	1	1	4/2	1	1	#viio(2)	a	i		#viio(2)	#vii	o		2				o	1	1	0, 2, -1		5	0
78	2.0	10	10	3/2	3/2	4/2	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
80	2.0	11	11	0	0	4/2	1	1	I6(9)	a	i		I6(9)	I		6	9				M	1	1	4, 1, 0	2	0	4
82	2.0	11	11	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
84	2.0	11	11	1	1	4/2	1	1	VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
86	2.0	11	11	3/2	3/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
88	2.0	12	12	0	0	4/2	1	1	ii/VII	a	i		ii/VII	ii				VII			m	1	1	0, -3, 1		0	0
90	2.0	12	12	1/2	1/2	4/2	1	1	viio6/VII	a	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
92	2.0	12	12	1	1	4/2	1	1	VII}{	a	i		VII	VII						}{	M	1	1	-2, 2, -1		-2	-2
94	2.0	12	12	3/2	3/2	4/2	1	1	vii	a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
96	2.0	13	13	0	0	4/2	1	1	V/vii	a	i		V/vii	V				vii			M	1	1	-1, 3, 0		-1	-1
98	2.0	13	13	1/2	1/2	4/2	1	1	viio6/III	a	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
100	2.0	13	13	1	1	4/2	1	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
102	2.0	13	13	3/2	3/2	4/2	1	1	iio6/vii	a	i		iio6/vii	ii	o	6		vii			o	1	1	-3, -6, 0		0	-3
104	2.0	14	14	0	0	4/2	1	1	V2/vii	a	i		V2/vii	V		2		vii			Mm7	1	1	-3, -1, 3, 0		-1	-3
106	2.0	14	14	1/2	1/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
108	2.0	14	14	1	1	4/2	1	1	#viio6(2)/vii	a	i		#viio6(2)/vii	#vii	o	6	2	vii			o	1	1	0, -3, -2		3	0
110	2.0	14	14	3/2	3/2	4/2	1	1	#viio6/vii	a	i		#viio6/vii	#vii	o	6		vii			o	1	1	0, -3, 3		3	0
112	4.0	15	15	0	0	4/2	1	1	vii}{	a	i		vii	vii						}{	m	1	1	-2, -5, -1		-2	-2
116	4.0	15	15	1	1	4/2	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
120	2.0	16	16	0	0	4/2	1	1	I6	a	i		I6	I		6					M	1	1	4, 1, 0		0	4
122	2.0	16	16	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
124	2.0	16	16	1	1	4/2	1	1	VII6(2)	a	i		VII6(2)	VII		6	2				M	1	1	2, -1, 0		-2	2
126	2.0	16	16	3/2	3/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
128	2.0	17	17	0	0	4/2	1	1	#viio6/vii	a	i		#viio6/vii	#vii	o	6		vii			o	1	1	0, -3, 3		3	0
130	2.0	17	17	1/2	1/2	4/2	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
132	2.0	17	17	1	1	4/2	1	1	III6	a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
134	2.0	17	17	3/2	3/2	4/2	1	1	iii6	a	i		iii6	iii		6					m	1	1	-6, -2, -3		-3	-6
136	2.0	18	18	0	0	4/2	1	1	#viio6/iii	a	i		#viio6/iii	#vii	o	6		iii			o	1	1	-1, -4, 2		2	-1
138	2.0	18	18	1/2	1/2	4/2	1	1	iio/iv	a	i		iio/iv	ii	o			iv			o	1	1	1, -2, -5		1	1
140	4.0	18	18	1	1	4/2	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
144	2.0	19	19	0	0	4/2	1	1	IV6	a	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
146	2.0	19	19	1/2	1/2	4/2	1	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
148	2.0	19	19	1	1	4/2	1	1	III6(762)	a	i		III6(762)	III		6	762				M	1	1	1, 0, -1, 2		-3	1
150	2.0	19	19	3/2	3/2	4/2	1	1	iii6	a	i		iii6	iii		6					m	1	1	-6, -2, -3		-3	-6
152	2.0	20	20	0	0	4/2	1	1	viio6(2)/III	a	i		viio6(2)/III	vii	o	6	2	III			o	1	1	-1, -4, -3		2	-1
154	2.0	20	20	1/2	1/2	4/2	1	1	viio6/III	a	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
156	2.0	20	20	1	1	4/2	1	1	III(4)}{	a	i		III(4)	III			4			}{	M	1	1	-3, -4, -2		-3	-3
158	2.0	20	20	3/2	3/2	4/2	1	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
160	2.0	21	21	0	0	4/2	1	1	iv6(2)	a	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
162	2.0	21	21	1/2	1/2	4/2	1	1	IV6	a	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
164	2.0	21	21	1	1	4/2	1	1	I6	a	i		I6	I		6					M	1	1	4, 1, 0		0	4
166	2.0	21	21	3/2	3/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
168	2.0	22	22	0	0	4/2	1	1	VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
170	2.0	22	22	1/2	1/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
172	2.0	22	22	1	1	4/2	1	1	V7/iv	a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
174	2.0	22	22	3/2	3/2	4/2	1	1	iv64	a	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
176	2.0	23	23	0	0	4/2	1	1	I	a	i		I	I							M	1	1	0, 4, 1		0	0
178	2.0	23	23	1/2	1/2	4/2	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
180	2.0	23	23	1	1	4/2	1	1	VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
182	2.0	23	23	3/2	3/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-5, -1, -2		-2	-5
184	2.0	24	24	0	0	4/2	1	1	VI6	a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
186	2.0	24	24	1/2	1/2	4/2	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
188	2.0	24	24	1	1	4/2	1	1	VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
190	2.0	24	24	3/2	3/2	4/2	1	1	v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
192	2.0	25	25	0	0	4/2	1	1	V2/iv	a	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
194	2.0	25	25	1/2	1/2	4/2	1	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
196	2.0	25	25	1	1	4/2	1	1	I64	a	i		I64	I		64					M	1	1	1, 0, 4		0	1
198	2.0	25	25	3/2	3/2	4/2	1	1	III6	a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
200	2.0	26	26	0	0	4/2	1	1	VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
202	2.0	26	26	1/2	1/2	4/2	1	1	vii	a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
204	2.0	26	26	1	1	4/2	1	1	V65/iv	a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
206	2.0	26	26	3/2	3/2	4/2	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
208	2.0	27	27	0	0	4/2	1	1	V65/III	a	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
210	2.0	27	27	1/2	1/2	4/2	1	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
212	2.0	27	27	1	1	4/2	1	1	iv65(2)	a	i		iv65(2)	iv		65	2				mm7	1	1	-4, 0, -3, 1		-1	-4
214	2.0	27	27	3/2	3/2	4/2	1	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
216	2.0	28	28	0	0	4/2	1	1	i64	a	i		i64	i		64					m	1	1	1, 0, -3		0	1
218	2.0	28	28	1/2	1/2	4/2	1	1	viio6/IV	a	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
220	2.0	28	28	1	1	4/2	1	1	IV(#72)	a	i		IV(#72)	IV			#72				M	1	1	1, 3, 0	4	-1	1
222	2.0	28	28	3/2	3/2	4/2	1	1	ii6	a	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
224	2.0	29	29	0	0	4/2	1	1	v2	a	i		v2	v		2					mm7	1	1	-1, 1, -2, 2		1	-1
226	2.0	29	29	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
228	2.0	29	29	1	1	4/2	1	1	V2/V/III	a	i		V2/V/III	V		2		V/III			Mm7	1	1	-3, -1, 3, 0		-1	-3
230	2.0	29	29	3/2	3/2	4/2	1	1	V6/III	a	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
232	2.0	30	30	0	0	4/2	1	1	III(9)	a	i		III(9)	III			9				M	1	1	-3, 1, -2	-1	-3	-3
234	2.0	30	30	1/2	1/2	4/2	1	1	iii	a	i		iii	iii							m	1	1	-3, -6, -2		-3	-3
236	2.0	30	30	1	1	4/2	1	1	V7/bII	a	i		V7/bII	V		7		bII			Mm7	1	1	-4, 0, -3, -6		-4	-4
238	2.0	30	30	3/2	3/2	4/2	1	1	V/bII	a	i		V/bII	V				bII			M	1	1	-4, 0, -3		-4	-4
240	2.0	31	31	0	0	4/2	1	1	V2/III	a	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
242	2.0	31	31	1/2	1/2	4/2	1	1	viio6/IV	a	i		viio6/IV	vii	o	6		IV			o	1	1	1, -2, 4		4	1
244	2.0	31	31	1	1	4/2	1	1	IV(64)	a	i		IV(64)	IV			64				M	1	1	-1, -2, 2		-1	-1
246	2.0	31	31	3/2	3/2	4/2	1	1	IV	a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
248	1.0	32	32	0	0	4/2	1	1	#viio6	a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
249	2.0	32	32	1/4	1/4	4/2	1	1	#viio6(2)	a	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
251	1.0	32	32	3/4	3/4	4/2	1	1	#viio6	a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
252	2.0	32	32	1	1	4/2	1	1	I(#64)}{	a	i		I(#64)	I			#64			}{	M	1	1	0, -1, 1	3	0	0
254	2.0	32	32	3/2	3/2	4/2	1	1	I	a	i		I	I							M	1	1	0, 4, 1		0	0
256	2.0	33	33	0	0	4/2	1	1	#vi6	a	i		#vi6	#vi		6					m	1	1	0, 4, 3		3	0
