mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/2	1	1	.d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	4	4	2.0	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	6	6	2.0	3/2	3/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
2	2	8	8	2.0	0	0	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	10	10	2.0	1/2	1/2	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
2	2	12	12	2.0	1	1	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	14	14	2.0	3/2	3/2	4/2	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
3	3	16	16	2.0	0	0	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	3	18	18	2.0	1/2	1/2	4/2	1	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
3	3	20	20	2.0	1	1	4/2	1	1	VII(4)		d	i		VII(4)	VII			4				M	1	1	-2, -3, -1		-2	-2
3	3	22	22	2.0	3/2	3/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
4	4	24	24	2.0	0	0	4/2	1	1	i64(2)		d	i		i64(2)	i		64	2				m	1	1	1, 2, -3		0	1
4	4	26	26	2.0	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	28	28	2.0	1	1	4/2	1	1	V2/VII		d	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
4	4	30	30	2.0	3/2	3/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
5	5	32	32	4.0	0	0	4/2	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
5	5	36	36	2.0	1	1	4/2	1	1	i6(2)		d	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
5	5	38	38	2.0	3/2	3/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	40	40	4.0	0	0	8/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
6	6	44	44	4.0	1	1	8/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	48	48	2.0	2	2	8/2	1	1	v(4)		d	i		v(4)	v			4				m	1	1	1, 0, 2		1	1
6	6	50	50	2.0	5/2	5/2	8/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
6	6	52	52	2.0	3	3	8/2	1	1	v64		d	i		v64	v		64					m	1	1	2, 1, -2		1	2
6	6	54	54	2.0	7/2	7/2	8/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
7	7	56	56	4.0	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	60	60	2.0	1	1	4/2	1	1	ii(64)		d	i		ii(64)	ii			64				m	1	1	2, 1, -2		2	2
7	7	62	62	2.0	3/2	3/2	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
8	8	64	64	4.0	0	0	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
8	8	68	68	4.0	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9	9	72	72	4.0	0	0	4/2	1	1	#viio6	ii	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
9	9	76	76	2.0	1	1	4/2	1	1	i(4)		d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
9	9	78	78	2.0	3/2	3/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
10	10	80	80	2.0	0	0	4/2	1	1	VII6(1162)		d	i		VII6(1162)	VII		6	1162				M	1	1	2, 1, 0	-3	-2	2
10	10	82	82	2.0	1/2	1/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
10	10	84	84	2.0	1	1	4/2	1	1	i6(72)		d	i		i6(72)	i		6	72				m	1	1	-3, 1, 2, -2		0	-3
10	10	86	86	2.0	3/2	3/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	88	88	2.0	0	0	4/2	1	1	VII6(2)		d	i		VII6(2)	VII		6	2				M	1	1	2, -1, 0		-2	2
11	11	90	90	2.0	1/2	1/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
11	11	92	92	2.0	1	1	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
11	11	94	94	4.0	3/2	3/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	98	98	2.0	1/2	1/2	4/2	1	1	i(64)		d	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
12	12	100	100	2.0	1	1	4/2	1	1	I(4)}		d	i		I(4)	I			4			}	M	1	1	0, -1, 1		0	0
12	12	102	102	10.0	3/2	3/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
