quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	1	1	.d.v{		d	i		v	v						{	m	1	1	1, -2, 2		1	1
4	2.0	1	1	1	1	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	2.0	1	1	3/2	3/2	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
8	2.0	2	2	0	0	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
10	2.0	2	2	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	4.0	2	2	1	1	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
16	6.0	3	3	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
22	2.0	3	3	3/2	3/2	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
24	2.0	4	4	0	0	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
26	2.0	4	4	1/2	1/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
28	2.0	4	4	1	1	4/2	1	1	IV6(2)		d	i		IV6(2)	IV		6	2				M	1	1	3, 0, 1		-1	3
30	2.0	4	4	3/2	3/2	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
32	4.0	5	5	0	0	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
36	1.0	5	5	1	1	4/2	1	1	VI(4)		d	i		VI(4)	VI			4				M	1	1	-4, 2, -3		-4	-4
37	1.0	5	5	5/4	5/4	4/2	1	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
38	2.0	5	5	3/2	3/2	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
40	2.0	6	6	0	0	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
42	2.0	6	6	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
44	1.0	6	6	1	1	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
45	2.0	6	6	5/4	5/4	4/2	1	1	#viio6(2)		d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
47	1.0	6	6	7/4	7/4	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
48	2.0	7	7	0	0	4/2	1	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
50	2.0	7	7	1/2	1/2	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
52	1.0	7	7	1	1	4/2	1	1	III(4)		d	i		III(4)	III			4				M	1	1	-3, -4, -2		-3	-3
53	1.0	7	7	5/4	5/4	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
54	2.0	7	7	3/2	3/2	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
56	2.0	8	8	0	0	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
58	2.0	8	8	1/2	1/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
60	2.0	8	8	1	1	4/2	1	1	#viio6(2)/v		d	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	3, 0, 1		6	3
62	2.0	8	8	3/2	3/2	4/2	1	1	#viio6/v		d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
64	2.0	9	9	0	0	4/2	1	1	v}		d	i		v	v						}	m	1	1	1, -2, 2		1	1
66	2.0	9	9	1/2	1/2	4/2	1	1	III{		d	i		III	III						{	M	1	1	-3, 1, -2		-3	-3
68	2.0	9	9	1	1	4/2	1	1	iv2		d	i		iv2	iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
70	2.0	9	9	3/2	3/2	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
72	2.0	10	10	0	0	4/2	1	1	I(2)		d	i		I(2)	I			2				M	1	1	2, 4, 1		0	2
74	2.0	10	10	1/2	1/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
76	2.0	10	10	1	1	4/2	1	1	#viio(2)		d	i		#viio(2)	#vii	o		2				o	1	1	0, 2, -1		5	0
78	2.0	10	10	3/2	3/2	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
80	1.0	11	11	0	0	4/2	1	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
81	2.0	11	11	1/4	1/4	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
83	3.0	11	11	3/4	3/4	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
86	2.0	11	11	3/2	3/2	4/2	1	1	ii6/v		d	i		ii6/v	ii		6		v			m	1	1	0, 4, 3		3	0
88	2.0	12	12	0	0	4/2	1	1	V(#13)/v		d	i		V(#13)/v	V			#13	v			M	1	1	2, 6, 3	5	2	2
90	2.0	12	12	1/2	1/2	4/2	1	1	V(64)/v		d	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
92	2.0	12	12	1	1	4/2	1	1	V(4)/v		d	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
94	2.0	12	12	3/2	3/2	4/2	1	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
96	4.0	13	13	0	0	4/2	1	1	v}{		d	i		v	v						}{	m	1	1	1, -2, 2		1	1
100	2.0	13	13	1	1	4/2	1	1	ii	#viio6	d	i		ii	ii							m	1	1	2, -1, 3		2	2
102	2.0	13	13	3/2	3/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
104	2.0	14	14	0	0	4/2	1	1	iio6(2)		d	i		iio6(2)	ii	o	6	2				o	1	1	-1, -4, -3		2	-1
106	2.0	14	14	1/2	1/2	4/2	1	1	ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
108	1.0	14	14	1	1	4/2	1	1	I64(2)		d	i		I64(2)	I		64	2				M	1	1	1, 2, 4		0	1
109	1.0	14	14	5/4	5/4	4/2	1	1	I64		d	i		I64	I		64					M	1	1	1, 0, 4		0	1
110	2.0	14	14	3/2	3/2	4/2	1	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
112	2.0	15	15	0	0	4/2	1	1	ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
114	2.0	15	15	1/2	1/2	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
116	2.0	15	15	1	1	4/2	1	1	iv6(2)		d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
118	2.0	15	15	3/2	3/2	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
120	2.0	16	16	0	0	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
122	2.0	16	16	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
124	2.0	16	16	1	1	4/2	1	1	#viio6(2)		d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
126	2.0	16	16	3/2	3/2	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
128	2.0	17	17	0	0	4/2	1	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
130	2.0	17	17	1/2	1/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
132	2.0	17	17	1	1	4/2	1	1	viio6(2)/V		d	i		viio6(2)/V	vii	o	6	2	V			o	1	1	3, 0, 1		6	3
134	2.0	17	17	3/2	3/2	4/2	1	1	viio6/V		d	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3
136	2.0	18	18	0	0	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
138	2.0	18	18	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
140	2.0	18	18	1	1	4/2	1	1	V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
142	2.0	18	18	3/2	3/2	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
144	4.0	19	19	0	0	4/2	1	1	I}		d	i		I	I						}	M	1	1	0, 4, 1		0	0
146	0.0	19	19	1/2	1/2	4/2	1	1	{		d	i									{		1	1				
148	2.0	19	19	1	1	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
150	2.0	19	19	3/2	3/2	4/2	1	1	#vio6	#vi6	d	i		#vio6	#vi	o	6					o	1	1	0, -3, 3		3	0
152	2.0	20	20	0	0	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
154	2.0	20	20	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
156	4.0	20	20	1	1	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
160	2.0	21	21	0	0	4/2	1	1	iio6(2)/v		d	i		iio6(2)/v	ii	o	6	2	v			o	1	1	0, -3, -2		3	0
162	2.0	21	21	1/2	1/2	4/2	1	1	iio6/v		d	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
164	1.0	21	21	1	1	4/2	1	1	V(13)/v		d	i		V(13)/v	V			13	v			M	1	1	2, 6, 3	-2	2	2
165	3.0	21	21	5/4	5/4	4/2	1	1	V(64)/v		d	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
168	2.0	22	22	0	0	4/2	1	1	V(4)/v		d	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
170	2.0	22	22	1/2	1/2	4/2	1	1	V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
172	4.0	22	22	1	1	4/2	1	1	v}{		d	i		v	v						}{	m	1	1	1, -2, 2		1	1
176	4.0	23	23	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
180	4.0	23	23	1	1	4/2	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
184	2.0	24	24	0	0	4/2	1	1	viio6/VII		d	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
186	2.0	24	24	1/2	1/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
188	2.0	24	24	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
190	2.0	24	24	3/2	3/2	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
192	2.0	25	25	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
194	2.0	25	25	1/2	1/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
196	2.0	25	25	1	1	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
198	2.0	25	25	3/2	3/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
200	2.0	26	26	0	0	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
202	2.0	26	26	1/2	1/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
204	2.0	26	26	1	1	4/2	1	1	V6(4)/iv		d	i		V6(4)/iv	V		6	4	iv			M	1	1	-1, 1, 0		0	-1
206	2.0	26	26	3/2	3/2	4/2	1	1	V6/iv		d	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
208	2.0	27	27	0	0	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
210	2.0	27	27	1/2	1/2	4/2	1	1	ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
212	1.0	27	27	1	1	4/2	1	1	I6(2)		d	i		I6(2)	I		6	2				M	1	1	4, 1, 2		0	4
213	1.0	27	27	5/4	5/4	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
214	2.0	27	27	3/2	3/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
216	2.0	28	28	0	0	4/2	1	1	#viio6(2)		d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
218	2.0	28	28	1/2	1/2	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
220	6.0	28	28	1	1	4/2	1	1	i}		d	i		i	i						}	m	1	1	0, -3, 1		0	0
222	0.0	28	28	3/2	3/2	4/2	1	1	{		d	i									{		1	1				
226	2.0	29	29	1/2	1/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
228	1.0	29	29	1	1	4/2	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
229	1.0	29	29	5/4	5/4	4/2	1	1	V/VII		d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
230	2.0	29	29	3/2	3/2	4/2	1	1	VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
232	2.0	30	30	0	0	4/2	1	1	ii64(2)/VII		d	i		ii64(2)/VII	ii		64	2	VII			m	1	1	1, 2, -3		0	1
234	2.0	30	30	1/2	1/2	4/2	1	1	viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
236	2.0	30	30	1	1	4/2	1	1	VII}{		d	i		VII	VII						}{	M	1	1	-2, 2, -1		-2	-2
238	1.0	30	30	3/2	3/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
239	1.0	30	30	7/4	7/4	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
240	2.0	31	31	0	0	4/2	1	1	V(4)/V		d	i		V(4)/V	V			4	V			M	1	1	2, 1, 3		2	2
242	2.0	31	31	1/2	1/2	4/2	1	1	V/V		d	i		V/V	V				V			M	1	1	2, 6, 3		2	2
244	4.0	31	31	1	1	4/2	1	1	V}		d	i		V	V						}	M	1	1	1, 5, 2		1	1
246	0.0	31	31	3/2	3/2	4/2	1	1	{		d	i									{		1	1				
248	2.0	32	32	0	0	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
250	2.0	32	32	1/2	1/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
252	2.0	32	32	1	1	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
254	2.0	32	32	3/2	3/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
256	2.0	33	33	0	0	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
258	2.0	33	33	1/2	1/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
260	2.0	33	33	1	1	4/2	1	1	V7/IV		d	i		V7/IV	V		7		IV			Mm7	1	1	0, 4, 1, -2		0	0
262	2.0	33	33	3/2	3/2	4/2	1	1	IV64		d	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
264	2.0	34	34	0	0	4/2	1	1	VIM7		d	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
266	2.0	34	34	1/2	1/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
268	2.0	34	34	1	1	4/2	1	1	i7		d	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
270	2.0	34	34	3/2	3/2	4/2	1	1	iv64		d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
272	1.0	35	35	0	0	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
273	1.0	35	35	1/4	1/4	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
274	2.0	35	35	1/2	1/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
276	2.0	35	35	1	1	4/2	1	1	iv65(2)		d	i		iv65(2)	iv		65	2				mm7	1	1	-4, 0, -3, 1		-1	-4
278	2.0	35	35	3/2	3/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
280	2.0	36	36	0	0	4/2	1	1	#viio6(2)/iv		d	i		#viio6(2)/iv	#vii	o	6	2	iv			o	1	1	1, -2, -1		4	1
282	2.0	36	36	1/2	1/2	4/2	1	1	#viio6/iv		d	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
284	4.0	36	36	1	1	4/2	1	1	iv}{		d	i		iv	iv						}{	m	1	1	-1, -4, 0		-1	-1
288	4.0	37	37	0	0	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
292	1.0	37	37	1	1	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
293	3.0	37	37	5/4	5/4	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
296	1.0	38	38	0	0	4/2	1	1	i6(2)		d	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
297	1.0	38	38	1/4	1/4	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
298	2.0	38	38	1/2	1/2	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
300	2.0	38	38	1	1	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
302	2.0	38	38	3/2	3/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
304	1.0	39	39	0	0	4/2	1	1	#viio6/v		d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
305	2.0	39	39	1/4	1/4	4/2	1	1	#viio6(2)/v		d	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	3, 0, 1		6	3
307	1.0	39	39	3/4	3/4	4/2	1	1	#viio6/v		d	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
308	2.0	39	39	1	1	4/2	1	1	v}{		d	i		v	v						}{	m	1	1	1, -2, 2		1	1
310	2.0	39	39	3/2	3/2	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
312	1.0	40	40	0	0	4/2	1	1	V(#13)		d	i		V(#13)	V			#13				M	1	1	1, 5, 2	4	1	1
313	1.0	40	40	1/4	1/4	4/2	1	1	V(#64)		d	i		V(#64)	V			#64				M	1	1	1, 0, 2	4	1	1
314	2.0	40	40	1/2	1/2	4/2	1	1	V(64)		d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
316	2.0	40	40	1	1	4/2	1	1	V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
318	2.0	40	40	3/2	3/2	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
320	4.0	41	41	0	0	4/2	1	1	I}		d	i		I	I						}	M	1	1	0, 4, 1		0	0
322	0.0	41	41	1/2	1/2	4/2	1	1	{		d	i									{		1	1				
324	4.0	41	41	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
328	4.0	42	42	0	0	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
332	4.0	42	42	1	1	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
336	2.0	43	43	0	0	2/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
338	2.0	43	43	1/2	1/2	2/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
340	2.0	44	44	0	0	4/2	1	1	ii		d	i		ii	ii							m	1	1	2, -1, 3		2	2
342	2.0	44	44	1/2	1/2	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
344	2.0	44	44	1	1	4/2	1	1	V65		d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
346	2.0	44	44	3/2	3/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
348	4.0	45	45	0	0	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
352	4.0	45	45	1	1	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
356	4.0	46	46	0	0	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
360	2.0	46	46	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
362	2.0	46	46	3/2	3/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
364	4.0	47	47	0	0	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
368	1.0	47	47	1	1	4/2	1	1	iv(2)		d	i		iv(2)	iv			2				m	1	1	1, -4, 0		-1	1
369	1.0	47	47	5/4	5/4	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
370	2.0	47	47	3/2	3/2	4/2	1	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
372	2.0	48	48	0	0	4/2	1	1	V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
374	2.0	48	48	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
376	4.0	48	48	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
380	2.0	49	49	0	0	4/2	1	1	iv(9)		d	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
382	2.0	49	49	1/2	1/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
384	4.0	49	49	1	1	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
388	4.0	50	50	0	0	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
392	4.0	50	50	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
396	1.0	51	51	0	0	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
397	2.0	51	51	1/4	1/4	4/2	1	1	#viio6(2)		d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
399	1.0	51	51	3/4	3/4	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
400	1.0	51	51	1	1	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
401	2.0	51	51	5/4	5/4	4/2	1	1	V(4)/IV		d	i		V(4)/IV	V			4	IV			M	1	1	0, -1, 1		0	0
403	1.0	51	51	7/4	7/4	4/2	1	1	V/IV		d	i		V/IV	V				IV			M	1	1	0, 4, 1		0	0
404	2.0	52	52	0	0	4/2	1	1	IV}{		d	i		IV	IV						}{	M	1	1	-1, 3, 0		-1	-1
406	2.0	52	52	1/2	1/2	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
408	2.0	52	52	1	1	4/2	1	1	VI6(2)		d	i		VI6(2)	VI		6	2				M	1	1	0, -3, -2		-4	0
410	1.0	52	52	3/2	3/2	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
411	1.0	52	52	7/4	7/4	4/2	1	1	iio		d	i		iio	ii	o						o	1	1	2, -1, -4		2	2
