quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/2	1	1	.d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
4	2.0	1	1	1	1	4/2	1	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	2.0	1	1	3/2	3/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	4.0	2	2	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
12	2.0	2	2	1	1	4/2	1	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
14	4.0	2	2	3/2	3/2	4/2	1	1	VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	4.0	3	3	1/2	1/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
22	2.0	3	3	3/2	3/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
24	2.0	4	4	0	0	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
26	2.0	4	4	1/2	1/2	4/2	1	1	III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
28	2.0	4	4	1	1	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
30	2.0	4	4	3/2	3/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
32	2.0	5	5	0	0	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
34	2.0	5	5	1/2	1/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
36	2.0	5	5	1	1	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
38	2.0	5	5	3/2	3/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
40	2.0	6	6	0	0	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
42	1.0	6	6	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
43	1.0	6	6	3/4	3/4	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
44	4.0	6	6	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
48	8.0	7	7	0	0	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
56	1.0	8	8	0	0	4/2	1	1	iv6(2)		d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
57	3.0	8	8	1/4	1/4	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
60	2.0	8	8	1	1	4/2	1	1	V6/iv		d	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
