piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	composed_start2	composed_end2	wikidata	musicbrainz	viaf	imslp	pdf	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus
12.01_Toccata_avanti_la_Messa_della_Domenica	1: 4/2	1: 0	8	8	64	8	8	64	244	200	121	0	0	57	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	1	Toccata avanti la Messa della Domenica	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 1: Toccata avanti la Messa della Domenica	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.01_Toccata_avanti_la_Messa_della_Domenica.mscx	False	43-77 (G2-F5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/4ca22ee2-275b-49cf-9676-03680d71c1ed	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	59-77 (B3-F5)	Organ	43-65 (G2-F4)						
12.02_Kyrie_della_domenica	1: 4/2	1: 0	13	13	104	13	13	104	348	167	106	0	0	60	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	2	Kyrie della domenica	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 2: Kyrie della domenica	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.02_Kyrie_della_domenica.mscx	False	43-70 (G2-Bb4)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/b2dda4ec-d61b-428b-a361-77c5191d7bd4	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	53-70 (F3-Bb4)	Organ	43-62 (G2-D4)						
12.03_Kyrie,_Tema_A	1: 4/2	1: 0	17	17	136	17	17	136	443	169	81	0	0	66	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	3	Kyrie, Tema A	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 3: Kyrie, Tema A	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.03_Kyrie,_Tema_A.mscx	False	43-77 (G2-F5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/beaf614a-64cd-4c83-b9a7-495ca0ac013c	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	56-77 (G#3-F5)	Organ	43-65 (G2-F4)						
12.04_Christe,_Tema_B	1: 4/2	1: 0	15	15	120	15	15	120	380	175	121	0	0	47	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	4	Christe, Tema B	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 4: Christe, Tema B	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.04_Christe,_Tema_B.mscx	False	43-72 (G2-C5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/6346b073-d576-4307-843a-fe54d80ff116	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	55-72 (G3-C5)	Organ	43-62 (G2-D4)						
12.05_Christe,_Tema_B,_alio_modo	1: 8/4, 4: 4/4, 6: 8/4	1: 0	8	8	56	8	8	56	176	156	93	0	0	47	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	5	Christe, Tema B, alio modo	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 5: Christe, Tema B, alio modo	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.05_Christe,_Tema_B,_alio_modo.mscx	False	43-77 (G2-F5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/2843547e-68f0-4f9d-8ccc-f9c53b7d9c18	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	53-77 (F3-F5)	Organ	43-64 (G2-E4)						
12.06_Christe,_Tema_B,_alio_modo_II	1: 3/2	1: 0	21	21	126	21	21	126	416	164	98	0	0	46	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	6	Christe, Tema B, alio modo II	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 6: Christe, Tema B, alio modo II	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.06_Christe,_Tema_B,_alio_modo_II.mscx	False	40-74 (E2-D5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/d1e6cb07-5cc7-4ab4-a2ee-ac362d88b43a	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	55-74 (G3-D5)	Organ	40-62 (E2-D4)						
12.07_Christe,_Tema_B,_alio_modo_III	1: 4/2	1: 0	14	14	112	14	14	112	384	153	101	0	0	35	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	7	Christe, Tema B, alio modo III	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 7: Christe, Tema B, alio modo III	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.07_Christe,_Tema_B,_alio_modo_III.mscx	False	41-74 (F2-D5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/a5ecc5bd-ea8a-4889-859d-22881564ab2f	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	62-74 (D4-D5)	Organ	41-62 (F2-D4)						
12.08_Kyrie,_Tema_C	1: 4/2	1: 0	13	13	104	13	13	104	380	124	83	0	0	54	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	8	Kyrie, Tema C	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 8: Kyrie, Tema C	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.08_Kyrie,_Tema_C.mscx	False	43-74 (G2-D5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/d54916ab-690c-45b4-9ded-2fc35bf606f9	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	62-74 (D4-D5)	Organ	43-65 (G2-F4)						
12.09_Kyrie,_Tema_D,_alio_modo_I	1: 4/2	1: 0	21	21	168	21	21	168	539	224	140	0	0	63	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	9	Kyrie, Tema D, alio modo I	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 9: Kyrie, Tema D, alio modo I	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.09_Kyrie,_Tema_D,_alio_modo_I.mscx	False	43-77 (G2-F5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/3199ddbc-1812-4a1e-b34e-5566f458b4f9	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	55-77 (G3-F5)	Organ	43-65 (G2-F4)						
12.10_Kyrie,_Tema_D,_alio_modo_II	1: 4/2	1: 0	18	18	144	18	18	144	475	210	133	0	0	52	d	1635	1635	Bärenreiter Verlag (https://imslp.org/wiki/Special:ReverseLookup/39823)	Girolamo Frescobaldi	La Messa della Domenica	10	Kyrie, Tema D, alio modo II	Op.12				1635	2019-05-03	3.02	Microsoft Windows			La Messa della Domenica, 10: Kyrie, Tema D, alio modo II	from Fiori Musicali	Girolamo Frescobaldi	3.6.2	2.2.2	MS3	MS3/12.10_Kyrie,_Tema_D,_alio_modo_II.mscx	False	43-76 (G2-E5)	Q209212	1635	1635	https://www.wikidata.org/wiki/Q3072749	https://musicbrainz.org/work/70dd9b1d-0fef-4884-9c96-56a1695f6e35	https://viaf.org/viaf/179864547/	https://imslp.org/wiki/Fiori_Musicali,_Op.12_(Frescobaldi,_Girolamo)	https://imslp.org/wiki/Special:ReverseLookup/39823	Organ	55-76 (G3-E5)	Organ	43-64 (G2-E4)						
