mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	g.i{		g	i		i	i						{	m	1	1	1, -2, 2		1.0	1.0	4	14	0.2222222222222222	0.375	2.125	0.15
2	2	1/4	1/4	4/4	1	1	V6		g	i		V6	V		6					M	1	1	6, 3, 2		2.0	6.0	0	4	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	1	1	i		g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	4	10	0.2857142857142857	0.375	1.625	0.1875
3	3	0	0	4/4	1	1	V		g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	2	12	0.14285714285714285	0.25	1.75	0.125
3	3	1/2	1/2	4/4	1	1	VI		g	i		VI	VI							M	1	1	-3, 1, -2		-3.0	-3.0	2	6	0.25	0.25	1.25	0.16666666666666666
3	3	7/8	7/8	4/4	1	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0.0	0.0	2	4	0.3333333333333333	0.125	0.375	0.25
4	4	0	0	4/4	1	1	I6		g	i		I6	I		6					M	1	1	5, 2, 1		1.0	5.0	0	6	0.0	0.0	1.25	0.0
4	4	1/4	1/4	4/4	1	1	iv		g	i		iv	iv							m	1	1	0, -3, 1		0.0	0.0	4	10	0.2857142857142857	0.25	1.25	0.16666666666666666
4	4	1/2	1/2	4/4	1	1	v		g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	6	16	0.2727272727272727	0.625	3.375	0.15625
5	5	1/4	1/4	4/4	1	1	V6/v		g	i		V6/v	V		6		v			M	1	1	7, 4, 3		3.0	7.0	2	6	0.25	0.25	0.75	0.25
5	5	1/2	1/2	4/4	1	1	v		g	i		v	v							m	1	1	2, -1, 3		2.0	2.0	6	12	0.3333333333333333	0.75	2.25	0.25
6	6	0	0	4/4	1	1	V/v		g	i		V/v	V				v			M	1	1	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.0	0.0
