mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/2	1	1	G.vi{		G	I		vi	vi						{	m	0	0	4, 1, 5		4	4	2	5	0.2857142857142857	0.75	2.25	0.25
2	2	1	1	4/2	1	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	4	5	0.4444444444444444	1.25	1.75	0.4166666666666667
4	4	0	0	4/2	1	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	1	3	0.25	0.25	1.25	0.16666666666666666
4	4	3/4	3/4	4/2	1	1	#viio6/v		G	I		#viio6/v	#vii	o	6		v			o	0	0	4, 1, 7		7	4	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	1	1	4/2	1	1	v		G	I		v	v							m	0	0	2, -1, 3		2	2	0	3	0.0	0.0	1.0	0.0
4	4	3/2	3/2	4/2	1	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
4	4	7/4	7/4	4/2	1	1	v6		G	I		v6	v		6					m	0	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
5	5	0	0	4/2	1	1	IV6		G	I		IV6	IV		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	1.25	0.0
5	5	1/2	1/2	4/2	1	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	0	1	0.0	0.0	0.5	0.0
5	5	3/4	3/4	4/2	1	1	iiio6		G	I		iiio6	iii	o	6					o	0	0	2, -1, 5		5	2	0	1	0.0	0.0	0.25	0.0
5	5	1	1	4/2	1	1	ii6		G	I		ii6	ii		6					m	0	0	0, 4, 3		3	0	0	2	0.0	0.0	0.75	0.0
5	5	5/4	5/4	4/2	1	1	IV		G	I		IV	IV							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.25	0.0
5	5	3/2	3/2	4/2	1	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
5	5	7/4	7/4	4/2	1	1	ii	viio6	G	I		ii	ii							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
6	6	0	0	4/2	1	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	1.25	0.0
6	6	1/2	1/2	4/2	1	1	V6(4)		G	I		V6(4)	V		6	4				M	0	0	1, 3, 2		2	1	0	1	0.0	0.0	0.5	0.0
6	6	3/4	3/4	4/2	1	1	V6		G	I		V6	V		6					M	0	0	6, 3, 2		2	6	0	1	0.0	0.0	0.25	0.0
6	6	1	1	4/2	1	1	vi}{		G	I		vi	vi						}{	m	0	0	4, 1, 5		4	4	2	5	0.2857142857142857	0.5	3.0	0.14285714285714285
7	7	0	0	4/2	1	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	1	4	0.2	0.25	3.75	0.0625
7	7	1/2	1/2	4/2	1	1	I6		G	I		I6	I		6					M	0	0	5, 2, 1		1	5	1	3	0.25	0.125	0.875	0.125
7	7	1	1	4/2	1	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	1	4	0.2	0.125	1.875	0.0625
7	7	3/2	3/2	4/2	1	1	iii		G	I		iii	iii							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.5	0.0
7	7	7/4	7/4	4/2	1	1	viio6		G	I		viio6	vii	o	6					o	0	0	3, 0, 6		6	3	0	2	0.0	0.0	0.5	0.0
8	8	0	0	4/2	1	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	2.25	0.0
8	8	1/2	1/2	4/2	1	1	v6(4)		G	I		v6(4)	v		6	4				m	0	0	1, 3, 2		2	1	0	1	0.0	0.0	0.5	0.0
8	8	3/4	3/4	4/2	1	1	v6		G	I		v6	v		6					m	0	0	-1, 3, 2		2	-1	0	1	0.0	0.0	0.25	0.0
8	8	1	1	4/2	1	1	vi		G	I		vi	vi							m	0	0	4, 1, 5		4	4	4	6	0.4	1.0	3.0	0.25
9	9	1/2	1/2	4/2	1	1	V(64)		G	I		V(64)	V			64				M	0	0	2, 1, 5		2	2	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
9	9	1	1	4/2	1	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	2	6	0.25	0.5	2.5	0.16666666666666666
10	10	0	0	4/2	1	1	V(13)		G	I		V(13)	V			13				M	0	0	2, 6, 3	5	2	2	0	3	0.0	0.0	1.75	0.0
10	10	1/4	1/4	4/2	1	1	V(64)		G	I		V(64)	V			64				M	0	0	2, 1, 5		2	2	0	1	0.0	0.0	0.5	0.0
10	10	1/2	1/2	4/2	1	1	V(4)		G	I		V(4)	V			4				M	0	0	2, 1, 3		2	2	0	1	0.0	0.0	0.5	0.0
10	10	3/4	3/4	4/2	1	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	0	1	0.0	0.0	0.25	0.0
10	10	1	1	4/2	1	1	I}		G	I		I	I						}	M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	2.0	0.0
10	10	3/2	3/2	4/2	1	1	vi{		G	I		vi	vi						{	m	0	0	4, 1, 5		4	4	2	5	0.2857142857142857	0.5	2.5	0.16666666666666666
