mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	e.iv{		e	i		iv	iv						{	m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.0625	0.4375	0.125
1	1	1/2	1/2	4/4	1	1	i		e	i		i	i							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
1	1	3/4	3/4	4/4	1	1	VI	iv6	e	i		VI	VI							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
2	2	0	0	4/4	1	1	i		e	i		i	i							m	1	1	4, 1, 5		4	4	4	7	0.36363636363636365	0.25	0.875	0.2222222222222222
2	2	3/4	3/4	4/4	1	1	VI		e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
3	3	0	0	4/4	1	1	iv		e	i		iv	iv							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	4/4	1	1	vii6		e	i		vii6	vii		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	1	1	i		e	i		i	i							m	1	1	4, 1, 5		4	4	3	6	0.3333333333333333	0.1875	0.8125	0.1875
4	4	0	0	4/4	1	1	iv		e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	4	0.2	0.125	1.125	0.1
4	4	3/8	3/8	4/4	1	1	iio6		e	i		iio6	ii	o	6					o	1	1	3, 0, 6		6	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	1/2	1/2	4/4	1	1	i		e	i		i	i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.75	0.0
4	4	3/4	3/4	4/4	1	1	iv6		e	i		iv6	iv		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	0.75	0.0
5	5	0	0	4/4	1	1	III6		e	i		III6	III		6					M	1	1	5, 2, 1		1	5	3	7	0.3	0.1875	1.6875	0.1
5	5	1/2	1/2	4/4	1	1	VI6(2)		e	i		VI6(2)	VI		6	2				M	1	1	4, 1, 2		0	4	0	2	0.0	0.0	0.5	0.0
5	5	5/8	5/8	4/4	1	1	VI6		e	i		VI6	VI		6					M	1	1	4, 1, 0		0	4	2	4	0.3333333333333333	0.125	0.875	0.125
5	5	7/8	7/8	4/4	1	1	VI		e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	1	0.5	0.0625	0.0625	0.5
