mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/2	1	1	.d.i{	d	i		i	i						{	m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	3.0	0.0
1	1	3/2	3/2	4/2	1	1	V6	d	i		V6	V		6					M	1	1	7, 4, 3		3.0	7.0	0	2	0.0	0.0	1.0	0.0
2	2	0	0	4/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	3.0	0.0
2	2	1/2	1/2	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	2	4	0.3333333333333333	0.5	3.5	0.125
2	2	3/2	3/2	4/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	2	2	0.5	0.5	0.5	0.5
3	3	0	0	4/2	1	1	#viio6/v	d	i		#viio6/v	#vii	o	6		v			o	1	1	5, 2, 8		8.0	5.0	0	4	0.0	0.0	3.0	0.0
3	3	1/2	1/2	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
3	3	1	1	4/2	1	1	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	2	4	0.3333333333333333	1.0	2.5	0.2857142857142857
3	3	3/2	3/2	4/2	1	1	v	d	i		v	v							m	1	1	3, 0, 4		3.0	3.0	4	16	0.2	0.75	7.75	0.08823529411764706
4	4	1	1	4/2	1	1	#viio(2)/v	d	i		#viio(2)/v	#vii	o		2	v			o	1	1	3, 5, 2		8.0	3.0	2	6	0.25	0.25	2.75	0.08333333333333333
4	4	3/2	3/2	4/2	1	1	V6/v	d	i		V6/v	V		6		v			M	1	1	8, 5, 4		4.0	8.0	0	4	0.0	0.0	2.0	0.0
5	5	0	0	4/2	1	1	v(6)	d	i		v(6)	v			6				m	1	1	3, 0, -1		3.0	3.0	0	6	0.0	0.0	4.0	0.0
5	5	1/2	1/2	4/2	1	1	v6	d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	0	4	0.0	0.0	2.5	0.0
5	5	1	1	4/2	1	1	IV6(4)	d	i		IV6(4)	IV		6	4				M	1	1	0, 2, 1		1.0	0.0	0	4	0.0	0.0	3.5	0.0
5	5	5/4	5/4	4/2	1	1	IV6	d	i		IV6	IV		6					M	1	1	5, 2, 1		1.0	5.0	2	4	0.3333333333333333	0.25	0.75	0.25
5	5	7/4	7/4	4/2	1	1	ii6	d	i		ii6	ii		6					m	1	1	1, 5, 4		4.0	1.0	0	4	0.0	0.0	1.0	0.0
6	6	0	0	4/2	1	1	i}{	d	i		i	i						}{	m	1	1	2, -1, 3		2.0	2.0	2	14	0.125	0.5	10.5	0.045454545454545456
6	6	3/2	3/2	4/2	1	1	V6	d	i		V6	V		6					M	1	1	7, 4, 3		3.0	7.0	0	4	0.0	0.0	2.0	0.0
7	7	0	0	4/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	2	6	0.25	0.5	3.5	0.125
7	7	1/2	1/2	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	2	4	0.3333333333333333	0.5	2.0	0.2
7	7	1	1	4/2	1	1	V2/VII	d	i		V2/VII	V		2		VII			Mm7	1	1	-1, 1, 5, 2		1.0	-1.0	2	6	0.25	0.25	3.25	0.07142857142857142
7	7	3/2	3/2	4/2	1	1	VII6	d	i		VII6	VII		6					M	1	1	4, 1, 0		0.0	4.0	0	6	0.0	0.0	2.0	0.0
8	8	0	0	4/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	2	12	0.14285714285714285	0.5	9.5	0.05
8	8	1	1	4/2	1	1	#viio6(2)/v	d	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	5, 2, 3		8.0	5.0	0	6	0.0	0.0	3.0	0.0
8	8	3/2	3/2	4/2	1	1	#viio6/v	d	i		#viio6/v	#vii	o	6		v			o	1	1	5, 2, 8		8.0	5.0	0	6	0.0	0.0	3.0	0.0
9	9	0	0	4/2	1	1	v}{	d	i		v	v						}{	m	1	1	3, 0, 4		3.0	3.0	4	12	0.25	1.0	7.5	0.11764705882352941
9	9	1	1	4/2	1	1	ii	d	i		ii	ii							m	1	1	4, 1, 5		4.0	4.0	2	10	0.16666666666666666	0.25	5.0	0.047619047619047616
10	10	0	0	4/2	1	1	IV	d	i		IV	IV							M	1	1	1, 5, 2		1.0	1.0	4	12	0.25	1.0	8.0	0.1111111111111111
10	10	1	1	4/2	1	1	V(64)	d	i		V(64)	V			64				M	1	1	3, 2, -1		3.0	3.0	2	6	0.25	0.25	2.75	0.08333333333333333
10	10	3/2	3/2	4/2	1	1	V	d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	6	0.0	0.0	3.0	0.0
11	11	0	0	4/2	1	1	i}{	d	i		i	i						}{	m	1	1	2, -1, 3		2.0	2.0	0	12	0.0	0.0	8.0	0.0
11	11	1	1	4/2	1	1	ii(64)	d	i		ii(64)	ii			64				m	1	1	4, 3, 0		4.0	4.0	2	6	0.25	0.25	2.75	0.08333333333333333
11	11	3/2	3/2	4/2	1	1	ii	d	i		ii	ii							m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	2.0	0.0
12	12	0	0	4/2	1	1	IV	d	i		IV	IV							M	1	1	1, 5, 2		1.0	1.0	6	8	0.42857142857142855	1.0	4.0	0.2
12	12	1	1	4/2	1	1	III	d	i		III	III							M	1	1	-1, 3, 0		-1.0	-1.0	0	8	0.0	0.0	4.0	0.0
12	12	3/2	3/2	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	0	6	0.0	0.0	3.0	0.0
13	13	0	0	4/2	1	1	V(4)/v	d	i		V(4)/v	V			4	v			M	1	1	4, 3, 5		4.0	4.0	0	8	0.0	0.0	6.0	0.0
13	13	1/2	1/2	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	2.0	0.0
13	13	1	1	4/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	12	0.0	0.0	7.0	0.0
13	13	7/4	7/4	4/2	1	1	viio6/VII	d	i		viio6/VII	vii	o	6		VII			o	1	1	2, -1, 5		5.0	2.0	2	4	0.3333333333333333	0.25	0.75	0.25
14	14	0	0	4/2	1	1	VII6	d	i		VII6	VII		6					M	1	1	4, 1, 0		0.0	4.0	4	8	0.3333333333333333	0.5	5.0	0.09090909090909091
14	14	1/2	1/2	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	4, 8, 5		4.0	4.0	2	4	0.3333333333333333	0.5	2.0	0.2
14	14	1	1	4/2	1	1	VI/v	d	i		VI/v	VI				v			M	1	1	-1, 3, 0		-1.0	-1.0	6	12	0.3333333333333333	1.0	7.0	0.125
15	15	0	0	4/2	1	1	i7	d	i		i7	i		7					mm7	1	1	2, -1, 3, 0		2.0	2.0	0	10	0.0	0.0	7.0	0.0
15	15	1/2	1/2	4/2	1	1	I(b64)	d	i		I(b64)	I			b64				M	1	1	2, 1, -9		2.0	2.0	2	6	0.25	2.0	5.0	0.2857142857142857
15	15	3/2	3/2	4/2	1	1	I}	d	i		I	I						}	M	1	1	2, 6, 3		2.0	2.0	4	12	0.25	1.0	17.0	0.05555555555555555
