mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/2	1	1	a.v{	a	i		v	v						{	m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	6.0	0.0
1	1	1	1	4/2	1	1	v(64)/v	a	i		v(64)/v	v			64	v			m	1	1	5, 4, 1		5.0	5.0	0	1	0.0	0.0	1.0	0.0
1	1	3/2	3/2	4/2	1	1	v/v	a	i		v/v	v				v			m	1	1	5, 2, 6		5.0	5.0	0	2	0.0	0.0	1.0	0.0
2	2	0	0	4/2	1	1	#vi2/v	a	i		#vi2/v	#vi		2		v			mm7	1	1	5, 7, 4, 8		7.0	5.0	0	4	0.0	0.0	2.5	0.0
2	2	1/2	1/2	4/2	1	1	ii6/v	a	i		ii6/v	ii		6		v			m	1	1	3, 7, 6		6.0	3.0	0	3	0.0	0.0	2.5	0.0
2	2	1	1	4/2	1	1	v7/v	a	i		v7/v	v		7		v			mm7	1	1	5, 2, 6, 3		5.0	5.0	0	2	0.0	0.0	2.0	0.0
2	2	3/2	3/2	4/2	1	1	IV6/iv	a	i		IV6/iv	IV		6		iv			M	1	1	5, 2, 1		1.0	5.0	1	2	0.3333333333333333	0.25	0.75	0.25
3	3	0	0	4/2	1	1	V7/iv	a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	2.5	0.0
3	3	1/2	1/2	4/2	1	1	V(64)/iv	a	i		V(64)/iv	V			64	iv			M	1	1	3, 2, -1		3.0	3.0	0	3	0.0	0.0	2.0	0.0
3	3	1	1	4/2	1	1	ii%65/iv	a	i		ii%65/iv	ii	%	65		iv			%7	1	1	1, -2, 2, 4		4.0	1.0	0	3	0.0	0.0	2.0	0.0
3	3	3/2	3/2	4/2	1	1	ii/VII	a	i		ii/VII	ii				VII			m	1	1	3, 0, 4		3.0	3.0	1	3	0.25	0.25	1.25	0.16666666666666666
4	4	0	0	4/2	1	1	V7/VII	a	i		V7/VII	V		7		VII			Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	4	0.0	0.0	2.5	0.0
4	4	1/2	1/2	4/2	1	1	VII	a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	2.0	0.0
4	4	1	1	4/2	1	1	i[V7/IV	a	i	i	V7/IV	V		7		IV			Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	2.75	0.0
4	4	3/2	3/2	4/2	1	1	IV64	a	i	i	IV64	IV		64					M	1	1	3, 2, 6		2.0	3.0	0	2	0.0	0.0	0.75	0.0
5	5	0	0	4/2	1	1	IV6/III	a	i	i	IV6/III	IV		6		III			M	1	1	3, 0, -1		-1.0	3.0	1	4	0.2	0.25	3.0	0.07692307692307693
5	5	1/2	1/2	4/2	1	1	iii6/III	a	i	i	iii6/III	iii		6		III			m	1	1	1, 5, 4		4.0	1.0	0	3	0.0	0.0	1.75	0.0
5	5	1	1	4/2	1	1	IVM65/III]	a	i	i	IVM65/III	IV	M	65		III			MM7	1	1	3, 0, 4, -1		-1.0	3.0	0	2	0.0	0.0	1.5	0.0
5	5	3/2	3/2	4/2	1	1	viio/III	a	i		viio/III	vii	o			III			o	1	1	5, 2, -1		5.0	5.0	1	3	0.25	0.25	1.25	0.16666666666666666
6	6	0	0	4/2	1	1	III	a	i		III	III							M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	3.75	0.0
6	6	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	0, 4, 3		3.0	0.0	1	2	0.3333333333333333	0.25	1.5	0.14285714285714285
6	6	1	1	4/2	1	1	V(4)	a	i		V(4)	V			4				M	1	1	4, 3, 5		4.0	4.0	0	2	0.0	0.0	2.0	0.0
6	6	3/2	3/2	4/2	1	1	V	a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0	1	0.0	0.0	0.5	0.0
7	7	0	0	4/2	1	1	I}{	a	i		I	I						}{	M	1	1	3, 7, 4		3.0	3.0	0	6	0.0	0.0	5.5	0.0
7	7	3/2	3/2	4/2	1	1	i	a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
8	8	0	0	4/2	1	1	VII	a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	1	2	0.3333333333333333	0.25	0.75	0.25
8	8	1/2	1/2	4/2	1	1	vii	a	i		vii	vii							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	1.25	0.0
8	8	1	1	4/2	1	1	VI	a	i		VI	VI							M	1	1	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	1.25	0.0
8	8	3/2	3/2	4/2	1	1	VI6	a	i		VI6	VI		6					M	1	1	3, 0, -1		-1.0	3.0	0	2	0.0	0.0	1.0	0.0
9	9	0	0	4/2	1	1	I6	a	i		I6	I		6					M	1	1	7, 4, 3		3.0	7.0	0	2	0.0	0.0	1.5	0.0
9	9	1/2	1/2	4/2	1	1	i6	a	i		i6	i		6					m	1	1	0, 4, 3		3.0	0.0	0	2	0.0	0.0	1.25	0.0
9	9	1	1	4/2	1	1	VII6	a	i		VII6	VII		6					M	1	1	5, 2, 1		1.0	5.0	0	3	0.0	0.0	1.5	0.0
9	9	3/2	3/2	4/2	1	1	vii6	a	i		vii6	vii		6					m	1	1	-2, 2, 1		1.0	-2.0	0	3	0.0	0.0	1.25	0.0
10	10	0	0	4/2	1	1	i(b2)	a	i		i(b2)	i			b2				m	1	1	-2, 0, 4		3.0	-2.0	1	3	0.25	0.25	1.5	0.14285714285714285
10	10	1/2	1/2	4/2	1	1	i	a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	1	2	0.3333333333333333	0.25	1.5	0.14285714285714285
10	10	1	1	4/2	1	1	#viio(2)	a	i		#viio(2)	#vii	o		2				o	1	1	3, 5, 2		8.0	3.0	0	2	0.0	0.0	1.5	0.0
10	10	3/2	3/2	4/2	1	1	V	a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	0	3	0.0	0.0	1.5	0.0
