mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/2	1	1	d.i[i{	d	i	i	i	i						{	m	1	1	2, -1, 3		2	2	6	12	0.3333333333333333	0.75	7.125	0.09523809523809523
2	2	0	0	4/2	1	1	VI6	d	i	i	VI6	VI		6					M	1	1	2, -1, -2		-2	2	0	4	0.0	0.0	3.875	0.0
2	2	1/2	1/2	4/2	1	1	i	d	i	i	i	i							m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.625	0.2857142857142857
2	2	1	1	4/2	1	1	V(6)/iv	d	i	i	V(6)/iv	V			6	iv			M	1	1	2, 6, -2		2	2	0	3	0.0	0.0	0.875	0.0
2	2	5/4	5/4	4/2	1	1	V7/III	d	i	i	V7/III	V		7		III			Mm7	1	1	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.75	0.0
2	2	3/2	3/2	4/2	1	1	i7	d	i	i	i7	i		7					mm7	1	1	2, -1, 3, 0		2	2	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
2	2	7/4	7/4	4/2	1	1	i]	d	i	i	i	i							m	1	1	2, -1, 3		2	2	2	2	0.5	0.25	0.25	0.5
3	3	0	0	4/2	1	1	iv6	d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	4	0.2	0.1875	1.3125	0.125
3	3	1/2	1/2	4/2	1	1	I6	d	i		I6	I		6					M	1	1	6, 3, 2		2	6	1	3	0.25	0.0625	1.6875	0.03571428571428571
3	3	3/4	3/4	4/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	1	3	0.25	0.0625	0.1875	0.25
3	3	1	1	4/2	1	1	V6	d	i		V6	V		6					M	1	1	7, 4, 3		3	7	1	2	0.3333333333333333	0.0625	0.9375	0.0625
3	3	5/4	5/4	4/2	1	1	v	d	i		v	v							m	1	1	3, 0, 4		3	3	1	3	0.25	0.0625	0.1875	0.25
3	3	3/2	3/2	4/2	1	1	i6(2)	d	i		i6(2)	i		6	2				m	1	1	-1, 3, 4		2	-1	0	2	0.0	0.0	1.0	0.0
3	3	7/4	7/4	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.0625	0.4375	0.125
4	4	0	0	2/2	1	1	V7/VII	d	i		V7/VII	V		7		VII			Mm7	1	1	1, 5, 2, -1		1	1	1	6	0.14285714285714285	0.0625	1.8125	0.03333333333333333
4	4	1/4	1/4	2/2	1	1	V(64)/VII	d	i		V(64)/VII	V			64	VII			M	1	1	1, 0, 4		1	1	2	3	0.4	0.125	0.375	0.25
4	4	1/2	1/2	2/2	1	1	V/VII	d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	1	3	0.25	0.125	1.125	0.1
4	4	7/8	7/8	2/2	1	1	V7(+4)	d	i		V7(+4)	V		7	+4				Mm7	1	1	3, 7, 4, 1	2	3	3	0	2	0.0	0.0	0.25	0.0
5	5	0	0	2/2	1	1	iv6	d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	3	7	0.3	0.1875	1.8125	0.09375
5	5	1/2	1/2	2/2	1	1	V7	d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	1	4	0.2	0.0625	0.6875	0.08333333333333333
5	5	3/4	3/4	2/2	1	1	V(64)	d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
6	6	0	0	2/2	1	1	V7/v	d	i		V7/v	V		7		v			Mm7	1	1	4, 8, 5, 2		4	4	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
6	6	1/4	1/4	2/2	1	1	V(64)/v	d	i		V(64)/v	V			64	v			M	1	1	4, 3, 0		4	4	1	4	0.2	0.0625	0.4375	0.125
6	6	1/2	1/2	2/2	1	1	V/v	d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	3	4	0.42857142857142855	0.375	0.5	0.42857142857142855
7	7	0	0	2/2	1	1	v}{	d	i		v	v						}{	m	1	1	3, 0, 4		3	3	3	5	0.375	0.375	1.5	0.2
7	7	1/2	1/2	2/2	1	1	i	d	i		i	i							m	1	1	2, -1, 3		2	2	7	10	0.4117647058823529	0.875	2.0	0.30434782608695654
8	8	1/2	1/2	2/2	1	1	V/V	d	i		V/V	V				V			M	1	1	4, 8, 5		4	4	3	5	0.375	0.375	1.0	0.2727272727272727
9	9	0	0	2/2	1	1	V	d	i		V	V							M	1	1	3, 7, 4		3	3	2	6	0.25	0.25	1.5	0.14285714285714285
9	9	1/2	1/2	2/2	1	1	VI	d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	2	4	0.3333333333333333	0.25	1.125	0.18181818181818182
9	9	7/8	7/8	2/2	1	1	V64/iv	d	i		V64/iv	V		64		iv			M	1	1	3, 2, 6		2	3	0	3	0.0	0.0	0.375	0.0
10	10	0	0	2/2	1	1	iv[iv	d	i	iv	iv	iv							m	1	1	1, -2, 2		1	1	2	6	0.25	0.25	1.625	0.13333333333333333
10	10	3/8	3/8	2/2	1	1	III6	d	i	iv	III6	III		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	0.375	0.0
10	10	1/2	1/2	2/2	1	1	iio6	d	i	iv	iio6	ii	o	6					o	1	1	1, -2, 4		4	1	0	3	0.0	0.0	0.375	0.0
10	10	5/8	5/8	2/2	1	1	i6]	d	i	iv	i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.375	0.0
10	10	3/4	3/4	2/2	1	1	iv6	d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	4	0.2	0.125	0.875	0.125
11	11	0	0	2/2	1	1	V(4)	d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	4	0.0	0.0	3.25	0.0
11	11	1/4	1/4	2/2	1	1	V	d	i		V	V							M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
12	12	0	0	2/2	1	1	I}	d	i		I	I						}	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	4.0	0.0
