mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/1	1	1	d.i{					d	i		i	i						{	m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	8.0	0.0
3	3	0	0	3/1	1	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	6	0.0	0.0	8.0	0.0
3	3	2879/960	2879/960	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2						
3	3	5759/1920	5759/1920	3/1	1	1	III6	-1	-2.5	/		d	i		III6	III		6					M	1	1	3, 0, -1		-1	3						
4	4	0	0	3/1	1	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	2	8	0.2	1.0	8.0	0.1111111111111111
5	5	0	0	3/1	1	1	III}{					d	i		III	III						}{	M	1	1	-1, 3, 0		-1	-1	3	5	0.375	2.0	9.0	0.18181818181818182
5	5	2879/960	2879/960	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2						
5	5	5759/1920	5759/1920	3/1	1	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1						
6	6	0	0	3/1	1	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	2	6	0.25	1.0	8.0	0.1111111111111111
6	6	2879/960	2879/960	3/1	1	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0						
7	7	0	0	3/1	1	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	2	6	0.25	0.5	10.5	0.045454545454545456
8	8	0	0	3/1	1	1	VII}{					d	i		VII	VII						}{	M	1	1	0, 4, 1		0	0	1	6	0.14285714285714285	0.5	10.5	0.045454545454545456
8	8	2879/960	2879/960	3/1	1	1	VII6					d	i		VII6	VII		6					M	1	1	4, 1, 0		0	4						
8	8	5759/1920	5759/1920	3/1	1	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0						
9	9	0	0	3/1	1	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	8.0	0.0
9	9	2	2	3/1	1	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.5	1.5	0.25
10	10	0	0	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	11.0	0.0
11	11	0	0	3/1	1	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	2	7	0.2222222222222222	1.0	8.0	0.1111111111111111
12	12	0	0	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	5	0.0	0.0	9.0	0.0
13	13	0	0	3/1	1	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	8.0	0.0
14	14	0	0	3/1	1	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	6	0.14285714285714285	0.5	7.5	0.0625
14	14	2879/960	2879/960	3/1	1	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1						
14	14	5759/1920	5759/1920	3/1	1	1	VI6					d	i		VI6	VI		6					M	1	1	2, -1, -2		-2	2						
15	15	0	0	3/1	1	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	6	0.14285714285714285	0.25	6.75	0.03571428571428571
15	15	2	2	3/1	1	1	v6					d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	1.0	0.0
15	15	5/2	5/2	3/1	1	1	I					d	i		I	I							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	1.0	0.0
16	16	0	0	3/1	1	1	ii					d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	11.0	0.0
17	17	0	0	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	4	0.2	0.5	7.5	0.0625
17	17	2	2	3/1	1	1	iio6/v					d	i		iio6/v	ii	o	6		v			o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	3.0	0.0
18	18	0	0	3/1	1	1	v}{					d	i		v	v						}{	m	1	1	3, 0, 4		3	3	2	6	0.25	1.0	8.0	0.1111111111111111
18	18	2	2	3/1	1	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	3.0	0.0
19	19	0	0	3/1	1	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	2	6	0.25	1.0	10.5	0.08695652173913043
19	19	5/2	5/2	3/1	1	1	viio6/III					d	i		viio6/III	vii	o	6		III			o	1	1	1, -2, 4		4	1	0	1	0.0	0.0	0.5	0.0
20	20	0	0	3/1	1	1	III6					d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	1	3	0.25	0.5	4.5	0.1
20	20	1	1	3/1	1	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	1	4	0.2	0.5	3.5	0.125
21	21	0	0	3/1	1	1	III6					d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	6.5	0.0
21	21	1	1	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.25	1.25	0.16666666666666666
21	21	2	2	3/1	1	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	2.0	0.0
22	22	0	0	3/1	1	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	4	0.2	0.5	7.5	0.0625
22	22	2	2	3/1	1	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	1	8	0.1111111111111111	0.5	10.5	0.045454545454545456
24	24	0	0	3/1	1	1	III6					d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	2	5	0.2857142857142857	2.0	9.0	0.18181818181818182
24	24	2879/960	2879/960	3/1	1	1	III				i6	d	i		III	III							M	1	1	-1, 3, 0		-1	-1						
24	24	5759/1920	5759/1920	3/1	1	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7						
25	25	0	0	3/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	5.5	0.0
25	25	1	1	3/1	1	1	III6					d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	0	3	0.0	0.0	2.5	0.0
25	25	2	2	3/1	1	1	viio6(+2)/V					d	i		viio6(+2)/V	vii	o	6	+2	V			o	1	1	5, 2, 8	3	8	5	1	3	0.25	0.5	2.5	0.16666666666666666
26	26	0	0	6/1	1	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	5	0.0	0.0	12.0	0.0
26	26	2	2	6/1	1	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	5.0	0.0
