mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	1	1	.C.V{					C	I		V	V						{	M	0	0	1, 5, 2		1	1	1	6	0.14285714285714285	0.125	1.125	0.1
2	2	1/4	1/4	4/4	1	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	6	13	0.3157894736842105	0.6875	2.4375	0.22
4	4	1/4	1/4	4/4	1	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	6	5	0.5454545454545454	0.6875	0.8125	0.4583333333333333
5	5	0	0	4/4	1	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.125	0.0
5	5	1/4	1/4	4/4	1	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	2	6	0.25	0.25	0.75	0.25
5	5	3/4	3/4	4/4	1	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
6	6	0	0	4/4	1	1	IV6/IV					C	I		IV6/IV	IV		6		IV			M	0	0	2, -1, -2		-2	2	2	5	0.2857142857142857	0.25	1.0	0.2
6	6	3/8	3/8	4/4	1	1	viio/IV					C	I		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4	0	2	0.0	0.0	0.25	0.0
6	6	1/2	1/2	4/4	1	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
6	6	3/4	3/4	4/4	1	1	vi65					C	I		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	0	0	4/4	1	1	ii(4)					C	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2	0	4	0.0	0.0	1.0	0.0
7	7	1/4	1/4	4/4	1	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
7	7	1/2	1/2	4/4	1	1	V65					C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
7	7	3/4	3/4	4/4	1	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1	5	1	2	0.3333333333333333	0.125	0.375	0.25
8	8	0	0	4/4	1	1	I}{					C	I		I	I						}{	M	0	0	0, 4, 1		0	0	2	14	0.125	0.25	4.625	0.05128205128205128
9	9	1/4	1/4	4/4	1	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.0625	0.5625	0.1
9	9	1/2	1/2	4/4	1	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	4	4	0.5	0.5	0.875	0.36363636363636365
10	10	0	0	4/4	1	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	1.5	0.0
10	10	1/4	1/4	4/4	1	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.5	0.0
10	10	1/2	1/2	4/4	1	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	2	6	0.25	0.25	1.625	0.13333333333333333
11	11	0	0	4/4	1	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	0.75	0.0
11	11	1/4	1/4	4/4	1	1	ii6					C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	1	3	0.25	0.125	0.75	0.14285714285714285
11	11	1/2	1/2	4/4	1	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	2	5	0.2857142857142857	0.25	1.125	0.18181818181818182
12	12	0	0	4/4	1	1	I}{					C	I		I	I						}{	M	0	0	0, 4, 1		0	0	3	4	0.42857142857142855	0.3125	0.6875	0.3125
12	12	1/2	1/2	4/4	1	1	iii					C	I		iii	iii							m	0	0	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
12	12	3/4	3/4	4/4	1	1	vi	0.115442	-2.74112		/	C	I		vi	vi							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
13	13	0	0	4/4	1	1	V(4)					C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1	0	3	0.0	0.0	1.25	0.0
13	13	1/4	1/4	4/4	1	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	2	11	0.15384615384615385	0.25	2.125	0.10526315789473684
14	14	1/4	1/4	4/4	1	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	1	4	0.2	0.0625	1.0625	0.05555555555555555
14	14	1/2	1/2	4/4	1	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	2	1	0.6666666666666666	0.25	0.125	0.6666666666666666
14	14	3/4	3/4	4/4	1	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	1	3	0.25	0.125	0.625	0.16666666666666666
15	15	0	0	4/4	1	1	iii(4)					C	I		iii(4)	iii			4				m	0	0	4, 3, 5		4	4	0	4	0.0	0.0	1.0	0.0
15	15	1/4	1/4	4/4	1	1	iii					C	I		iii	iii							m	0	0	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
15	15	1/2	1/2	4/4	1	1	V7/V/V					C	I		V7/V/V	V		7		V/V			Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
15	15	3/4	3/4	4/4	1	1	V/V					C	I		V/V	V				V			M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
16	16	0	0	4/4	1	1	V}{					C	I		V	V						}{	M	0	0	1, 5, 2		1	1	2	3	0.4	0.25	1.125	0.18181818181818182
16	16	1/2	1/2	4/4	1	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
16	16	3/4	3/4	4/4	1	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.5	0.0
17	17	0	0	4/4	1	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	2	10	0.16666666666666666	0.25	2.375	0.09523809523809523
17	17	3/4	3/4	4/4	1	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.0625	0.6875	0.08333333333333333
18	18	0	0	4/4	1	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	2	3	0.4	0.25	0.75	0.25
18	18	1/4	1/4	4/4	1	1	ii6					C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	2	2	0.5	0.25	0.25	0.5
18	18	1/2	1/2	4/4	1	1	V/ii					C	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.625	0.0
18	18	5/8	5/8	4/4	1	1	V(64)/ii					C	I		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3	1	4	0.2	0.125	0.625	0.16666666666666666
19	19	0	0	4/4	1	1	V(4)/ii					C	I		V(4)/ii	V			4	ii			M	0	0	3, 2, 4		3	3	0	3	0.0	0.0	0.875	0.0
19	19	1/4	1/4	4/4	1	1	vii%7/V					C	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6	0	3	0.0	0.0	0.75	0.0
19	19	1/2	1/2	4/4	1	1	V(4)					C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1	0	3	0.0	0.0	0.75	0.0
19	19	3/4	3/4	4/4	1	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
20	20	0	0	4/4	1	1	I}{					C	I		I	I						}{	M	0	0	0, 4, 1		0	0	0	9	0.0	0.0	3.25	0.0
20	20	3/4	3/4	4/4	1	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	2	7	0.2222222222222222	0.25	1.875	0.11764705882352941
21	21	1/4	1/4	4/4	1	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	5	6	0.45454545454545453	0.5625	0.9375	0.375
22	22	0	0	8/4	1	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.25	1.875	0.11764705882352941
22	22	1/2	1/2	8/4	1	1	IV6					C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	3	0.0	0.0	0.5	0.0
22	22	3/4	3/4	8/4	1	1	v6					C	I		v6	v		6					m	0	0	-2, 2, 1		1	-2	1	4	0.2	0.125	1.125	0.1
22	22	1	1	8/4	1	1	ii(4)/V					C	I		ii(4)/V	ii			4	V			m	0	0	3, 2, 4		3	3	1	3	0.25	0.125	1.0	0.1111111111111111
22	22	5/4	5/4	8/4	1	1	viio6/V					C	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3	0	4	0.0	0.0	0.625	0.0
22	22	3/2	3/2	8/4	1	1	V}{					C	I		V	V						}{	M	0	0	1, 5, 2		1	1	7	13	0.35	0.875	3.125	0.21875
23	23	1/2	1/2	8/4	1	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	3	7	0.3	0.375	1.875	0.16666666666666666
23	23	1	1	8/4	1	1	V65/V					C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	1	4	0.2	0.125	2.375	0.05
23	23	3/2	3/2	8/4	1	1	V(9)					C	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1	0	2	0.0	0.0	1.0	0.0
