quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	1	1	1	1	1		1	67	0
0	4.0	1	1	0	0	4/2	3	1	1	1	1		1	67	3
4	3.0	1	1	1	1	4/2	1	1	3/4	1/2	3/2		-2	70	1
4	3.0	1	1	1	1	4/2	3	1	3/4	1/2	3/2		-2	70	4
7	1.0	1	1	7/4	7/4	4/2	1	1	1/4	1/4	1		2	74	2
7	1.0	1	1	7/4	7/4	4/2	3	1	1/4	1/4	1		2	74	5
8	2.0	2	2	0	0	4/2	1	1	1/2	1/2	1		0	72	6
8	2.0	2	2	0	0	4/2	3	1	1/2	1/2	1		0	72	9
10	2.0	2	2	1/2	1/2	4/2	1	1	1/2	1/2	1		-2	70	7
10	2.0	2	2	1/2	1/2	4/2	3	1	1/2	1/2	1		-2	70	10
12	4.0	2	2	1	1	4/2	1	1	1	1	1		3	69	8
12	4.0	2	2	1	1	4/2	3	1	1	1	1		3	69	11
16	2.0	3	3	0	0	4/2	1	1	1/2	1/2	1		1	67	12
16	2.0	3	3	0	0	4/2	3	1	1/2	1/2	1		1	67	20
18	2.0	3	3	1/2	1/2	4/2	2	1	1/2	1/2	1		1	55	17
18	2.0	3	3	1/2	1/2	4/2	4	1	1/2	1/2	1		1	55	25
18	3.0	3	3	1/2	1/2	4/2	1	1	3/4	1/2	3/2		-2	70	13
18	3.0	3	3	1/2	1/2	4/2	3	1	3/4	1/2	3/2		-2	70	21
20	3.0	3	3	1	1	4/2	2	1	3/4	1/2	3/2		-2	58	18
20	3.0	3	3	1	1	4/2	4	1	3/4	1/2	3/2		-2	58	26
21	0.5	3	3	5/4	5/4	4/2	1	1	1/8	1/8	1		3	69	14
21	0.5	3	3	5/4	5/4	4/2	3	1	1/8	1/8	1		3	69	22
43/2	0.5	3	3	11/8	11/8	4/2	1	1	1/8	1/8	1		1	67	15
43/2	0.5	3	3	11/8	11/8	4/2	3	1	1/8	1/8	1		1	67	23
22	2.0	3	3	3/2	3/2	4/2	1	1	1/2	1/2	1		-1	65	16
22	2.0	3	3	3/2	3/2	4/2	3	1	1/2	1/2	1		-1	65	24
23	1.0	3	3	7/4	7/4	4/2	2	1	1/4	1/4	1		2	62	19
23	1.0	3	3	7/4	7/4	4/2	4	1	1/4	1/4	1		2	62	27
24	2.0	4	4	0	0	4/2	2	1	1/2	1/2	1		0	60	34
24	2.0	4	4	0	0	4/2	4	1	1/2	1/2	1		0	60	43
24	1.0	4	4	0	0	4/2	1	1	1/4	1/4	1		4	64	28
24	1.0	4	4	0	0	4/2	3	1	1/4	1/4	1		4	64	37
25	2.0	4	4	1/4	1/4	4/2	1	1	1/2	1/2	1		3	69	29
25	2.0	4	4	1/4	1/4	4/2	3	1	1/2	1/2	1		3	69	38
26	2.0	4	4	1/2	1/2	4/2	2	1	1/2	1/2	1		-2	58	35
26	2.0	4	4	1/2	1/2	4/2	4	1	1/2	1/2	1		-2	58	44
27	2.0	4	4	3/4	3/4	4/2	1	1	1/2	1/2	1		1	67	30
27	2.0	4	4	3/4	3/4	4/2	3	1	1/2	1/2	1		1	67	39
28	4.0	4	4	1	1	4/2	2	1	1	1	1		3	57	36
28	4.0	4	4	1	1	4/2	4	1	1	1	1		3	57	45
29	0.5	4	4	5/4	5/4	4/2	1	1	1/8	1/8	1		6	66	31
29	0.5	4	4	5/4	5/4	4/2	3	1	1/8	1/8	1		6	66	40
59/2	0.5	4	4	11/8	11/8	4/2	1	1	1/8	1/8	1		4	64	32
59/2	0.5	4	4	11/8	11/8	4/2	3	1	1/8	1/8	1		4	64	41
30	2.0	4	4	3/2	3/2	4/2	1	1	1/2	1/2	1		6	66	33
30	2.0	4	4	3/2	3/2	4/2	3	1	1/2	1/2	1		6	66	42
32	4.0	5	5	0	0	4/2	2	1	1	1	1		1	55	53
32	4.0	5	5	0	0	4/2	4	1	1	1	1		1	55	62
32	2.0	5	5	0	0	4/2	1	1	1/2	1/2	1		1	67	46
32	2.0	5	5	0	0	4/2	3	1	1/2	1/2	1		1	67	55
34	2.0	5	5	1/2	1/2	4/2	1	2	1/2	1/2	1		2	62	50
34	2.0	5	5	1/2	1/2	4/2	3	2	1/2	1/2	1		2	62	59
34	3.0	5	5	1/2	1/2	4/2	1	1	3/4	1/2	3/2		-2	70	47
34	3.0	5	5	1/2	1/2	4/2	3	1	3/4	1/2	3/2		-2	70	56
36	4.0	5	5	1	1	4/2	2	1	1	1	1		2	62	54
36	4.0	5	5	1	1	4/2	4	1	1	1	1		2	62	63
36	3.0	5	5	1	1	4/2	1	2	3/4	1/2	3/2		-1	65	51
36	3.0	5	5	1	1	4/2	3	2	3/4	1/2	3/2		-1	65	60
37	1.0	5	5	5/4	5/4	4/2	1	1	1/4	1/4	1		3	69	48
37	1.0	5	5	5/4	5/4	4/2	3	1	1/4	1/4	1		3	69	57
38	2.0	5	5	3/2	3/2	4/2	1	1	1/2	1/2	1	1	2	74	49
38	2.0	5	5	3/2	3/2	4/2	3	1	1/2	1/2	1	1	2	74	58
39	1.0	5	5	7/4	7/4	4/2	1	2	1/4	1/4	1		3	69	52
39	1.0	5	5	7/4	7/4	4/2	3	2	1/4	1/4	1		3	69	61
40	2.0	6	6	0	0	4/2	2	1	1/2	1/2	1		-2	58	74
40	2.0	6	6	0	0	4/2	4	1	1/2	1/2	1		-2	58	87
40	2.0	6	6	0	0	4/2	1	2	1/2	1/2	1		1	67	71
40	2.0	6	6	0	0	4/2	3	2	1/2	1/2	1		1	67	84
40	1.0	6	6	0	0	4/2	1	1	1/4	1/4	1	-1	2	74	64
40	1.0	6	6	0	0	4/2	3	1	1/4	1/4	1	-1	2	74	77
41	1.0	6	6	1/4	1/4	4/2	1	1	1/4	1/4	1		0	72	65
41	1.0	6	6	1/4	1/4	4/2	3	1	1/4	1/4	1		0	72	78
42	4.0	6	6	1/2	1/2	4/2	2	1	1	1	1		2	62	75
42	4.0	6	6	1/2	1/2	4/2	4	1	1	1	1		2	62	88
42	2.0	6	6	1/2	1/2	4/2	1	2	1/2	1/2	1		-1	65	72
42	2.0	6	6	1/2	1/2	4/2	3	2	1/2	1/2	1		-1	65	85
42	1.0	6	6	1/2	1/2	4/2	1	1	1/4	1/4	1		-2	70	66
42	1.0	6	6	1/2	1/2	4/2	3	1	1/4	1/4	1		-2	70	79
43	1.0	6	6	3/4	3/4	4/2	1	1	1/4	1/4	1		3	69	67
