quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	2.0	1	1	0	0	4/4	1	1	1/2	1/2	1	1	2	74	0
0	2.0	1	1	0	0	4/4	3	1	1/2	1/2	1	1	2	74	7
2	1.5	1	1	1/2	1/2	4/4	2	1	3/8	1/4	3/2		2	62	5
2	1.5	1	1	1/2	1/2	4/4	4	1	3/8	1/4	3/2		2	62	12
2	0.5	1	1	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	2	74	1
2	0.5	1	1	1/2	1/2	4/4	3	1	1/8	1/8	1	-1	2	74	8
5/2	0.5	1	1	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	2
5/2	0.5	1	1	5/8	5/8	4/4	3	1	1/8	1/8	1		3	69	9
3	0.5	1	1	3/4	3/4	4/4	1	1	1/8	1/8	1		-2	70	3
3	0.5	1	1	3/4	3/4	4/4	3	1	1/8	1/8	1		-2	70	10
7/2	0.5	1	1	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	6
7/2	0.5	1	1	7/8	7/8	4/4	4	1	1/8	1/8	1		3	57	13
7/2	0.5	1	1	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	4
7/2	0.5	1	1	7/8	7/8	4/4	3	1	1/8	1/8	1		6	66	11
4	0.5	2	2	0	0	4/4	2	1	1/8	1/8	1		-2	58	25
4	0.5	2	2	0	0	4/4	4	1	1/8	1/8	1		-2	58	41
4	2.0	2	2	0	0	4/4	1	2	1/2	1/2	1	1	2	62	20
4	2.0	2	2	0	0	4/4	3	2	1/2	1/2	1	1	2	62	36
4	0.5	2	2	0	0	4/4	1	1	1/8	1/8	1		1	67	14
4	0.5	2	2	0	0	4/4	3	1	1/8	1/8	1		1	67	30
9/2	0.5	2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54	26
9/2	0.5	2	2	1/8	1/8	4/4	4	1	1/8	1/8	1		6	54	42
9/2	0.5	2	2	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	15
9/2	0.5	2	2	1/8	1/8	4/4	3	1	1/8	1/8	1		3	69	31
5	0.5	2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	27
5	0.5	2	2	1/4	1/4	4/4	4	1	1/8	1/8	1		1	55	43
5	0.5	2	2	1/4	1/4	4/4	1	1	1/8	1/8	1		-2	70	16
5	0.5	2	2	1/4	1/4	4/4	3	1	1/8	1/8	1		-2	70	32
11/2	0.5	2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	28
11/2	0.5	2	2	3/8	3/8	4/4	4	1	1/8	1/8	1		3	57	44
11/2	0.5	2	2	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	17
11/2	0.5	2	2	3/8	3/8	4/4	3	1	1/8	1/8	1		0	72	33
6	2.0	2	2	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	58	29
6	2.0	2	2	1/2	1/2	4/4	4	1	1/2	1/2	1		-2	58	45
6	0.5	2	2	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	2	62	21
6	0.5	2	2	1/2	1/2	4/4	3	2	1/8	1/8	1	-1	2	62	37
6	1.5	2	2	1/2	1/2	4/4	1	1	3/8	1/4	3/2		2	74	18
6	1.5	2	2	1/2	1/2	4/4	3	1	3/8	1/4	3/2		2	74	34
13/2	0.5	2	2	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	22
13/2	0.5	2	2	5/8	5/8	4/4	3	2	1/8	1/8	1		4	64	38
7	0.5	2	2	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	23
7	0.5	2	2	3/4	3/4	4/4	3	2	1/8	1/8	1		-1	65	39
15/2	0.5	2	2	7/8	7/8	4/4	1	2	1/8	1/8	1	1	1	67	24
15/2	0.5	2	2	7/8	7/8	4/4	3	2	1/8	1/8	1	1	1	67	40
15/2	0.5	2	2	7/8	7/8	4/4	1	1	1/8	1/8	1		4	76	19
15/2	0.5	2	2	7/8	7/8	4/4	3	1	1/8	1/8	1		4	76	35
8	2.0	3	3	0	0	4/4	2	1	1/2	1/2	1		3	57	56
8	2.0	3	3	0	0	4/4	4	1	1/2	1/2	1		3	57	69
8	1.0	3	3	0	0	4/4	1	2	1/4	1/4	1	-1	1	67	53
8	1.0	3	3	0	0	4/4	3	2	1/4	1/4	1	-1	1	67	66
8	0.5	3	3	0	0	4/4	1	1	1/8	1/8	1		7	73	46
8	0.5	3	3	0	0	4/4	3	1	1/8	1/8	1		7	73	59
17/2	0.5	3	3	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	47
17/2	0.5	3	3	1/8	1/8	4/4	3	1	1/8	1/8	1		3	69	60
9	1.0	3	3	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	54
9	1.0	3	3	1/4	1/4	4/4	3	2	1/4	1/4	1		-1	65	67
9	1.5	3	3	1/4	1/4	4/4	1	1	3/8	1/4	3/2		2	74	48
9	1.5	3	3	1/4	1/4	4/4	3	1	3/8	1/4	3/2		2	74	61
10	1.5	3	3	1/2	1/2	4/4	2	2	3/8	1/4	3/2		3	57	57
10	1.5	3	3	1/2	1/2	4/4	4	2	3/8	1/4	3/2		3	57	70
10	2.0	3	3	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	55
