mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	4/2	2	1	1/2	1/2	1		3	57	A3	3	1
1	1	1	2.0	1/4	1/4	4/2	2	2	1/2	1/2	1		2	50	D3	3	6
1	1	2	1.0	1/2	1/2	4/2	2	1	1/4	1/4	1		5	59	B3	3	2
1	1	3	1.0	3/4	3/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	7
1	1	3	2.0	3/4	3/4	4/2	2	1	1/2	1/2	1		0	60	C4	4	3
1	1	4	1.0	1	1	4/2	2	2	1/4	1/4	1		6	54	F#3	3	8
1	1	5	2.0	5/4	5/4	4/2	2	2	1/2	1/2	1		1	55	G3	3	9
1	1	5	1.0	5/4	5/4	4/2	2	1	1/4	1/4	1		5	59	B3	3	4
1	1	6	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		3	57	A3	3	5
1	1	7	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		6	54	F#3	3	10
1	1	7	1.0	7/4	7/4	4/2	1	2	1/4	1/4	1	1	2	62	D4	4	0
2	2	8	1.5	0	0	4/2	2	2	3/8	1/4	3/2		1	55	G3	3	19
2	2	8	2.0	0	0	4/2	2	1	1/2	1/2	1		5	59	B3	3	16
2	2	8	1.0	0	0	4/2	1	2	1/4	1/4	1	-1	2	62	D4	4	11
2	2	9	2.0	1/4	1/4	4/2	1	2	1/2	1/2	1		4	64	E4	4	12
2	2	19/2	0.5	3/8	3/8	4/2	2	2	1/8	1/8	1		4	52	E3	3	20
2	2	10	1.0	1/2	1/2	4/2	2	2	1/4	1/4	1		3	57	A3	3	21
2	2	10	2.0	1/2	1/2	4/2	2	1	1/2	1/2	1		0	60	C4	4	17
2	2	11	1.0	3/4	3/4	4/2	2	2	1/4	1/4	1		3	45	A2	2	22
2	2	11	2.0	3/4	3/4	4/2	1	2	1/2	1/2	1		-1	65	F4	4	13
2	2	12	1.0	1	1	4/2	2	2	1/4	1/4	1		5	47	B2	2	23
2	2	12	4.0	1	1	4/2	2	1	1	1	1		1	55	G3	3	18
