quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	2	1	1	1	1		3	57	0
1	1.0	1	1	1/4	1/4	4/2	2	2	1/4	1/4	1		2	50	2
2	3.0	1	1	1/2	1/2	4/2	2	2	3/4	1/2	3/2		-1	53	3
4	4.0	1	1	1	1	4/2	2	1	1	1	1		1	55	1
5	0.5	1	1	5/4	5/4	4/2	2	2	1/8	1/8	1		4	52	4
11/2	0.5	1	1	11/8	11/8	4/2	2	2	1/8	1/8	1		2	50	5
6	1.0	1	1	3/2	3/2	4/2	2	2	1/4	1/4	1		4	52	6
7	1.0	1	1	7/4	7/4	4/2	2	2	1/4	1/4	1		0	48	7
8	2.0	2	2	0	0	4/2	2	2	1/2	1/2	1		-1	53	12
8	4.0	2	2	0	0	4/2	2	1	1	1	1		2	62	10
10	2.0	2	2	1/2	1/2	4/2	2	2	1/2	1/2	1		1	55	13
12	3.0	2	2	1	1	4/2	2	2	3/4	1/2	3/2		3	57	14
12	4.0	2	2	1	1	4/2	2	1	1	1	1		0	60	11
13	1.0	2	2	5/4	5/4	4/2	1	1	1/4	1/4	1		3	69	8
14	2.0	2	2	3/2	3/2	4/2	1	1	1/2	1/2	1	1	0	72	9
15	1.0	2	2	7/4	7/4	4/2	2	2	1/4	1/4	1		4	52	15
16	2.0	3	3	0	0	4/2	2	2	1/2	1/2	1		6	54	26
16	4.0	3	3	0	0	4/2	2	1	1	1	1		2	62	24
16	1.0	3	3	0	0	4/2	1	1	1/4	1/4	1	-1	0	72	16
17	0.5	3	3	1/4	1/4	4/2	1	1	1/8	1/8	1		5	71	17
35/2	0.5	3	3	3/8	3/8	4/2	1	1	1/8	1/8	1		3	69	18
18	2.0	3	3	1/2	1/2	4/2	2	2	1/2	1/2	1		1	55	27
18	1.0	3	3	1/2	1/2	4/2	1	1	1/4	1/4	1		5	71	19
19	1.0	3	3	3/4	3/4	4/2	1	1	1/4	1/4	1		1	67	20
20	1.0	3	3	1	1	4/2	2	2	1/4	1/4	1		3	57	28
