quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	1.5	1	1	0	0	4/4	1	2	3/8	1/4	3/2		2	62	0
3/2	0.5	1	1	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	1
2	0.5	1	1	1/2	1/2	4/4	1	2	1/8	1/8	1		-1	65	2
5/2	0.25	1	1	5/8	5/8	4/4	1	2	1/16	1/16	1		4	64	3
11/4	0.25	1	1	11/16	11/16	4/4	1	2	1/16	1/16	1		2	62	4
3	0.5	1	1	3/4	3/4	4/4	1	2	1/8	1/8	1		7	61	5
7/2	0.5	1	1	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	6
4	0.5	2	2	0	0	4/4	1	2	1/8	1/8	1		3	57	14
4	1.5	2	2	0	0	4/4	1	1	3/8	1/4	3/2		3	69	7
9/2	0.5	2	2	1/8	1/8	4/4	1	2	1/8	1/8	1		-1	65	15
5	0.5	2	2	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	16
11/2	0.5	2	2	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	17
11/2	0.5	2	2	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	8
6	1.0	2	2	1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	18
6	0.5	2	2	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	9
13/2	0.25	2	2	5/8	5/8	4/4	1	1	1/16	1/16	1		5	71	10
27/4	0.25	2	2	11/16	11/16	4/4	1	1	1/16	1/16	1		3	69	11
7	0.5	2	2	3/4	3/4	4/4	1	2	1/8	1/8	1		5	59	19
7	0.5	2	2	3/4	3/4	4/4	1	1	1/8	1/8	1		8	68	12
15/2	0.5	2	2	7/8	7/8	4/4	1	2	1/8	1/8	1		3	57	20
15/2	0.5	2	2	7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	13
8	1.0	3	3	0	0	4/4	1	2	1/4	1/4	1		5	59	29
8	0.5	3	3	0	0	4/4	1	1	1/8	1/8	1		2	62	21
17/2	0.5	3	3	1/8	1/8	4/4	1	1	1/8	1/8	1		1	67	22
9	1.0	3	3	1/4	1/4	4/4	1	2	1/4	1/4	1		7	61	30
9	0.5	3	3	1/4	1/4	4/4	1	1	1/8	1/8	1		-1	65	23
19/2	0.5	3	3	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	24
10	0.5	3	3	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	31
10	0.5	3	3	1/2	1/2	4/4	1	1	1/8	1/8	1		-1	65	25
21/2	0.5	3	3	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	32
21/2	0.5	3	3	5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	26
11	0.5	3	3	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	33
11	0.5	3	3	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	27
23/2	0.5	3	3	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	34
23/2	0.5	3	3	7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	28
12	1.5	4	4	0	0	4/4	2	1	3/8	1/4	3/2		3	57	47
12	2.0	4	4	0	0	4/4	1	2	1/2	1/2	1		4	64	45
12	0.5	4	4	0	0	4/4	1	1	1/8	1/8	1		0	72	35
25/2	0.25	4	4	1/8	1/8	4/4	1	1	1/16	1/16	1		3	69	36
51/4	0.25	4	4	3/16	3/16	4/4	1	1	1/16	1/16	1		5	71	37
13	0.5	4	4	1/4	1/4	4/4	1	1	1/8	1/8	1		0	72	38
27/2	0.5	4	4	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	48
27/2	0.5	4	4	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	39
14	0.5	4	4	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	49
14	2.0	4	4	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	46
14	0.5	4	4	1/2	1/2	4/4	1	1	1/8	1/8	1		4	76	40
29/2	0.25	4	4	5/8	5/8	4/4	2	1	1/16	1/16	1		5	59	50
29/2	0.25	4	4	5/8	5/8	4/4	1	1	1/16	1/16	1		2	74	41
59/4	0.25	4	4	11/16	11/16	4/4	2	1	1/16	1/16	1		3	57	51
59/4	0.25	4	4	11/16	11/16	4/4	1	1	1/16	1/16	1		0	72	42
15	0.5	4	4	3/4	3/4	4/4	2	1	1/8	1/8	1		8	56	52
15	0.5	4	4	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	43
31/2	0.5	4	4	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	53
