quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	1.0	1	1	0	0	4/4	2	1	1/4	1/4	1		2	74	0
0	1.0	1	1	0	0	4/4	4	1	1/4	1/4	1		2	74	7
1	0.5	1	1	1/4	1/4	4/4	2	1	1/8	1/8	1		2	74	1
1	0.5	1	1	1/4	1/4	4/4	4	1	1/8	1/8	1		2	74	8
3/2	0.5	1	1	3/8	3/8	4/4	2	1	1/8	1/8	1		2	74	2
3/2	0.5	1	1	3/8	3/8	4/4	4	1	1/8	1/8	1		2	74	9
2	0.75	1	1	1/2	1/2	4/4	2	1	3/16	1/8	3/2		-2	70	3
2	0.75	1	1	1/2	1/2	4/4	4	1	3/16	1/8	3/2		-2	70	10
11/4	0.25	1	1	11/16	11/16	4/4	2	1	1/16	1/16	1		3	69	4
11/4	0.25	1	1	11/16	11/16	4/4	4	1	1/16	1/16	1		3	69	11
3	0.5	1	1	3/4	3/4	4/4	2	1	1/8	1/8	1		1	67	5
3	0.5	1	1	3/4	3/4	4/4	4	1	1/8	1/8	1		1	67	12
7/2	0.5	1	1	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	70	6
7/2	0.5	1	1	7/8	7/8	4/4	4	1	1/8	1/8	1		-2	70	13
4	0.5	2	2	0	0	4/4	2	1	1/8	1/8	1		3	69	14
4	0.5	2	2	0	0	4/4	4	1	1/8	1/8	1		3	69	25
9/2	0.5	2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		1	67	15
9/2	0.5	2	2	1/8	1/8	4/4	4	1	1/8	1/8	1		1	67	26
5	0.5	2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		3	69	16
5	0.5	2	2	1/4	1/4	4/4	4	1	1/8	1/8	1		3	69	27
11/2	0.5	2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66	17
11/2	0.5	2	2	3/8	3/8	4/4	4	1	1/8	1/8	1		6	66	28
6	1.0	2	2	1/2	1/2	4/4	3	1	1/4	1/4	1		1	55	23
6	1.0	2	2	1/2	1/2	4/4	5	1	1/4	1/4	1		1	55	34
6	0.5	2	2	1/2	1/2	4/4	2	1	1/8	1/8	1		1	67	18
6	0.5	2	2	1/2	1/2	4/4	4	1	1/8	1/8	1		1	67	29
13/2	0.5	2	2	5/8	5/8	4/4	2	1	1/8	1/8	1		3	69	19
13/2	0.5	2	2	5/8	5/8	4/4	4	1	1/8	1/8	1		3	69	30
7	1.0	2	2	3/4	3/4	4/4	3	1	1/4	1/4	1		1	55	24
7	1.0	2	2	3/4	3/4	4/4	5	1	1/4	1/4	1		1	55	35
7	0.5	2	2	3/4	3/4	4/4	2	1	1/8	1/8	1		-2	70	20
7	0.5	2	2	3/4	3/4	4/4	4	1	1/8	1/8	1		-2	70	31
15/2	0.25	2	2	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	21
15/2	0.25	2	2	7/8	7/8	4/4	4	1	1/16	1/16	1		3	69	32
31/4	0.25	2	2	15/16	15/16	4/4	2	1	1/16	1/16	1		1	67	22
31/4	0.25	2	2	15/16	15/16	4/4	4	1	1/16	1/16	1		1	67	33
8	1.0	3	3	0	0	4/4	3	1	1/4	1/4	1		2	62	44
8	1.0	3	3	0	0	4/4	5	1	1/4	1/4	1		2	62	58
8	0.5	3	3	0	0	4/4	2	1	1/8	1/8	1		6	66	36
8	0.5	3	3	0	0	4/4	4	1	1/8	1/8	1		6	66	50
17/2	0.5	3	3	1/8	1/8	4/4	2	1	1/8	1/8	1		1	67	37
17/2	0.5	3	3	1/8	1/8	4/4	4	1	1/8	1/8	1		1	67	51
9	0.5	3	3	1/4	1/4	4/4	3	1	1/8	1/8	1		2	62	45
9	0.5	3	3	1/4	1/4	4/4	5	1	1/8	1/8	1		2	62	59
9	0.5	3	3	1/4	1/4	4/4	2	1	1/8	1/8	1		3	69	38
9	0.5	3	3	1/4	1/4	4/4	4	1	1/8	1/8	1		3	69	52
19/2	0.5	3	3	3/8	3/8	4/4	3	1	1/8	1/8	1		2	62	46
19/2	0.5	3	3	3/8	3/8	4/4	5	1	1/8	1/8	1		2	62	60
19/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8	1/8	1		6	66	39
19/2	0.5	3	3	3/8	3/8	4/4	4	1	1/8	1/8	1		6	66	53
10	1.5	3	3	1/2	1/2	4/4	3	1	3/8	1/4	3/2		-3	63	47
10	1.5	3	3	1/2	1/2	4/4	5	1	3/8	1/4	3/2		-3	63	61
10	0.5	3	3	1/2	1/2	4/4	2	1	1/8	1/8	1		1	67	40
10	0.5	3	3	1/2	1/2	4/4	4	1	1/8	1/8	1		1	67	54
21/2	0.5	3	3	5/8	5/8	4/4	2	1	1/8	1/8	1		3	69	41
21/2	0.5	3	3	5/8	5/8	4/4	4	1	1/8	1/8	1		3	69	55
11	0.5	3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		-2	70	42
