mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	8.0	0	0	4/2	1	1	2	2	1	1	2	74	D5	5	0
1	1	1	1.0	1/4	1/4	4/2	2	1	1/4	1/4	1		2	62	D4	4	4
1	1	2	2.0	1/2	1/2	4/2	2	1	1/2	1/2	1		-1	65	F4	4	5
1	1	2	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		3	69	A4	4	1
1	1	4	3.0	1	1	4/2	2	1	3/4	1/2	3/2		2	62	D4	4	6
1	1	4	2.0	1	1	4/2	1	2	1/2	1/2	1		-2	70	Bb4	4	2
1	1	6	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1	1	3	69	A4	4	3
1	1	7	1.0	7/4	7/4	4/2	2	1	1/4	1/4	1		0	60	C4	4	7
2	2	8	3.0	0	0	4/2	2	1	3/4	1/2	3/2		-2	58	Bb3	3	13
2	2	8	2.0	0	0	4/2	1	2	1/2	1/2	1	-1	3	69	A4	4	9
2	2	8	8.0	0	0	4/2	1	1	2	2	1	0	2	74	D5	5	8
2	2	10	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		1	67	G4	4	10
2	2	11	0.5	3/4	3/4	4/2	2	1	1/8	1/8	1		3	57	A3	3	14
2	2	23/2	0.5	7/8	7/8	4/2	2	1	1/8	1/8	1		1	55	G3	3	15
2	2	12	2.0	1	1	4/2	2	1	1/2	1/2	1		6	54	F#3	3	16
2	2	12	2.0	1	1	4/2	1	2	1/2	1/2	1		3	69	A4	4	11
2	2	14	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		1	55	G3	3	17
2	2	14	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		2	62	D4	4	12
3	3	16	8.0	0	0	4/2	2	1	2	2	1		2	50	D3	3	23
3	3	16	2.0	0	0	4/2	1	2	1/2	1/2	1		-1	65	F4	4	19
3	3	16	8.0	0	0	4/2	1	1	2	2	1	0	2	74	D5	5	18
3	3	17	1.0	1/4	1/4	4/2	2	2	1/4	1/4	1		-2	58	Bb3	3	24
3	3	18	1.0	1/2	1/2	4/2	2	2	1/4	1/4	1		3	57	A3	3	25
3	3	18	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		1	67	G4	4	20
