quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	8.0	1	1	0	0	2/1	3	1	2	2	1		3	33	0
0	8.0	1	1	0	0	2/1	5	1	2	2	1		3	33	1
8	8.0	2	2	0	0	8/1	3	1	2	2	1		0	36	2
8	8.0	2	2	0	0	8/1	5	1	2	2	1		0	36	7
16	4.0	2	2	2	2	8/1	3	1	1	1	1		0	36	3
16	4.0	2	2	2	2	8/1	5	1	1	1	1		0	36	8
20	8.0	2	2	3	3	8/1	3	1	2	2	1		5	35	4
20	8.0	2	2	3	3	8/1	5	1	2	2	1		5	35	9
28	4.0	2	2	5	5	8/1	3	1	1	1	1		4	40	5
28	4.0	2	2	5	5	8/1	5	1	1	1	1		4	40	10
32	8.0	2	2	6	6	8/1	3	1	2	2	1		3	33	6
32	8.0	2	2	6	6	8/1	5	1	2	2	1		3	33	11
40	4.0	3	3	0	0	4/2	2	1	1	1	1		3	69	12
40	4.0	3	3	0	0	4/2	4	1	1	1	1		3	69	15
44	3.0	3	3	1	1	4/2	2	1	3/4	1/2	3/2		0	72	13
44	3.0	3	3	1	1	4/2	4	1	3/4	1/2	3/2		0	72	16
47	1.0	3	3	7/4	7/4	4/2	2	1	1/4	1/4	1		0	72	14
47	1.0	3	3	7/4	7/4	4/2	4	1	1/4	1/4	1		0	72	17
48	4.0	4	4	0	0	4/2	2	2	1	1	1		4	64	21
48	4.0	4	4	0	0	4/2	4	2	1	1	1		4	64	27
48	2.0	4	4	0	0	4/2	2	1	1/2	1/2	1		5	71	18
48	2.0	4	4	0	0	4/2	4	1	1/2	1/2	1		5	71	24
50	4.0	4	4	1/2	1/2	4/2	2	1	1	1	1		4	76	19
50	4.0	4	4	1/2	1/2	4/2	4	1	1	1	1		4	76	25
52	3.0	4	4	1	1	4/2	2	2	3/4	1/2	3/2		-1	65	22
52	3.0	4	4	1	1	4/2	4	2	3/4	1/2	3/2		-1	65	28
54	2.0	4	4	3/2	3/2	4/2	2	1	1/2	1/2	1	1	2	74	20
54	2.0	4	4	3/2	3/2	4/2	4	1	1/2	1/2	1	1	2	74	26
55	1.0	4	4	7/4	7/4	4/2	2	2	1/4	1/4	1		-1	65	23
55	1.0	4	4	7/4	7/4	4/2	4	2	1/4	1/4	1		-1	65	29
56	2.0	5	5	0	0	4/2	2	2	1/2	1/2	1		4	64	33
56	2.0	5	5	0	0	4/2	4	2	1/2	1/2	1		4	64	39
56	2.0	5	5	0	0	4/2	2	1	1/2	1/2	1	-1	2	74	30
56	2.0	5	5	0	0	4/2	4	1	1/2	1/2	1	-1	2	74	36
58	4.0	5	5	1/2	1/2	4/2	2	2	1	1	1		3	69	34
58	4.0	5	5	1/2	1/2	4/2	4	2	1	1	1		3	69	40
