quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	2	2	1	1	1		2	62	0
0	4.0	1	1	0	0	4/2	4	2	1	1	1		2	62	3
4	4.0	1	1	1	1	4/2	2	2	1	1	1		-1	65	1
4	4.0	1	1	1	1	4/2	4	2	1	1	1		-1	65	4
6	2.0	1	1	3/2	3/2	4/2	3	1	1/2	1/2	1		2	62	2
6	2.0	1	1	3/2	3/2	4/2	5	1	1/2	1/2	1		2	62	5
8	2.0	2	2	0	0	4/2	3	1	1/2	1/2	1		5	59	9
8	2.0	2	2	0	0	4/2	5	1	1/2	1/2	1		5	59	16
8	4.0	2	2	0	0	4/2	2	2	1	1	1		1	67	7
8	4.0	2	2	0	0	4/2	4	2	1	1	1		1	67	14
10	2.0	2	2	1/2	1/2	4/2	3	1	1/2	1/2	1		-2	58	10
10	2.0	2	2	1/2	1/2	4/2	5	1	1/2	1/2	1		-2	58	17
12	2.0	2	2	1	1	4/2	3	1	1/2	1/2	1		3	57	11
12	2.0	2	2	1	1	4/2	5	1	1/2	1/2	1		3	57	18
12	2.0	2	2	1	1	4/2	4	2	1/2	1/2	1		3	69	15
12	4.0	2	2	1	1	4/2	2	2	1	1	1		3	69	8
14	2.0	2	2	3/2	3/2	4/2	3	1	1/2	1/2	1	1	-1	65	12
14	2.0	2	2	3/2	3/2	4/2	5	1	1/2	1/2	1	1	-1	65	19
14	2.0	2	2	3/2	3/2	4/2	2	1	1/2	1/2	1		3	69	6
14	2.0	2	2	3/2	3/2	4/2	4	1	1/2	1/2	1		3	69	13
16	2.0	3	3	0	0	4/2	3	1	1/2	1/2	1	-1	-1	65	29
16	2.0	3	3	0	0	4/2	5	1	1/2	1/2	1	-1	-1	65	41
16	4.0	3	3	0	0	4/2	2	2	1	1	1		1	67	27
16	4.0	3	3	0	0	4/2	4	2	1	1	1		1	67	39
16	2.0	3	3	0	0	4/2	2	1	1/2	1/2	1		0	72	20
16	2.0	3	3	0	0	4/2	4	1	1/2	1/2	1		0	72	32
18	2.0	3	3	1/2	1/2	4/2	3	1	1/2	1/2	1		4	64	30
18	2.0	3	3	1/2	1/2	4/2	5	1	1/2	1/2	1		4	64	42
18	2.0	3	3	1/2	1/2	4/2	2	1	1/2	1/2	1		7	73	21
18	2.0	3	3	1/2	1/2	4/2	4	1	1/2	1/2	1		7	73	33
20	4.0	3	3	1	1	4/2	3	1	1	1	1		2	62	31
20	4.0	3	3	1	1	4/2	5	1	1	1	1		2	62	43
20	4.0	3	3	1	1	4/2	2	2	1	1	1		-1	65	28
20	4.0	3	3	1	1	4/2	4	2	1	1	1		-1	65	40
20	1.0	3	3	1	1	4/2	2	1	1/4	1/4	1		2	74	22
20	1.0	3	3	1	1	4/2	4	1	1/4	1/4	1		2	74	34
21	0.5	3	3	5/4	5/4	4/2	2	1	1/8	1/8	1		0	72	23
21	0.5	3	3	5/4	5/4	4/2	4	1	1/8	1/8	1		0	72	35
43/2	0.5	3	3	11/8	11/8	4/2	2	1	1/8	1/8	1		5	71	24
43/2	0.5	3	3	11/8	11/8	4/2	4	1	1/8	1/8	1		5	71	36
22	1.0	3	3	3/2	3/2	4/2	2	1	1/4	1/4	1		3	69	25
22	1.0	3	3	3/2	3/2	4/2	4	1	1/4	1/4	1		3	69	37
23	1.0	3	3	7/4	7/4	4/2	2	1	1/4	1/4	1		5	71	26
23	1.0	3	3	7/4	7/4	4/2	4	1	1/4	1/4	1		5	71	38
24	4.0	4	4	0	0	4/2	3	1	1	1	1		0	60	53
24	4.0	4	4	0	0	4/2	5	1	1	1	1		0	60	67
24	4.0	4	4	0	0	4/2	2	2	1	1	1		4	64	51
24	4.0	4	4	0	0	4/2	4	2	1	1	1		4	64	65
24	1.0	4	4	0	0	4/2	2	1	1/4	1/4	1		0	72	44
