mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/2	2	1	1	1	1		2	50	D3	3	6
1	1	2	2	1.0	1/2	1/2	4/2	1	2	1/4	1/4	1		3	69	A4	4	0
1	1	3	3	1.0	3/4	3/4	4/2	1	2	1/4	1/4	1		1	67	G4	4	1
1	1	4	4	4.0	1	1	4/2	2	1	1	1	1		3	57	A3	3	7
1	1	4	4	1.0	1	1	4/2	1	2	1/4	1/4	1		6	66	F#4	4	2
1	1	5	5	1.0	5/4	5/4	4/2	1	2	1/4	1/4	1		4	64	E4	4	3
1	1	6	6	1.0	3/2	3/2	4/2	2	2	1/4	1/4	1		3	57	A3	3	8
1	1	6	6	1.0	3/2	3/2	4/2	1	2	1/4	1/4	1		-1	65	F4	4	4
1	1	7	7	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		1	55	G3	3	9
1	1	7	7	1.0	7/4	7/4	4/2	1	2	1/4	1/4	1		4	64	E4	4	5
2	2	8	8	1.0	0	0	4/2	2	2	1/4	1/4	1		6	54	F#3	3	20
2	2	8	8	4.0	0	0	4/2	2	1	1	1	1		3	57	A3	3	18
2	2	8	8	2.0	0	0	4/2	1	2	1/2	1/2	1		4	64	E4	4	14
2	2	9	9	1.0	1/4	1/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	21
2	2	10	10	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		-1	53	F3	3	22
2	2	10	10	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		2	62	D4	4	15
2	2	10	10	3.0	1/2	1/2	4/2	1	1	3/4	1/2	3/2		2	74	D5	5	10
2	2	12	12	4.0	1	1	4/2	2	2	1	1	1		4	52	E3	3	23
2	2	12	12	4.0	1	1	4/2	2	1	1	1	1		1	55	G3	3	19
2	2	13	13	0.5	5/4	5/4	4/2	1	1	1/8	1/8	1		0	72	C5	5	11
2	2	27/2	27/2	0.5	11/8	11/8	4/2	1	1	1/8	1/8	1		5	71	B4	4	12
2	2	14	14	1.0	3/2	3/2	4/2	1	2	1/4	1/4	1		1	67	G4	4	16
2	2	14	14	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1	1	0	72	C5	5	13
2	2	15	15	1.0	7/4	7/4	4/2	1	2	1/4	1/4	1		-1	65	F4	4	17
3	3	16	16	4.0	0	0	4/2	2	1	1	1	1		3	57	A3	3	35
3	3	16	16	1.0	0	0	4/2	1	2	1/4	1/4	1		4	64	E4	4	28
3	3	16	16	1.0	0	0	4/2	1	1	1/4	1/4	1	-1	0	72	C5	5	24
3	3	17	17	1.0	1/4	1/4	4/2	1	2	1/4	1/4	1		2	62	D4	4	29
3	3	17	17	1.0	1/4	1/4	4/2	1	1	1/4	1/4	1		5	71	B4	4	25
3	3	18	18	1.0	1/2	1/2	4/2	1	2	1/4	1/4	1		4	64	E4	4	30
3	3	18	18	2.0	1/2	1/2	4/2	1	1	1/2	1/2	1		3	69	A4	4	26
3	3	19	19	2.0	3/4	3/4	4/2	1	2	1/2	1/2	1		-1	65	F4	4	31
3	3	20	20	4.0	1	1	4/2	2	1	1	1	1		0	60	C4	4	36
3	3	20	20	4.0	1	1	4/2	1	1	1	1	1	1	1	67	G4	4	27
3	3	21	21	0.5	5/4	5/4	4/2	1	2	1/8	1/8	1		4	64	E4	4	32
3	3	43/2	43/2	0.5	11/8	11/8	4/2	1	2	1/8	1/8	1		2	62	D4	4	33
3	3	22	22	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		4	64	E4	4	34
4	4	24	24	4.0	0	0	4/2	2	1	1	1	1		5	59	B3	3	44
4	4	24	24	1.0	0	0	4/2	1	2	1/4	1/4	1		2	62	D4	4	38
4	4	24	24	4.0	0	0	4/2	1	1	1	1	1	-1	1	67	G4	4	37
4	4	25	25	1.0	1/4	1/4	4/2	1	2	1/4	1/4	1		0	60	C4	4	39
4	4	26	26	1.0	1/2	1/2	4/2	2	2	1/4	1/4	1		1	55	G3	3	46
4	4	26	26	1.0	1/2	1/2	4/2	1	2	1/4	1/4	1		5	59	B3	3	40
4	4	27	27	1.0	3/4	3/4	4/2	2	2	1/4	1/4	1		-1	53	F3	3	47
4	4	27	27	1.0	3/4	3/4	4/2	1	2	1/4	1/4	1		3	57	A3	3	41
4	4	28	28	1.0	1	1	4/2	2	2	1/4	1/4	1		4	52	E3	3	48
4	4	28	28	4.0	1	1	4/2	2	1	1	1	1		1	55	G3	3	45
4	4	28	28	2.0	1	1	4/2	1	2	1/2	1/2	1		5	59	B3	3	42
4	4	29	29	1.0	5/4	5/4	4/2	2	2	1/4	1/4	1		2	50	D3	3	49
4	4	30	30	2.0	3/2	3/2	4/2	2	2	1/2	1/2	1		4	52	E3	3	50
4	4	30	30	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		7	61	C#4	4	43
5	5	32	32	2.0	0	0	4/2	2	2	1/2	1/2	1		5	47	B2	2	58
5	5	32	32	4.0	0	0	4/2	2	1	1	1	1		5	59	B3	3	56
5	5	32	32	2.0	0	0	4/2	1	2	1/2	1/2	1		2	62	D4	4	51
5	5	34	34	3.0	1/2	1/2	4/2	2	2	3/4	1/2	3/2		1	55	G3	3	59
5	5	34	34	1.0	1/2	1/2	4/2	1	2	1/4	1/4	1		4	64	E4	4	52
5	5	35	35	1.0	3/4	3/4	4/2	1	2	1/4	1/4	1		2	62	D4	4	53
5	5	36	36	4.0	1	1	4/2	2	1	1	1	1		3	57	A3	3	57
5	5	36	36	2.0	1	1	4/2	1	2	1/2	1/2	1		7	61	C#4	4	54
5	5	37	37	0.5	5/4	5/4	4/2	2	2	1/8	1/8	1		-1	53	F3	3	60
5	5	75/2	75/2	0.5	11/8	11/8	4/2	2	2	1/8	1/8	1		4	52	E3	3	61
5	5	38	38	2.0	3/2	3/2	4/2	2	2	1/2	1/2	1		-1	53	F3	3	62
5	5	38	38	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		2	62	D4	4	55
6	6	40	40	2.0	0	0	4/2	2	2	1/2	1/2	1		0	48	C3	3	71
6	6	40	40	4.0	0	0	4/2	2	1	1	1	1		0	60	C4	4	69
6	6	40	40	4.0	0	0	4/2	1	2	1	1	1		4	64	E4	4	67
6	6	42	42	1.0	1/2	1/2	4/2	2	2	1/4	1/4	1		0	60	C4	4	72
6	6	43	43	1.0	3/4	3/4	4/2	2	2	1/4	1/4	1		5	59	B3	3	73
6	6	44	44	1.0	1	1	4/2	2	2	1/4	1/4	1		3	57	A3	3	74
6	6	44	44	4.0	1	1	4/2	2	1	1	1	1		0	60	C4	4	70
6	6	44	44	1.0	1	1	4/2	1	1	1/4	1/4	1		0	72	C5	5	63
6	6	45	45	1.0	5/4	5/4	4/2	2	2	1/4	1/4	1		1	55	G3	3	75
6	6	45	45	1.0	5/4	5/4	4/2	1	1	1/4	1/4	1		5	71	B4	4	64
6	6	46	46	2.0	3/2	3/2	4/2	2	2	1/2	1/2	1		3	57	A3	3	76
6	6	46	46	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1	1	4	64	E4	4	68
6	6	46	46	1.0	3/2	3/2	4/2	1	1	1/4	1/4	1		3	69	A4	4	65
6	6	47	47	1.0	7/4	7/4	4/2	1	1	1/4	1/4	1		1	67	G4	4	66
7	7	48	48	3.0	0	0	4/2	2	2	3/4	1/2	3/2		-1	53	F3	3	90
7	7	48	48	4.0	0	0	4/2	2	1	1	1	1		3	57	A3	3	88
7	7	48	48	1.0	0	0	4/2	1	2	1/4	1/4	1	-1	4	64	E4	4	80
7	7	48	48	4.0	0	0	4/2	1	1	1	1	1		3	69	A4	4	77
7	7	49	49	0.5	1/4	1/4	4/2	1	2	1/8	1/8	1		2	62	D4	4	81
