mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/2	2	1	1	1	1		3	57	A3	3	0
1	1	4	4	2.0	1	1	4/2	2	1	1/2	1/2	1		3	57	A3	3	1
1	1	6	6	2.0	3/2	3/2	4/2	2	1	1/2	1/2	1		8	56	G#3	3	2
2	2	8	8	2.0	0	0	4/2	2	1	1/2	1/2	1		3	57	A3	3	5
2	2	10	10	2.0	1/2	1/2	4/2	2	1	1/2	1/2	1		0	60	C4	4	6
2	2	10	10	4.0	1/2	1/2	4/2	1	2	1	1	1		3	69	A4	4	3
2	2	12	12	3.0	1	1	4/2	2	1	3/4	1/2	3/2		5	59	B3	3	7
2	2	14	14	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		1	67	G4	4	4
2	2	15	15	1.0	7/4	7/4	4/2	2	1	1/4	1/4	1		0	60	C4	4	8
3	3	16	16	1.0	0	0	4/2	2	1	1/4	1/4	1		2	62	D4	4	14
3	3	16	16	2.0	0	0	4/2	1	2	1/2	1/2	1		-1	65	F4	4	10
3	3	17	17	1.0	1/4	1/4	4/2	2	1	1/4	1/4	1		3	57	A3	3	15
3	3	18	18	2.0	1/2	1/2	4/2	2	1	1/2	1/2	1		5	59	B3	3	16
3	3	18	18	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		2	62	D4	4	11
3	3	20	20	4.0	1	1	4/2	2	1	1	1	1		0	60	C4	4	17
3	3	20	20	2.0	1	1	4/2	1	2	1/2	1/2	1		4	64	E4	4	12
3	3	22	22	1.0	3/2	3/2	4/2	2	2	1/4	1/4	1		-1	53	F3	3	18
3	3	22	22	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		-1	65	F4	4	13
3	3	22	22	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1		3	69	A4	4	9
3	3	23	23	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	19
4	4	24	24	1.0	0	0	4/2	2	2	1/4	1/4	1		2	50	D3	3	27
4	4	24	24	4.0	0	0	4/2	2	1	1	1	1		5	59	B3	3	25
4	4	24	24	2.0	0	0	4/2	1	1	1/2	1/2	1		3	69	A4	4	20
4	4	25	25	0.5	1/4	1/4	4/2	2	2	1/8	1/8	1		0	48	C3	3	28
4	4	51/2	51/2	0.5	3/8	3/8	4/2	2	2	1/8	1/8	1		2	50	D3	3	29
4	4	26	26	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		4	52	E3	3	30
4	4	26	26	2.0	1/2	1/2	4/2	1	1	1/2	1/2	1		8	68	G#4	4	21
4	4	28	28	1.0	1	1	4/2	2	2	1/4	1/4	1		-1	53	F3	3	31
4	4	28	28	4.0	1	1	4/2	2	1	1	1	1		3	57	A3	3	26
4	4	28	28	2.0	1	1	4/2	1	1	1/2	1/2	1		3	69	A4	4	22
4	4	29	29	1.0	5/4	5/4	4/2	2	2	1/4	1/4	1		4	52	E3	3	32
4	4	30	30	1.0	3/2	3/2	4/2	2	2	1/4	1/4	1		2	50	D3	3	33
4	4	30	30	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		3	57	A3	3	24
4	4	30	30	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1		0	72	C5	5	23
4	4	31	31	1.0	7/4	7/4	4/2	2	2	1/4	1/4	1		0	48	C3	3	34
5	5	32	32	2.0	0	0	4/2	2	2	1/2	1/2	1		2	50	D3	3	46
5	5	32	32	2.0	0	0	4/2	1	2	1/2	1/2	1		3	57	A3	3	37
5	5	32	32	4.0	0	0	4/2	1	1	1	1	1		5	71	B4	4	35
5	5	34	34	2.0	1/2	1/2	4/2	2	2	1/2	1/2	1		4	52	E3	3	47
5	5	34	34	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		8	56	G#3	3	38
5	5	36	36	2.0	1	1	4/2	1	2	1/2	1/2	1		3	57	A3	3	39
5	5	36	36	1.0	1	1	4/2	2	1	1/4	1/4	1		0	60	C4	4	41
5	5	36	36	4.0	1	1	4/2	1	1	1	1	1		3	69	A4	4	36
5	5	37	37	1.0	5/4	5/4	4/2	2	1	1/4	1/4	1		2	62	D4	4	42
5	5	38	38	2.0	3/2	3/2	4/2	2	2	1/2	1/2	1	1	3	57	A3	3	48
5	5	38	38	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		0	60	C4	4	40
5	5	38	38	1.0	3/2	3/2	4/2	2	1	1/4	1/4	1		4	64	E4	4	43
5	5	39	39	0.5	7/4	7/4	4/2	2	1	1/8	1/8	1		-1	65	F4	4	44
5	5	79/2	79/2	0.5	15/8	15/8	4/2	2	1	1/8	1/8	1		4	64	E4	4	45
6	6	40	40	2.0	0	0	4/2	2	2	1/2	1/2	1	-1	3	57	A3	3	56
6	6	40	40	4.0	0	0	4/2	1	2	1	1	1		5	59	B3	3	50
6	6	40	40	2.0	0	0	4/2	2	1	1/2	1/2	1		2	62	D4	4	52
