quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	3.0	1	1	0	0	4/2	2	2	3/4	1/2	3/2		2	62	0
0	3.0	1	1	0	0	4/2	4	2	3/4	1/2	3/2		2	62	4
3	1.0	1	1	3/4	3/4	4/2	2	2	1/4	1/4	1		2	62	1
3	1.0	1	1	3/4	3/4	4/2	4	2	1/4	1/4	1		2	62	5
4	2.0	1	1	1	1	4/2	2	2	1/2	1/2	1		4	64	2
4	2.0	1	1	1	1	4/2	4	2	1/2	1/2	1		4	64	6
6	2.0	1	1	3/2	3/2	4/2	2	2	1/2	1/2	1		4	64	3
6	2.0	1	1	3/2	3/2	4/2	4	2	1/2	1/2	1		4	64	7
8	1.5	2	2	0	0	4/2	2	2	3/8	1/4	3/2		2	62	8
8	1.5	2	2	0	0	4/2	4	2	3/8	1/4	3/2		2	62	19
19/2	0.5	2	2	3/8	3/8	4/2	2	2	1/8	1/8	1		0	60	9
19/2	0.5	2	2	3/8	3/8	4/2	4	2	1/8	1/8	1		0	60	20
10	2.0	2	2	1/2	1/2	4/2	2	2	1/2	1/2	1		5	59	10
10	2.0	2	2	1/2	1/2	4/2	4	2	1/2	1/2	1		5	59	21
12	1.0	2	2	1	1	4/2	2	2	1/4	1/4	1		1	67	11
12	1.0	2	2	1	1	4/2	4	2	1/4	1/4	1		1	67	22
13	1.0	2	2	5/4	5/4	4/2	3	1	1/4	1/4	1		1	55	15
13	1.0	2	2	5/4	5/4	4/2	5	1	1/4	1/4	1		1	55	26
13	1.0	2	2	5/4	5/4	4/2	2	2	1/4	1/4	1		1	67	12
13	1.0	2	2	5/4	5/4	4/2	4	2	1/4	1/4	1		1	67	23
14	0.5	2	2	3/2	3/2	4/2	3	1	1/8	1/8	1		3	57	16
14	0.5	2	2	3/2	3/2	4/2	5	1	1/8	1/8	1		3	57	27
14	1.0	2	2	3/2	3/2	4/2	2	2	1/4	1/4	1		-1	65	13
14	1.0	2	2	3/2	3/2	4/2	4	2	1/4	1/4	1		-1	65	24
29/2	0.5	2	2	13/8	13/8	4/2	3	1	1/8	1/8	1		5	59	17
29/2	0.5	2	2	13/8	13/8	4/2	5	1	1/8	1/8	1		5	59	28
15	1.0	2	2	7/4	7/4	4/2	3	1	1/4	1/4	1	1	0	60	18
15	1.0	2	2	7/4	7/4	4/2	5	1	1/4	1/4	1	1	0	60	29
15	1.0	2	2	7/4	7/4	4/2	2	2	1/4	1/4	1		4	64	14
15	1.0	2	2	7/4	7/4	4/2	4	2	1/4	1/4	1		4	64	25
16	1.0	3	3	0	0	4/2	3	1	1/4	1/4	1	-1	0	60	39
16	1.0	3	3	0	0	4/2	5	1	1/4	1/4	1	-1	0	60	53
16	2.0	3	3	0	0	4/2	2	2	1/2	1/2	1		2	62	34
16	2.0	3	3	0	0	4/2	4	2	1/2	1/2	1		2	62	48
17	0.5	3	3	1/4	1/4	4/2	3	1	1/8	1/8	1		5	59	40
