quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	2	1	1	1	1		3	57	0
0	4.0	1	1	0	0	4/2	4	1	1	1	1		3	57	5
2	2.0	1	1	1/2	1/2	4/2	2	2	1/2	1/2	1		2	50	2
2	2.0	1	1	1/2	1/2	4/2	4	2	1/2	1/2	1		2	50	7
4	2.0	1	1	1	1	4/2	2	2	1/2	1/2	1		7	49	3
4	2.0	1	1	1	1	4/2	4	2	1/2	1/2	1		7	49	8
4	4.0	1	1	1	1	4/2	2	1	1	1	1		3	57	1
4	4.0	1	1	1	1	4/2	4	1	1	1	1		3	57	6
6	2.0	1	1	3/2	3/2	4/2	2	2	1/2	1/2	1		0	48	4
6	2.0	1	1	3/2	3/2	4/2	4	2	1/2	1/2	1		0	48	9
8	2.0	2	2	0	0	4/2	2	2	1/2	1/2	1		5	47	15
8	2.0	2	2	0	0	4/2	4	2	1/2	1/2	1		5	47	23
8	4.0	2	2	0	0	4/2	2	1	1	1	1		1	55	13
8	4.0	2	2	0	0	4/2	4	1	1	1	1		1	55	21
10	2.0	2	2	1/2	1/2	4/2	2	2	1/2	1/2	1		-2	46	16
10	2.0	2	2	1/2	1/2	4/2	4	2	1/2	1/2	1		-2	46	24
10	2.0	2	2	1/2	1/2	4/2	1	2	1/2	1/2	1		2	62	10
10	2.0	2	2	1/2	1/2	4/2	3	2	1/2	1/2	1		2	62	18
12	4.0	2	2	1	1	4/2	2	2	1	1	1		3	45	17
12	4.0	2	2	1	1	4/2	4	2	1	1	1		3	45	25
12	4.0	2	2	1	1	4/2	2	1	1	1	1		3	57	14
12	4.0	2	2	1	1	4/2	4	1	1	1	1		3	57	22
12	2.0	2	2	1	1	4/2	1	2	1/2	1/2	1		7	61	11
12	2.0	2	2	1	1	4/2	3	2	1/2	1/2	1		7	61	19
14	2.0	2	2	3/2	3/2	4/2	1	2	1/2	1/2	1		0	60	12
14	2.0	2	2	3/2	3/2	4/2	3	2	1/2	1/2	1		0	60	20
16	4.0	3	3	0	0	4/2	2	1	1	1	1		1	55	37
16	4.0	3	3	0	0	4/2	4	1	1	1	1		1	55	50
16	2.0	3	3	0	0	4/2	1	2	1/2	1/2	1		5	59	34
16	2.0	3	3	0	0	4/2	3	2	1/2	1/2	1		5	59	47
17	1.0	3	3	1/4	1/4	4/2	1	1	1/4	1/4	1		2	62	26
17	1.0	3	3	1/4	1/4	4/2	3	1	1/4	1/4	1		2	62	39
18	2.0	3	3	1/2	1/2	4/2	1	2	1/2	1/2	1		-2	58	35
18	2.0	3	3	1/2	1/2	4/2	3	2	1/2	1/2	1		-2	58	48
18	1.0	3	3	1/2	1/2	4/2	1	1	1/4	1/4	1		2	62	27
