quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	2	1	1	1	1		3	69	0
0	4.0	1	1	0	0	4/2	4	1	1	1	1		3	69	8
1	1.0	1	1	1/4	1/4	4/2	2	2	1/4	1/4	1		3	57	2
1	1.0	1	1	1/4	1/4	4/2	4	2	1/4	1/4	1		3	57	10
2	1.0	1	1	1/2	1/2	4/2	2	2	1/4	1/4	1		2	62	3
2	1.0	1	1	1/2	1/2	4/2	4	2	1/4	1/4	1		2	62	11
3	1.0	1	1	3/4	3/4	4/2	2	2	1/4	1/4	1		4	64	4
3	1.0	1	1	3/4	3/4	4/2	4	2	1/4	1/4	1		4	64	12
4	1.0	1	1	1	1	4/2	2	2	1/4	1/4	1		-1	65	5
4	1.0	1	1	1	1	4/2	4	2	1/4	1/4	1		-1	65	13
4	4.0	1	1	1	1	4/2	2	1	1	1	1		3	69	1
4	4.0	1	1	1	1	4/2	4	1	1	1	1		3	69	9
5	1.0	1	1	5/4	5/4	4/2	2	2	1/4	1/4	1		2	62	6
5	1.0	1	1	5/4	5/4	4/2	4	2	1/4	1/4	1		2	62	14
6	2.0	1	1	3/2	3/2	4/2	2	2	1/2	1/2	1		-1	65	7
6	2.0	1	1	3/2	3/2	4/2	4	2	1/2	1/2	1		-1	65	15
8	2.0	2	2	0	0	4/2	2	2	1/2	1/2	1		4	64	19
8	2.0	2	2	0	0	4/2	4	2	1/2	1/2	1		4	64	30
8	2.0	2	2	0	0	4/2	2	1	1/2	1/2	1		1	67	16
8	2.0	2	2	0	0	4/2	4	1	1/2	1/2	1		1	67	27
10	2.0	2	2	1/2	1/2	4/2	2	2	1/2	1/2	1		2	62	20
10	2.0	2	2	1/2	1/2	4/2	4	2	1/2	1/2	1		2	62	31
10	2.0	2	2	1/2	1/2	4/2	2	1	1/2	1/2	1		-2	70	17
10	2.0	2	2	1/2	1/2	4/2	4	1	1/2	1/2	1		-2	70	28
12	3.0	2	2	1	1	4/2	2	2	3/4	1/2	3/2		-1	65	21
12	3.0	2	2	1	1	4/2	4	2	3/4	1/2	3/2		-1	65	32
12	4.0	2	2	1	1	4/2	2	1	1	1	1		3	69	18
12	4.0	2	2	1	1	4/2	4	1	1	1	1		3	69	29
13	1.0	2	2	5/4	5/4	4/2	3	1	1/4	1/4	1		2	50	24
13	1.0	2	2	5/4	5/4	4/2	5	1	1/4	1/4	1		2	50	35
14	1.0	2	2	3/2	3/2	4/2	3	1	1/4	1/4	1		3	57	25
14	1.0	2	2	3/2	3/2	4/2	5	1	1/4	1/4	1		3	57	36
15	1.0	2	2	7/4	7/4	4/2	3	1	1/4	1/4	1		5	59	26
15	1.0	2	2	7/4	7/4	4/2	5	1	1/4	1/4	1		5	59	37
15	0.5	2	2	7/4	7/4	4/2	2	2	1/8	1/8	1		4	64	22
15	0.5	2	2	7/4	7/4	4/2	4	2	1/8	1/8	1		4	64	33
31/2	0.5	2	2	15/8	15/8	4/2	2	2	1/8	1/8	1		2	62	23
31/2	0.5	2	2	15/8	15/8	4/2	4	2	1/8	1/8	1		2	62	34
16	1.0	3	3	0	0	4/2	3	1	1/4	1/4	1		0	60	43
16	1.0	3	3	0	0	4/2	5	1	1/4	1/4	1		0	60	56
16	4.0	3	3	0	0	4/2	2	2	1	1	1		4	64	41
16	4.0	3	3	0	0	4/2	4	2	1	1	1		4	64	54
16	2.0	3	3	0	0	4/2	2	1	1/2	1/2	1		1	67	38
16	2.0	3	3	0	0	4/2	4	1	1/2	1/2	1		1	67	51
17	1.0	3	3	1/4	1/4	4/2	3	1	1/4	1/4	1		1	55	44
17	1.0	3	3	1/4	1/4	4/2	5	1	1/4	1/4	1		1	55	57
18	1.0	3	3	1/2	1/2	4/2	3	1	1/4	1/4	1		0	60	45
18	1.0	3	3	1/2	1/2	4/2	5	1	1/4	1/4	1		0	60	58
18	2.0	3	3	1/2	1/2	4/2	2	1	1/2	1/2	1		1	67	39
18	2.0	3	3	1/2	1/2	4/2	4	1	1/2	1/2	1		1	67	52
19	1.0	3	3	3/4	3/4	4/2	3	1	1/4	1/4	1		5	59	46
19	1.0	3	3	3/4	3/4	4/2	5	1	1/4	1/4	1		5	59	59
20	1.0	3	3	1	1	4/2	3	1	1/4	1/4	1		3	57	47
20	1.0	3	3	1	1	4/2	5	1	1/4	1/4	1		3	57	60
20	2.0	3	3	1	1	4/2	4	1	1/2	1/2	1		-1	65	53
20	4.0	3	3	1	1	4/2	2	1	1	1	1		-1	65	40
21	1.0	3	3	5/4	5/4	4/2	3	1	1/4	1/4	1		-1	53	48
21	1.0	3	3	5/4	5/4	4/2	5	1	1/4	1/4	1		-1	53	61
