quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	6.0	1	1	0	0	3/2	2	1	3/2	1	3/2	1	3	57	2
2	2.0	1	1	1/2	1/2	3/2	1	1	1/2	1/2	1		3	69	0
4	2.0	1	1	1	1	3/2	1	1	1/2	1/2	1		5	71	1
6	6.0	2	2	0	0	3/2	2	1	3/2	1	3/2	0	3	57	7
6	4.0	2	2	0	0	3/2	1	1	1	1	1		0	72	3
8	2.0	2	2	1/2	1/2	3/2	1	2	1/2	1/2	1		3	69	5
10	2.0	2	2	1	1	3/2	1	2	1/2	1/2	1		1	67	6
10	2.0	2	2	1	1	3/2	1	1	1/2	1/2	1		5	71	4
12	6.0	3	3	0	0	3/2	2	1	3/2	1	3/2	0	3	57	12
12	2.0	3	3	0	0	3/2	1	2	1/2	1/2	1		-1	65	10
12	4.0	3	3	0	0	3/2	1	1	1	1	1		3	69	8
14	4.0	3	3	1/2	1/2	3/2	1	2	1	1	1	1	4	64	11
16	2.0	3	3	1	1	3/2	1	1	1/2	1/2	1		1	67	9
18	6.0	4	4	0	0	3/2	2	1	3/2	1	3/2	0	3	57	19
18	2.0	4	4	0	0	3/2	1	2	1/2	1/2	1	-1	4	64	17
18	3.0	4	4	0	0	3/2	1	1	3/4	1/2	3/2		-1	65	13
20	4.0	4	4	1/2	1/2	3/2	1	2	1	1	1	1	2	62	18
21	1.0	4	4	3/4	3/4	3/2	1	1	1/4	1/4	1		4	64	14
22	1.0	4	4	1	1	3/2	1	1	1/4	1/4	1		-1	65	15
23	1.0	4	4	5/4	5/4	3/2	1	1	1/4	1/4	1		1	67	16
24	6.0	5	5	0	0	3/2	2	1	3/2	1	3/2	0	3	57	24
24	2.0	5	5	0	0	3/2	1	2	1/2	1/2	1	-1	2	62	21
24	6.0	5	5	0	0	3/2	1	1	3/2	1	3/2		4	64	20
26	2.0	5	5	1/2	1/2	3/2	2	2	1/2	1/2	1		3	45	25
26	2.0	5	5	1/2	1/2	3/2	1	2	1/2	1/2	1		0	60	22
28	2.0	5	5	1	1	3/2	2	2	1/2	1/2	1		5	47	26
28	2.0	5	5	1	1	3/2	1	2	1/2	1/2	1		2	62	23
30	2.0	6	6	0	0	3/2	2	2	1/2	1/2	1		0	48	32
30	6.0	6	6	0	0	3/2	2	1	3/2	1	3/2	0	3	57	31
30	2.0	6	6	0	0	3/2	1	2	1/2	1/2	1		4	64	28
30	6.0	6	6	0	0	3/2	1	1	3/2	1	3/2		4	64	27
32	2.0	6	6	1/2	1/2	3/2	2	2	1/2	1/2	1		5	47	33
32	2.0	6	6	1/2	1/2	3/2	1	2	1/2	1/2	1		2	62	29
34	2.0	6	6	1	1	3/2	2	2	1/2	1/2	1		3	45	34
34	2.0	6	6	1	1	3/2	1	2	1/2	1/2	1		0	60	30
36	2.0	7	7	0	0	3/2	2	2	1/2	1/2	1		2	50	38
36	6.0	7	7	0	0	3/2	2	1	3/2	1	3/2	0	3	57	37
36	6.0	7	7	0	0	3/2	1	1	3/2	1	3/2		-1	65	35
38	2.0	7	7	1/2	1/2	3/2	2	2	1/2	1/2	1		3	57	39
38	4.0	7	7	1/2	1/2	3/2	1	2	1	1	1		0	60	36
40	2.0	7	7	1	1	3/2	2	2	1/2	1/2	1		1	55	40
42	2.0	8	8	0	0	3/2	2	2	1/2	1/2	1		-1	53	43
42	6.0	8	8	0	0	3/2	2	1	3/2	1	3/2	0	3	57	42
42	6.0	8	8	0	0	3/2	1	2	3/2	1	3/2		2	62	41
44	2.0	8	8	1/2	1/2	3/2	2	2	1/2	1/2	1		4	52	44
46	2.0	8	8	1	1	3/2	2	2	1/2	1/2	1		2	50	45
48	2.0	9	9	0	0	3/2	2	2	1/2	1/2	1		7	49	49
48	6.0	9	9	0	0	3/2	2	1	3/2	1	3/2	0	3	57	48
48	4.0	9	9	0	0	3/2	1	2	1	1	1		4	64	46
50	2.0	9	9	1/2	1/2	3/2	2	2	1/2	1/2	1		3	45	50
52	2.0	9	9	1	1	3/2	2	2	1/2	1/2	1	1	2	50	51
52	2.0	9	9	1	1	3/2	1	2	1/2	1/2	1		-1	65	47
54	2.0	10	10	0	0	3/2	2	2	1/2	1/2	1	-1	2	50	56
54	6.0	10	10	0	0	3/2	2	1	3/2	1	3/2	0	3	57	55
54	6.0	10	10	0	0	3/2	1	2	3/2	1	3/2		4	64	54
56	4.0	10	10	1/2	1/2	3/2	2	2	1	1	1		7	49	57
56	2.0	10	10	1/2	1/2	3/2	1	1	1/2	1/2	1		3	69	52
58	2.0	10	10	1	1	3/2	1	1	1/2	1/2	1		1	67	53
60	6.0	11	11	0	0	3/2	2	2	3/2	1	3/2		2	50	63
60	6.0	11	11	0	0	3/2	2	1	3/2	1	3/2	0	3	57	62
60	6.0	11	11	0	0	3/2	1	2	3/2	1	3/2		2	62	61
60	2.0	11	11	0	0	3/2	1	1	1/2	1/2	1		-1	65	58
62	2.0	11	11	1/2	1/2	3/2	1	1	1/2	1/2	1		3	69	59
64	2.0	11	11	1	1	3/2	1	1	1/2	1/2	1		5	71	60
66	6.0	12	12	0	0	3/2	2	1	3/2	1	3/2	0	3	57	69
66	3.0	12	12	0	0	3/2	1	1	3/4	1/2	3/2		0	72	64
68	2.0	12	12	1/2	1/2	3/2	1	2	1/2	1/2	1		3	69	67
69	1.0	12	12	3/4	3/4	3/2	1	1	1/4	1/4	1		2	74	65
70	2.0	12	12	1	1	3/2	1	2	1/2	1/2	1		1	67	68
70	2.0	12	12	1	1	3/2	1	1	1/2	1/2	1		4	76	66
72	6.0	13	13	0	0	3/2	2	1	3/2	1	3/2	0	3	57	78
72	2.0	13	13	0	0	3/2	1	2	1/2	1/2	1		-1	65	75
72	1.0	13	13	0	0	3/2	1	1	1/4	1/4	1		3	69	70
73	1.0	13	13	1/4	1/4	3/2	1	1	1/4	1/4	1		5	71	71
74	2.0	13	13	1/2	1/2	3/2	1	2	1/2	1/2	1		3	69	76
74	1.0	13	13	1/2	1/2	3/2	1	1	1/4	1/4	1		7	73	72
75	1.0	13	13	3/4	3/4	3/2	1	1	1/4	1/4	1		2	74	73
76	2.0	13	13	1	1	3/2	1	2	1/2	1/2	1		7	61	77
76	2.0	13	13	1	1	3/2	1	1	1/2	1/2	1	1	4	76	74
78	6.0	14	14	0	0	3/2	2	1	3/2	1	3/2	0	3	57	84
78	4.0	14	14	0	0	3/2	1	2	1	1	1		-1	65	82
78	2.0	14	14	0	0	3/2	1	1	1/2	1/2	1	-1	4	76	79
80	2.0	14	14	1/2	1/2	3/2	1	1	1/2	1/2	1		2	74	80
82	2.0	14	14	1	1	3/2	1	2	1/2	1/2	1		4	64	83
82	2.0	14	14	1	1	3/2	1	1	1/2	1/2	1		7	73	81
84	4.0	15	15	0	0	3/2	2	2	1	1	1		2	50	92
84	6.0	15	15	0	0	3/2	2	1	3/2	1	3/2	0	3	57	91
84	2.0	15	15	0	0	3/2	1	2	1/2	1/2	1		-1	65	88
84	2.0	15	15	0	0	3/2	1	1	1/2	1/2	1		2	74	85
86	2.0	15	15	1/2	1/2	3/2	1	2	1/2	1/2	1		3	69	89
86	2.0	15	15	1/2	1/2	3/2	1	1	1/2	1/2	1		0	72	86
88	2.0	15	15	1	1	3/2	2	2	1/2	1/2	1		4	52	93
88	2.0	15	15	1	1	3/2	1	2	1/2	1/2	1		1	67	90
88	2.0	15	15	1	1	3/2	1	1	1/2	1/2	1		-2	70	87
90	2.0	16	16	0	0	3/2	2	2	1/2	1/2	1		-1	53	101
90	6.0	16	16	0	0	3/2	2	1	3/2	1	3/2	0	3	57	100
90	2.0	16	16	0	0	3/2	1	2	1/2	1/2	1		-1	65	97
90	3.0	16	16	0	0	3/2	1	1	3/4	1/2	3/2		3	69	94
92	2.0	16	16	1/2	1/2	3/2	2	2	1/2	1/2	1		4	52	102
92	2.0	16	16	1/2	1/2	3/2	1	2	1/2	1/2	1		7	61	98
93	1.0	16	16	3/4	3/4	3/2	1	1	1/4	1/4	1		1	67	95
94	2.0	16	16	1	1	3/2	2	2	1/2	1/2	1		2	50	103
94	2.0	16	16	1	1	3/2	1	2	1/2	1/2	1		2	62	99
94	2.0	16	16	1	1	3/2	1	1	1/2	1/2	1		-1	65	96
96	4.0	17	17	0	0	3/2	2	2	1	1	1		7	49	109
