quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	8.0	1	1	0	0	4/2	1	2	2	2	1		2	62	0
2	2.0	1	1	1/2	1/2	4/2	2	1	1/2	1/2	1		2	50	1
4	2.0	1	1	1	1	4/2	2	1	1/2	1/2	1		-2	58	2
6	1.0	1	1	3/2	3/2	4/2	2	1	1/4	1/4	1		3	57	3
7	1.0	1	1	7/4	7/4	4/2	2	1	1/4	1/4	1		1	55	4
8	1.0	2	2	0	0	4/2	2	1	1/4	1/4	1		3	57	6
8	8.0	2	2	0	0	4/2	1	2	2	2	1		-1	65	5
9	1.0	2	2	1/4	1/4	4/2	2	1	1/4	1/4	1		2	50	7
10	1.0	2	2	1/2	1/2	4/2	2	1	1/4	1/4	1		-1	53	8
11	1.0	2	2	3/4	3/4	4/2	2	1	1/4	1/4	1		1	55	9
12	2.0	2	2	1	1	4/2	2	1	1/2	1/2	1		3	57	10
14	2.0	2	2	3/2	3/2	4/2	2	1	1/2	1/2	1	1	-2	58	11
16	1.0	3	3	0	0	4/2	2	1	1/4	1/4	1	-1	-2	58	17
16	8.0	3	3	0	0	4/2	1	2	2	2	1		2	62	16
17	1.0	3	3	1/4	1/4	4/2	2	1	1/4	1/4	1		3	57	18
18	1.0	3	3	1/2	1/2	4/2	2	1	1/4	1/4	1		1	55	19
18	2.0	3	3	1/2	1/2	4/2	1	1	1/2	1/2	1		2	62	12
19	1.0	3	3	3/4	3/4	4/2	2	1	1/4	1/4	1		-1	53	20
20	2.0	3	3	1	1	4/2	2	1	1/2	1/2	1		1	55	21
20	2.0	3	3	1	1	4/2	1	1	1/2	1/2	1		-2	70	13
22	2.0	3	3	3/2	3/2	4/2	2	1	1/2	1/2	1		-2	58	22
22	1.0	3	3	3/2	3/2	4/2	1	1	1/4	1/4	1		3	69	14
23	1.0	3	3	7/4	7/4	4/2	1	1	1/4	1/4	1		1	67	15
24	3.0	4	4	0	0	4/2	2	1	3/4	1/2	3/2		3	57	29
24	8.0	4	4	0	0	4/2	1	2	2	2	1		0	60	28
24	1.0	4	4	0	0	4/2	1	1	1/4	1/4	1		3	69	23
25	1.0	4	4	1/4	1/4	4/2	1	1	1/4	1/4	1		4	64	24
26	1.0	4	4	1/2	1/2	4/2	1	1	1/4	1/4	1		-1	65	25
27	1.0	4	4	3/4	3/4	4/2	2	1	1/4	1/4	1		1	55	30
27	1.0	4	4	3/4	3/4	4/2	1	1	1/4	1/4	1		1	67	26
28	2.0	4	4	1	1	4/2	2	1	1/2	1/2	1		-1	53	31
28	4.0	4	4	1	1	4/2	1	1	1	1	1	1	3	69	27
30	2.0	4	4	3/2	3/2	4/2	2	2	1/2	1/2	1		3	45	33
30	2.0	4	4	3/2	3/2	4/2	2	1	1/2	1/2	1		4	52	32
32	2.0	5	5	0	0	4/2	2	2	1/2	1/2	1		-1	53	40
32	4.0	5	5	0	0	4/2	2	1	1	1	1		3	57	36
32	8.0	5	5	0	0	4/2	1	2	2	2	1		2	62	35
32	4.0	5	5	0	0	4/2	1	1	1	1	1	-1	3	69	34
34	1.0	5	5	1/2	1/2	4/2	2	2	1/4	1/4	1		4	52	41
35	1.0	5	5	3/4	3/4	4/2	2	2	1/4	1/4	1		2	50	42
36	1.0	5	5	1	1	4/2	2	2	1/4	1/4	1		1	55	43
36	3.0	5	5	1	1	4/2	2	1	3/4	1/2	3/2		-2	58	37
37	1.0	5	5	5/4	5/4	4/2	2	2	1/4	1/4	1		1	43	44
38	1.0	5	5	3/2	3/2	4/2	2	2	1/4	1/4	1		-2	46	45
39	1.0	5	5	7/4	7/4	4/2	2	2	1/4	1/4	1		0	48	46
39	0.5	5	5	7/4	7/4	4/2	2	1	1/8	1/8	1		3	57	38
79/2	0.5	5	5	15/8	15/8	4/2	2	1	1/8	1/8	1		1	55	39
40	1.0	6	6	0	0	4/2	2	2	1/4	1/4	1		2	50	56
40	1.0	6	6	0	0	4/2	2	1	1/4	1/4	1		-1	53	52
40	8.0	6	6	0	0	4/2	1	2	2	2	1		3	57	51
41	1.0	6	6	1/4	1/4	4/2	2	2	1/4	1/4	1		4	52	57
41	1.0	6	6	1/4	1/4	4/2	2	1	1/4	1/4	1		1	55	53
42	1.0	6	6	1/2	1/2	4/2	2	2	1/4	1/4	1		-1	53	58
42	2.0	6	6	1/2	1/2	4/2	2	1	1/2	1/2	1		3	57	54
42	2.0	6	6	1/2	1/2	4/2	1	1	1/2	1/2	1		3	69	47
43	1.0	6	6	3/4	3/4	4/2	2	2	1/4	1/4	1		7	49	59
44	4.0	6	6	1	1	4/2	2	2	1	1	1		2	50	60
44	4.0	6	6	1	1	4/2	2	1	1	1	1		-1	53	55
44	2.0	6	6	1	1	4/2	1	1	1/2	1/2	1		-1	77	48
46	1.0	6	6	3/2	3/2	4/2	1	1	1/4	1/4	1		4	76	49
47	1.0	6	6	7/4	7/4	4/2	1	1	1/4	1/4	1		2	74	50
48	8.0	7	7	0	0	4/2	2	2	2	2	1		3	57	72
48	8.0	7	7	0	0	4/2	1	2	2	2	1		0	60	68
48	1.0	7	7	0	0	4/2	1	1	1/4	1/4	1		4	76	61
49	1.0	7	7	1/4	1/4	4/2	1	1	1/4	1/4	1		3	69	62
50	2.0	7	7	1/2	1/2	4/2	2	1	1/2	1/2	1		3	57	69
50	1.0	7	7	1/2	1/2	4/2	1	1	1/4	1/4	1		0	72	63
51	1.0	7	7	3/4	3/4	4/2	1	1	1/4	1/4	1		2	74	64
52	2.0	7	7	1	1	4/2	2	1	1/2	1/2	1		3	57	70
52	1.0	7	7	1	1	4/2	1	1	1/4	1/4	1		4	76	65
53	1.0	7	7	5/4	5/4	4/2	1	1	1/4	1/4	1		4	64	66
54	2.0	7	7	3/2	3/2	4/2	2	1	1/2	1/2	1		3	57	71
54	2.0	7	7	3/2	3/2	4/2	1	1	1/2	1/2	1	1	3	69	67
56	3.0	8	8	0	0	4/2	2	1	3/4	1/2	3/2		-2	58	81
56	8.0	8	8	0	0	4/2	1	2	2	2	1		2	62	80
56	1.0	8	8	0	0	4/2	1	1	1/4	1/4	1	-1	3	69	73
57	0.5	8	8	1/4	1/4	4/2	1	1	1/8	1/8	1		1	67	74
115/2	0.5	8	8	3/8	3/8	4/2	1	1	1/8	1/8	1		-1	65	75
58	2.0	8	8	1/2	1/2	4/2	1	1	1/2	1/2	1		1	67	76
59	0.5	8	8	3/4	3/4	4/2	2	1	1/8	1/8	1		3	57	82
119/2	0.5	8	8	7/8	7/8	4/2	2	1	1/8	1/8	1		1	55	83
60	2.0	8	8	1	1	4/2	2	1	1/2	1/2	1		6	54	84
60	2.0	8	8	1	1	4/2	1	1	1/2	1/2	1		3	69	77
62	2.0	8	8	3/2	3/2	4/2	2	1	1/2	1/2	1		1	55	85
62	1.0	8	8	3/2	3/2	4/2	1	1	1/4	1/4	1		-2	70	78
63	1.0	8	8	7/4	7/4	4/2	1	1	1/4	1/4	1		3	69	79
64	8.0	9	9	0	0	4/2	1	2	2	2	1		4	64	90
64	1.0	9	9	0	0	4/2	1	1	1/4	1/4	1		1	67	86
65	1.0	9	9	1/4	1/4	4/2	1	1	1/4	1/4	1		6	66	87
66	4.0	9	9	1/2	1/2	4/2	1	1	1	1	1		1	67	88
67	1.0	9	9	3/4	3/4	4/2	2	1	1/4	1/4	1		4	52	91
68	2.0	9	9	1	1	4/2	2	1	1/2	1/2	1		0	60	92
70	1.0	9	9	3/2	3/2	4/2	2	1	1/4	1/4	1		5	59	93
70	2.0	9	9	3/2	3/2	4/2	1	1	1/2	1/2	1		3	69	89
71	1.0	9	9	7/4	7/4	4/2	2	1	1/4	1/4	1		3	57	94
72	1.0	10	10	0	0	4/2	2	1	1/4	1/4	1		2	62	99
72	8.0	10	10	0	0	4/2	1	2	2	2	1		-1	65	98
73	1.0	10	10	1/4	1/4	4/2	2	1	1/4	1/4	1		2	50	100
74	1.0	10	10	1/2	1/2	4/2	2	1	1/4	1/4	1		-1	53	101
74	2.0	10	10	1/2	1/2	4/2	1	1	1/2	1/2	1		3	69	95
75	1.0	10	10	3/4	3/4	4/2	2	1	1/4	1/4	1		1	55	102
76	1.0	10	10	1	1	4/2	2	1	1/4	1/4	1		3	57	103
76	2.0	10	10	1	1	4/2	1	1	1/2	1/2	1		3	69	96
77	1.0	10	10	5/4	5/4	4/2	2	1	1/4	1/4	1		2	50	104
78	2.0	10	10	3/2	3/2	4/2	2	1	1/2	1/2	1		2	62	105
78	2.0	10	10	3/2	3/2	4/2	1	1	1/2	1/2	1		3	69	97
80	8.0	11	11	0	0	4/2	1	2	2	2	1		4	64	111
80	3.0	11	11	0	0	4/2	1	1	3/4	1/2	3/2		0	72	106
82	2.0	11	11	1/2	1/2	4/2	2	1	1/2	1/2	1		4	52	112
83	0.5	11	11	3/4	3/4	4/2	1	1	1/8	1/8	1		5	71	107
167/2	0.5	11	11	7/8	7/8	4/2	1	1	1/8	1/8	1		3	69	108
84	2.0	11	11	1	1	4/2	2	1	1/2	1/2	1		0	60	113
84	2.0	11	11	1	1	4/2	1	1	1/2	1/2	1		1	67	109
86	1.0	11	11	3/2	3/2	4/2	2	1	1/4	1/4	1		5	59	114
86	2.0	11	11	3/2	3/2	4/2	1	1	1/2	1/2	1		3	69	110
87	1.0	11	11	7/4	7/4	4/2	2	1	1/4	1/4	1		3	57	115
88	2.0	12	12	0	0	4/2	2	1	1/2	1/2	1		-2	58	120
88	8.0	12	12	0	0	4/2	1	2	2	2	1		2	62	119
90	2.0	12	12	1/2	1/2	4/2	2	2	1/2	1/2	1		2	50	125
90	1.0	12	12	1/2	1/2	4/2	2	1	1/4	1/4	1		3	57	121
91	1.0	12	12	3/4	3/4	4/2	2	1	1/4	1/4	1		1	55	122
92	2.0	12	12	1	1	4/2	2	2	1/2	1/2	1		2	50	126
92	2.0	12	12	1	1	4/2	2	1	1/2	1/2	1		-1	53	123
92	2.0	12	12	1	1	4/2	1	1	1/2	1/2	1		-2	70	116
94	2.0	12	12	3/2	3/2	4/2	2	2	1/2	1/2	1		2	50	127
94	2.0	12	12	3/2	3/2	4/2	2	1	1/2	1/2	1		-2	58	124
94	1.0	12	12	3/2	3/2	4/2	1	1	1/4	1/4	1		3	69	117
95	1.0	12	12	7/4	7/4	4/2	1	1	1/4	1/4	1		1	67	118
96	3.0	13	13	0	0	4/2	2	2	3/4	1/2	3/2		-1	53	140
96	3.0	13	13	0	0	4/2	2	1	3/4	1/2	3/2		3	57	136
96	8.0	13	13	0	0	4/2	1	2	2	2	1		0	60	135
96	1.0	13	13	0	0	4/2	1	1	1/4	1/4	1		3	69	128
97	1.0	13	13	1/4	1/4	4/2	1	1	1/4	1/4	1		5	71	129
98	1.0	13	13	1/2	1/2	4/2	1	1	1/4	1/4	1		0	72	130
99	0.5	13	13	3/4	3/4	4/2	2	2	1/8	1/8	1		4	52	141
99	0.5	13	13	3/4	3/4	4/2	2	1	1/8	1/8	1		1	55	137
99	1.0	13	13	3/4	3/4	4/2	1	1	1/4	1/4	1		2	74	131
199/2	0.5	13	13	7/8	7/8	4/2	2	2	1/8	1/8	1		2	50	142
199/2	0.5	13	13	7/8	7/8	4/2	2	1	1/8	1/8	1		-1	53	138
100	3.0	13	13	1	1	4/2	2	2	3/4	1/2	3/2		0	48	143
100	2.0	13	13	1	1	4/2	2	1	1/2	1/2	1		1	55	139
100	1.0	13	13	1	1	4/2	1	1	1/4	1/4	1		4	76	132
101	1.0	13	13	5/4	5/4	4/2	1	1	1/4	1/4	1		4	64	133
102	2.0	13	13	3/2	3/2	4/2	1	1	1/2	1/2	1	1	3	69	134
103	1.0	13	13	7/4	7/4	4/2	2	2	1/4	1/4	1		2	50	144
