mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1	1	2	74	D5	5	0
1	1	2	2	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		2	62	D4	4	5
1	1	2	2	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1	-1	2	74	D5	5	1
1	1	5/2	5/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	2
1	1	3	3	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	3
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	6
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	4
2	2	4	4	0.5	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	18
2	2	4	4	2.0	0	0	4/4	1	2	1/2	1/2	1	1	2	62	D4	4	13
2	2	4	4	0.5	0	0	4/4	1	1	1/8	1/8	1		1	67	G4	4	7
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	19
2	2	9/2	9/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	8
2	2	5	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	20
2	2	5	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	9
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	21
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	10
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	22
2	2	6	6	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	2	62	D4	4	14
2	2	6	6	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	11
2	2	13/2	13/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	15
2	2	7	7	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4	16
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1	1	1	67	G4	4	17
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	12
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	33
3	3	8	8	1.0	0	0	4/4	1	2	1/4	1/4	1	-1	1	67	G4	4	30
3	3	8	8	0.5	0	0	4/4	1	1	1/8	1/8	1		7	73	C#5	5	23
