quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	2	1	1	1	1		3	57	0
0	4.0	1	1	0	0	4/2	4	1	1	1	1		3	57	3
4	2.0	1	1	1	1	4/2	2	1	1/2	1/2	1		3	57	1
4	2.0	1	1	1	1	4/2	4	1	1/2	1/2	1		3	57	4
6	2.0	1	1	3/2	3/2	4/2	2	1	1/2	1/2	1		8	56	2
6	2.0	1	1	3/2	3/2	4/2	4	1	1/2	1/2	1		8	56	5
8	2.0	2	2	0	0	4/2	2	1	1/2	1/2	1		3	57	8
8	2.0	2	2	0	0	4/2	4	1	1/2	1/2	1		3	57	14
10	2.0	2	2	1/2	1/2	4/2	2	1	1/2	1/2	1		0	60	9
10	2.0	2	2	1/2	1/2	4/2	4	1	1/2	1/2	1		0	60	15
10	4.0	2	2	1/2	1/2	4/2	1	2	1	1	1		3	69	6
10	4.0	2	2	1/2	1/2	4/2	3	2	1	1	1		3	69	12
12	3.0	2	2	1	1	4/2	2	1	3/4	1/2	3/2		5	59	10
12	3.0	2	2	1	1	4/2	4	1	3/4	1/2	3/2		5	59	16
14	2.0	2	2	3/2	3/2	4/2	1	2	1/2	1/2	1		1	67	7
14	2.0	2	2	3/2	3/2	4/2	3	2	1/2	1/2	1		1	67	13
15	1.0	2	2	7/4	7/4	4/2	2	1	1/4	1/4	1		0	60	11
15	1.0	2	2	7/4	7/4	4/2	4	1	1/4	1/4	1		0	60	17
16	1.0	3	3	0	0	4/2	2	1	1/4	1/4	1		2	62	23
16	1.0	3	3	0	0	4/2	4	1	1/4	1/4	1		2	62	34
16	2.0	3	3	0	0	4/2	1	2	1/2	1/2	1		-1	65	19
16	2.0	3	3	0	0	4/2	3	2	1/2	1/2	1		-1	65	30
17	1.0	3	3	1/4	1/4	4/2	2	1	1/4	1/4	1		3	57	24
17	1.0	3	3	1/4	1/4	4/2	4	1	1/4	1/4	1		3	57	35
18	2.0	3	3	1/2	1/2	4/2	2	1	1/2	1/2	1		5	59	25
18	2.0	3	3	1/2	1/2	4/2	4	1	1/2	1/2	1		5	59	36
18	2.0	3	3	1/2	1/2	4/2	1	2	1/2	1/2	1		2	62	20
18	2.0	3	3	1/2	1/2	4/2	3	2	1/2	1/2	1		2	62	31
20	4.0	3	3	1	1	4/2	2	1	1	1	1		0	60	26
20	4.0	3	3	1	1	4/2	4	1	1	1	1		0	60	37
20	2.0	3	3	1	1	4/2	1	2	1/2	1/2	1		4	64	21
20	2.0	3	3	1	1	4/2	3	2	1/2	1/2	1		4	64	32
22	1.0	3	3	3/2	3/2	4/2	2	2	1/4	1/4	1		-1	53	27
22	1.0	3	3	3/2	3/2	4/2	4	2	1/4	1/4	1		-1	53	38
22	2.0	3	3	3/2	3/2	4/2	1	2	1/2	1/2	1		-1	65	22
22	2.0	3	3	3/2	3/2	4/2	3	2	1/2	1/2	1		-1	65	33
22	2.0	3	3	3/2	3/2	4/2	1	1	1/2	1/2	1		3	69	18
22	2.0	3	3	3/2	3/2	4/2	3	1	1/2	1/2	1		3	69	29
23	1.0	3	3	7/4	7/4	4/2	2	2	1/4	1/4	1		4	52	28
23	1.0	3	3	7/4	7/4	4/2	4	2	1/4	1/4	1		4	52	39
24	1.0	4	4	0	0	4/2	2	2	1/4	1/4	1		2	50	47
24	1.0	4	4	0	0	4/2	4	2	1/4	1/4	1		2	50	62
24	4.0	4	4	0	0	4/2	2	1	1	1	1		5	59	45
24	4.0	4	4	0	0	4/2	4	1	1	1	1		5	59	60
24	2.0	4	4	0	0	4/2	1	1	1/2	1/2	1		3	69	40
24	2.0	4	4	0	0	4/2	3	1	1/2	1/2	1		3	69	55
25	0.5	4	4	1/4	1/4	4/2	2	2	1/8	1/8	1		0	48	48
25	0.5	4	4	1/4	1/4	4/2	4	2	1/8	1/8	1		0	48	63
51/2	0.5	4	4	3/8	3/8	4/2	2	2	1/8	1/8	1		2	50	49
51/2	0.5	4	4	3/8	3/8	4/2	4	2	1/8	1/8	1		2	50	64
26	2.0	4	4	1/2	1/2	4/2	2	2	1/2	1/2	1		4	52	50
26	2.0	4	4	1/2	1/2	4/2	4	2	1/2	1/2	1		4	52	65
26	2.0	4	4	1/2	1/2	4/2	1	1	1/2	1/2	1		8	68	41
26	2.0	4	4	1/2	1/2	4/2	3	1	1/2	1/2	1		8	68	56
28	1.0	4	4	1	1	4/2	2	2	1/4	1/4	1		-1	53	51
28	1.0	4	4	1	1	4/2	4	2	1/4	1/4	1		-1	53	66
28	2.0	4	4	1	1	4/2	4	1	1/2	1/2	1		3	57	61
28	4.0	4	4	1	1	4/2	2	1	1	1	1		3	57	46
28	2.0	4	4	1	1	4/2	1	1	1/2	1/2	1		3	69	42
28	2.0	4	4	1	1	4/2	3	1	1/2	1/2	1		3	69	57
29	1.0	4	4	5/4	5/4	4/2	2	2	1/4	1/4	1		4	52	52
29	1.0	4	4	5/4	5/4	4/2	4	2	1/4	1/4	1		4	52	67
30	1.0	4	4	3/2	3/2	4/2	2	2	1/4	1/4	1		2	50	53
30	1.0	4	4	3/2	3/2	4/2	4	2	1/4	1/4	1		2	50	68
30	2.0	4	4	3/2	3/2	4/2	1	2	1/2	1/2	1		3	57	44
