quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/2	2	2	1	1	1		4	52	5
0	6.0	1	1	0	0	4/2	2	1	3/2	1	3/2		4	64	3
0	6.0	1	1	0	0	4/2	1	2	3/2	1	3/2		1	67	1
0	8.0	1	1	0	0	4/2	1	1	2	2	1		5	71	0
4	4.0	1	1	1	1	4/2	2	2	1	1	1	1	5	59	6
6	2.0	1	1	3/2	3/2	4/2	2	1	1/2	1/2	1		2	62	4
6	2.0	1	1	3/2	3/2	4/2	1	2	1/2	1/2	1		6	66	2
8	2.0	2	2	0	0	4/2	2	2	1/2	1/2	1	-1	5	59	16
8	2.0	2	2	0	0	4/2	2	1	1/2	1/2	1		4	64	12
8	2.0	2	2	0	0	4/2	1	2	1/2	1/2	1		8	68	9
8	4.0	2	2	0	0	4/2	1	1	1	1	1		7	73	7
10	2.0	2	2	1/2	1/2	4/2	2	2	1/2	1/2	1		3	57	17
10	4.0	2	2	1/2	1/2	4/2	2	1	1	1	1		6	66	13
10	4.0	2	2	1/2	1/2	4/2	1	2	1	1	1		3	69	10
12	4.0	2	2	1	1	4/2	2	2	1	1	1		5	59	18
12	4.0	2	2	1	1	4/2	1	1	1	1	1		2	74	8
14	1.0	2	2	3/2	3/2	4/2	2	1	1/4	1/4	1		4	64	14
14	2.0	2	2	3/2	3/2	4/2	1	2	1/2	1/2	1	1	1	67	11
15	1.0	2	2	7/4	7/4	4/2	2	1	1/4	1/4	1		2	62	15
16	4.0	3	3	0	0	4/2	2	2	1	1	1		3	57	30
16	2.0	3	3	0	0	4/2	2	1	1/2	1/2	1		7	61	27
16	2.0	3	3	0	0	4/2	1	2	1/2	1/2	1	-1	1	67	24
16	2.0	3	3	0	0	4/2	1	1	1/2	1/2	1		4	76	19
18	4.0	3	3	1/2	1/2	4/2	2	1	1	1	1		2	62	28
18	2.0	3	3	1/2	1/2	4/2	1	2	1/2	1/2	1		-1	65	25
18	2.0	3	3	1/2	1/2	4/2	1	1	1/2	1/2	1		3	69	20
20	2.0	3	3	1	1	4/2	2	2	1/2	1/2	1		1	55	31
20	4.0	3	3	1	1	4/2	1	2	1	1	1		4	64	26
20	2.0	3	3	1	1	4/2	1	1	1/2	1/2	1		-2	70	21
22	2.0	3	3	3/2	3/2	4/2	2	2	1/2	1/2	1		3	57	32
22	2.0	3	3	3/2	3/2	4/2	2	1	1/2	1/2	1	1	0	60	29
22	1.0	3	3	3/2	3/2	4/2	1	1	1/4	1/4	1		3	69	22
23	1.0	3	3	7/4	7/4	4/2	1	1	1/4	1/4	1		1	67	23
24	2.0	4	4	0	0	4/2	2	2	1/2	1/2	1		2	50	43
24	2.0	4	4	0	0	4/2	2	1	1/2	1/2	1	-1	0	60	40
24	4.0	4	4	0	0	4/2	1	2	1	1	1		2	62	36
24	2.0	4	4	0	0	4/2	1	1	1/2	1/2	1		6	66	33
26	2.0	4	4	1/2	1/2	4/2	2	2	1/2	1/2	1		1	43	44
26	2.0	4	4	1/2	1/2	4/2	2	1	1/2	1/2	1		5	59	41
