mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	8.0	0	4/2	2	0					firstMeasure	2
2	2	8	8.0	0	4/2	2	0						3
3	3	16	8.0	0	4/2	2	0						4
4	4	24	8.0	0	4/2	2	0						5
5	5	32	8.0	0	4/2	2	0						6
6	6	40	8.0	0	4/2	2	0						7
7	7	48	8.0	0	4/2	2	0						8
8	8	56	8.0	0	4/2	2	0						9
9	9	64	4.0	0	2/2	1	0						10
10	10	68	8.0	0	4/2	2	0						11
11	11	76	4.0	0	2/2	1	0						12
12	12	80	4.0	0	2/2	1	0						13
13	13	84	4.0	0	2/2	1	0						14
14	14	88	4.0	0	2/2	1	0						15
15	15	92	4.0	0	2/2	1	0						16
16	16	96	4.0	0	2/2	1	0						17
17	17	100	4.0	0	2/2	1	0						18
18	18	104	4.0	0	2/2	1	0						19
19	19	108	4.0	0	2/2	1	0						20
20	20	112	4.0	0	2/2	1	0						21
21	21	116	4.0	0	2/2	1	0						22
22	22	120	4.0	0	2/2	1	0						23
23	23	124	8.0	0	4/2	2	0						24
24	24	132	8.0	0	4/2	2	0						25
25	25	140	4.0	0	2/2	1	0						26
26	26	144	4.0	0	2/2	1	0						27
27	27	148	4.0	0	2/2	1	0						28
28	28	152	4.0	0	2/2	1	0						29
29	29	156	4.0	0	2/2	1	0						30
30	30	160	8.0	0	4/2	2	0						31
31	31	168	8.0	0	4/2	2	0						32
32	32	176	8.0	0	4/2	2	0						33
33	33	184	8.0	0	4/2	2	0			end	section	lastMeasure	-1
