mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅗𝅥=90	180.0	𝅗𝅥	90.0	1.0
1	1	7	7	1.0	7/4	7/4	Chord	4/2	1	2	1/4	1/4	1	0					
1	1	0	0	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	1					
1	1	2	2	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	2					
1	1	3	3	2.0	3/4	3/4	Chord	4/2	2	1	1/2	1/2	1	3					
1	1	5	5	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	4					
1	1	6	6	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	5					
1	1	1	1	2.0	1/4	1/4	Chord	4/2	2	2	1/2	1/2	1	6					
1	1	3	3	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	7					
1	1	4	4	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	8					
1	1	5	5	2.0	5/4	5/4	Chord	4/2	2	2	1/2	1/2	1	9					
1	1	7	7	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	10					
2	2	8	8	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	11					
2	2	9	9	2.0	1/4	1/4	Chord	4/2	1	2	1/2	1/2	1	12					
2	2	11	11	2.0	3/4	3/4	Chord	4/2	1	2	1/2	1/2	1	13					
2	2	13	13	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	14					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	15					
2	2	8	8	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	16					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	17					
2	2	12	12	4.0	1	1	Chord	4/2	2	1	1	1	1	18					
2	2	8	8	1.5	0	0	Chord	4/2	2	2	3/8	1/4	3/2	19					
2	2	19/2	19/2	0.5	3/8	3/8	Chord	4/2	2	2	1/8	1/8	1	20					
2	2	10	10	1.0	1/2	1/2	Chord	4/2	2	2	1/4	1/4	1	21					
2	2	11	11	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	22					
2	2	12	12	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	23					
2	2	13	13	2.0	5/4	5/4	Chord	4/2	2	2	1/2	1/2	1	24					
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	25					
3	3	17	17	1.0	1/4	1/4	Chord	4/2	1	1	1/4	1/4	1	26					
3	3	18	18	1.0	1/2	1/2	Chord	4/2	1	1	1/4	1/4	1	27					
3	3	19	19	2.0	3/4	3/4	Chord	4/2	1	1	1/2	1/2	1	28					
3	3	21	21	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	29					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	30					
3	3	16	16	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	31					
3	3	17	17	2.0	1/4	1/4	Chord	4/2	1	2	1/2	1/2	1	32					
3	3	19	19	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	33					
3	3	20	20	4.0	1	1	Chord	4/2	1	2	1	1	1	34					
3	3	23	23	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	35					
3	3	16	16	1.0	0	0	Chord	4/2	2	2	1/4	1/4	1	36					
3	3	17	17	2.0	1/4	1/4	Chord	4/2	2	2	1/2	1/2	1	37					
3	3	19	19	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	38					
3	3	20	20	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	39					
3	3	21	21	2.0	5/4	5/4	Chord	4/2	2	2	1/2	1/2	1	40					
3	3	23	23	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	41					
4	4	24	24	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	42					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	43					
4	4	31	31	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	44					
4	4	27	27	2.0	3/4	3/4	Chord	4/2	1	2	1/2	1/2	1	45					
4	4	29	29	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	46					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	47					
4	4	24	24	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	48					
