mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=90	90.0	𝅘𝅥	90.0	1.0
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0						
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	1						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	2						
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	3						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	4						
1	1	2	2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	5						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	6						
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	7						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	8						
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	9						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	10						
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	11						
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	12						
2	2	4	4	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	13						
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	14						
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	15						
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	16						
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	17						
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	18						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	19						
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	20						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	21						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	22						
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	23						
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	24						
3	3	9	9	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	25						
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	26						
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	27						
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	28						
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	29						
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	30						
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	31						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	32						
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	33						
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	34						
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	35						
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	36						
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	37						
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	38						
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	39						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	40						
4	4	13	13	1.5	1/4	1/4	Chord	4/4	1	2	3/8	1/4	3/2	41						
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	42						
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	43						
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	44						
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	45						
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	46						
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	47						
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	48						
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	49						
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	50						
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	51						
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	52						
4	4	13	13	3.0	1/4	1/4	Chord	4/4	2	2	3/4	1/2	3/2	53						
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	54						
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	55						
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	56						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	57						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	58						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	59						
5	5	16	16	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	60						
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	61						
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	62						
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	63						
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	64						
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	65						
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	66						
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	67						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	68						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	69						
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	70						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	71						
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	72						
