mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅗𝅥=90	180.0	𝅗𝅥	90.0	1.0
1	1	2	2	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	0					
1	1	4	4	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	1					
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	2					
1	1	0	0	8.0	0	0	Chord	4/2	1	2	2	2	1	3					
1	1	2	2	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	4					
1	1	3	3	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	5					
1	1	4	4	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	6					
1	1	5	5	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	7					
1	1	6	6	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	8					
1	1	7	7	0.5	7/4	7/4	Chord	4/2	2	1	1/8	1/8	1	9					
1	1	15/2	15/2	0.5	15/8	15/8	Chord	4/2	2	1	1/8	1/8	1	10					
2	2	8	8	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	11					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	12					
2	2	12	12	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	13					
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	14					
2	2	8	8	8.0	0	0	Chord	4/2	1	2	2	2	1	15					
2	2	8	8	4.0	0	0	Chord	4/2	2	1	1	1	1	16					
2	2	12	12	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	17					
2	2	14	14	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	18					
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	19					
2	2	14	14	1.0	3/2	3/2	Chord	4/2	2	2	1/4	1/4	1	20					
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	21					
3	3	16	16	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	22					
3	3	18	18	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	23					
3	3	20	20	4.0	1	1	Chord	4/2	1	1	1	1	1	24					
3	3	16	16	8.0	0	0	Chord	4/2	1	2	2	2	1	25					
3	3	16	16	4.0	0	0	Chord	4/2	2	1	1	1	1	26					
3	3	22	22	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	27					
3	3	23	23	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	28					
3	3	16	16	1.0	0	0	Chord	4/2	2	2	1/4	1/4	1	29					
3	3	17	17	1.0	1/4	1/4	Chord	4/2	2	2	1/4	1/4	1	30					
3	3	18	18	1.0	1/2	1/2	Chord	4/2	2	2	1/4	1/4	1	31					
3	3	19	19	0.5	3/4	3/4	Chord	4/2	2	2	1/8	1/8	1	32					
3	3	39/2	39/2	0.5	7/8	7/8	Chord	4/2	2	2	1/8	1/8	1	33					
3	3	20	20	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	34					
3	3	21	21	2.0	5/4	5/4	Chord	4/2	2	2	1/2	1/2	1	35					
3	3	23	23	1.0	7/4	7/4	Chord	4/2	2	2	1/4	1/4	1	36					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	37					
4	4	24	24	8.0	0	0	Chord	4/2	1	2	2	2	1	38					
4	4	24	24	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	39					
4	4	25	25	1.0	1/4	1/4	Chord	4/2	2	1	1/4	1/4	1	40					
4	4	26	26	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	41					
4	4	27	27	0.5	3/4	3/4	Chord	4/2	2	1	1/8	1/8	1	42					
4	4	55/2	55/2	0.5	7/8	7/8	Chord	4/2	2	1	1/8	1/8	1	43					
4	4	28	28	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	44					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	45					
4	4	24	24	1.0	0	0	Chord	4/2	2	2	1/4	1/4	1	46					
4	4	25	25	1.0	1/4	1/4	Chord	4/2	2	2	1/4	1/4	1	47					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	48					
4	4	28	28	2.0	1	1	Chord	4/2	2	2	1/2	1/2	1	49					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	50					
5	5	32	32	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	51					
5	5	34	34	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	52					
5	5	36	36	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	53					
5	5	38	38	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	54					
5	5	32	32	8.0	0	0	Chord	4/2	1	2	2	2	1	55					
5	5	32	32	3.0	0	0	Chord	4/2	2	1	3/4	1/2	3/2	56					
5	5	35	35	0.5	3/4	3/4	Chord	4/2	2	1	1/8	1/8	1	57					
5	5	71/2	71/2	0.5	7/8	7/8	Chord	4/2	2	1	1/8	1/8	1	58					
5	5	36	36	4.0	1	1	Chord	4/2	2	1	1	1	1	59					
5	5	32	32	4.0	0	0	Chord	4/2	2	2	1	1	1	60					
6	6	40	40	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	61					
6	6	42	42	4.0	1/2	1/2	Chord	4/2	1	1	1	1	1	62					
6	6	46	46	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	63					
6	6	40	40	8.0	0	0	Chord	4/2	1	2	2	2	1	64					
6	6	40	40	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	65					
6	6	42	42	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	66					
6	6	44	44	4.0	1	1	Chord	4/2	2	1	1	1	1	67					
6	6	42	42	1.0	1/2	1/2	Chord	4/2	2	2	1/4	1/4	1	68					
6	6	43	43	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	69					
6	6	44	44	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	70					
6	6	45	45	1.0	5/4	5/4	Chord	4/2	2	2	1/4	1/4	1	71					
6	6	46	46	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	72					
7	7	48	48	4.0	0	0	Chord	4/2	1	1	1	1	1	73					
7	7	48	48	8.0	0	0	Chord	4/2	1	2	2	2	1	74					
7	7	50	50	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	75					
7	7	51	51	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	76					
7	7	52	52	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	77					
7	7	53	53	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	78					
7	7	54	54	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	79					
7	7	55	55	0.5	7/4	7/4	Chord	4/2	2	1	1/8	1/8	1	80					
7	7	111/2	111/2	0.5	15/8	15/8	Chord	4/2	2	1	1/8	1/8	1	81					
7	7	48	48	4.0	0	0	Chord	4/2	2	2	1	1	1	82					
7	7	52	52	4.0	1	1	Chord	4/2	2	2	1	1	1	83					
8	8	62	62	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	84					
8	8	56	56	8.0	0	0	Chord	4/2	1	2	2	2	1	85					
8	8	56	56	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	86					
8	8	57	57	1.0	1/4	1/4	Chord	4/2	2	1	1/4	1/4	1	87					
8	8	58	58	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	88					
8	8	60	60	4.0	1	1	Chord	4/2	2	1	1	1	1	89					
8	8	58	58	1.0	1/2	1/2	Chord	4/2	2	2	1/4	1/4	1	90					
8	8	59	59	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	91					
8	8	60	60	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	92					
8	8	61	61	1.0	5/4	5/4	Chord	4/2	2	2	1/4	1/4	1	93					
8	8	62	62	1.0	3/2	3/2	Chord	4/2	2	2	1/4	1/4	1	94					
8	8	63	63	0.5	7/4	7/4	Chord	4/2	2	2	1/8	1/8	1	95					
8	8	127/2	127/2	0.5	15/8	15/8	Chord	4/2	2	2	1/8	1/8	1	96					
9	9	64	64	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	97					
9	9	66	66	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	98					
9	9	68	68	3.0	1	1	Chord	4/2	1	1	3/4	1/2	3/2	99					
9	9	71	71	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	100					
9	9	64	64	8.0	0	0	Chord	4/2	1	2	2	2	1	101					
9	9	64	64	1.0	0	0	Chord	4/2	2	2	1/4	1/4	1	102					
9	9	65	65	2.0	1/4	1/4	Chord	4/2	2	2	1/2	1/2	1	103					
9	9	67	67	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	104					
9	9	68	68	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	105					
9	9	69	69	1.0	5/4	5/4	Chord	4/2	2	2	1/4	1/4	1	106					
9	9	70	70	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	107					
10	10	72	72	1.0	0	0	Chord	4/2	1	1	1/4	1/4	1	108					
10	10	73	73	0.5	1/4	1/4	Chord	4/2	1	1	1/8	1/8	1	109					
10	10	147/2	147/2	0.5	3/8	3/8	Chord	4/2	1	1	1/8	1/8	1	110					
10	10	74	74	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	111					
10	10	76	76	3.0	1	1	Chord	4/2	1	1	3/4	1/2	3/2	112					
10	10	79	79	0.5	7/4	7/4	Chord	4/2	1	1	1/8	1/8	1	113					
10	10	159/2	159/2	0.5	15/8	15/8	Chord	4/2	1	1	1/8	1/8	1	114					
10	10	72	72	8.0	0	0	Chord	4/2	1	2	2	2	1	115					
10	10	74	74	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	116					
