mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0				𝅝=50	200.0	𝅝	50.0	0.0
1	1	0	0	3.0	0	0	Chord	4/2	1	2	3/4	1/2	3/2	0					
1	1	3	3	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	1					
1	1	4	4	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	2					
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	3					
2	2	8	8	1.5	0	0	Chord	4/2	1	2	3/8	1/4	3/2	4					
2	2	19/2	19/2	0.5	3/8	3/8	Chord	4/2	1	2	1/8	1/8	1	5					
2	2	10	10	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	6					
2	2	12	12	1.0	1	1	Chord	4/2	1	2	1/4	1/4	1	7					
2	2	13	13	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	8					
2	2	14	14	1.0	3/2	3/2	Chord	4/2	1	2	1/4	1/4	1	9					
2	2	15	15	1.0	7/4	7/4	Chord	4/2	1	2	1/4	1/4	1	10					
2	2	13	13	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	11					
2	2	14	14	0.5	3/2	3/2	Chord	4/2	2	1	1/8	1/8	1	12					
2	2	29/2	29/2	0.5	13/8	13/8	Chord	4/2	2	1	1/8	1/8	1	13					
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	14					
3	3	17	17	2.0	1/4	1/4	Chord	4/2	1	1	1/2	1/2	1	15					
3	3	19	19	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	16					
3	3	20	20	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	17					
3	3	22	22	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	18					
3	3	16	16	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	19					
3	3	18	18	3.0	1/2	1/2	Chord	4/2	1	2	3/4	1/2	3/2	20					
3	3	21	21	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	21					
3	3	22	22	1.0	3/2	3/2	Chord	4/2	1	2	1/4	1/4	1	22					
3	3	23	23	1.0	7/4	7/4	Chord	4/2	1	2	1/4	1/4	1	23					
3	3	16	16	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	24					
3	3	17	17	0.5	1/4	1/4	Chord	4/2	2	1	1/8	1/8	1	25					
3	3	35/2	35/2	0.5	3/8	3/8	Chord	4/2	2	1	1/8	1/8	1	26					
3	3	18	18	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	27					
3	3	20	20	4.0	1	1	Chord	4/2	2	1	1	1	1	28					
4	4	24	24	1.5	0	0	Chord	4/2	1	1	3/8	1/4	3/2	29					
4	4	51/2	51/2	0.5	3/8	3/8	Chord	4/2	1	1	1/8	1/8	1	30					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	31					
4	4	29	29	1.0	5/4	5/4	Chord	4/2	1	1	1/4	1/4	1	32					
4	4	30	30	0.5	3/2	3/2	Chord	4/2	1	1	1/8	1/8	1	33					
4	4	61/2	61/2	0.5	13/8	13/8	Chord	4/2	1	1	1/8	1/8	1	34					
4	4	31	31	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	35					
4	4	24	24	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	36					
4	4	25	25	1.0	1/4	1/4	Chord	4/2	1	2	1/4	1/4	1	37					
4	4	26	26	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	38					
4	4	28	28	1.0	1	1	Chord	4/2	1	2	1/4	1/4	1	39					
4	4	29	29	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	40					
4	4	30	30	1.0	3/2	3/2	Chord	4/2	1	2	1/4	1/4	1	41					
4	4	31	31	1.0	7/4	7/4	Chord	4/2	1	2	1/4	1/4	1	42					
4	4	24	24	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	43					
4	4	26	26	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	44					
4	4	27	27	1.0	3/4	3/4	Chord	4/2	2	1	1/4	1/4	1	45					
4	4	28	28	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	46					
4	4	30	30	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	47					
4	4	28	28	1.0	1	1	Chord	4/2	2	2	1/4	1/4	1	48					
