mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0					𝅗𝅥=67	134.0	𝅗𝅥	67.0	1.0
1	1	0	0	8.0	0	0	Chord	4/2	1	1	2	2	1	0						
1	1	0	0	6.0	0	0	Chord	4/2	1	2	3/2	1	3/2	1						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	2						
1	1	0	0	6.0	0	0	Chord	4/2	2	1	3/2	1	3/2	3						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	4						
1	1	0	0	4.0	0	0	Chord	4/2	2	2	1	1	1	5						
1	1	4	4	4.0	1	1	Chord	4/2	2	2	1	1	1	6						
2	2	8	8	4.0	0	0	Chord	4/2	1	1	1	1	1	7						
2	2	12	12	4.0	1	1	Chord	4/2	1	1	1	1	1	8						
2	2	8	8	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	9						
2	2	10	10	4.0	1/2	1/2	Chord	4/2	1	2	1	1	1	10						
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	11						
2	2	8	8	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	12						
2	2	10	10	4.0	1/2	1/2	Chord	4/2	2	1	1	1	1	13						
2	2	14	14	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	14						
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	15						
2	2	8	8	2.0	0	0	Chord	4/2	2	2	1/2	1/2	1	16						
2	2	10	10	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	17						
2	2	12	12	4.0	1	1	Chord	4/2	2	2	1	1	1	18						
3	3	16	16	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	19						
3	3	18	18	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	20						
3	3	20	20	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	21						
3	3	22	22	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	22						
3	3	23	23	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	23						
3	3	16	16	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	24						
3	3	18	18	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	25						
3	3	20	20	4.0	1	1	Chord	4/2	1	2	1	1	1	26						
3	3	16	16	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	27						
3	3	18	18	4.0	1/2	1/2	Chord	4/2	2	1	1	1	1	28						
3	3	22	22	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	29						
3	3	16	16	4.0	0	0	Chord	4/2	2	2	1	1	1	30						
3	3	20	20	2.0	1	1	Chord	4/2	2	2	1/2	1/2	1	31						
3	3	22	22	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	32						
4	4	24	24	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	33						
4	4	26	26	4.0	1/2	1/2	Chord	4/2	1	1	1	1	1	34						
4	4	30	30	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	35						
4	4	24	24	4.0	0	0	Chord	4/2	1	2	1	1	1	36						
4	4	28	28	1.0	1	1	Chord	4/2	1	2	1/4	1/4	1	37						
4	4	29	29	2.0	5/4	5/4	Chord	4/2	1	2	1/2	1/2	1	38						
4	4	31	31	1.0	7/4	7/4	Chord	4/2	1	2	1/4	1/4	1	39						
4	4	24	24	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	40						
4	4	26	26	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	41						
4	4	28	28	4.0	1	1	Chord	4/2	2	1	1	1	1	42						
4	4	24	24	2.0	0	0	Chord	4/2	2	2	1/2	1/2	1	43						
4	4	26	26	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	44						
4	4	28	28	4.0	1	1	Chord	4/2	2	2	1	1	1	45						
5	5	32	32	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	46						
5	5	34	34	4.0	1/2	1/2	Chord	4/2	1	1	1	1	1	47						
5	5	38	38	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	48						
5	5	32	32	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	49						
5	5	33	33	2.0	1/4	1/4	Chord	4/2	1	2	1/2	1/2	1	50						
5	5	35	35	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	51						
5	5	36	36	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	52						
5	5	38	38	1.0	3/2	3/2	Chord	4/2	1	2	1/4	1/4	1	53						
5	5	39	39	1.0	7/4	7/4	Chord	4/2	1	2	1/4	1/4	1	54						
5	5	32	32	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	55						
5	5	34	34	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	56						
5	5	36	36	4.0	1	1	Chord	4/2	2	1	1	1	1	57						
5	5	32	32	6.0	0	0	Chord	4/2	2	2	3/2	1	3/2	58						
5	5	38	38	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	59						
6	6	40	40	8.0	0	0	Chord	4/2	1	1	2	2	1	60						
6	6	40	40	2.0	0	0	Chord	4/2	1	2	1/2	1/2	1	61						
6	6	42	42	2.0	1/2	1/2	Chord	4/2	1	2	1/2	1/2	1	62						
6	6	44	44	4.0	1	1	Chord	4/2	1	2	1	1	1	63						
6	6	40	40	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	64						
6	6	42	42	4.0	1/2	1/2	Chord	4/2	2	1	1	1	1	65						
6	6	46	46	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	66						
6	6	40	40	3.0	0	0	Chord	4/2	2	2	3/4	1/2	3/2	67						
6	6	43	43	1.0	3/4	3/4	Chord	4/2	2	2	1/4	1/4	1	68						
6	6	44	44	4.0	1	1	Chord	4/2	2	2	1	1	1	69						
7	7	48	48	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	70						
7	7	50	50	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	71						
7	7	52	52	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	72						
7	7	54	54	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	73						
7	7	48	48	4.0	0	0	Chord	4/2	1	2	1	1	1	74						
7	7	54	54	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	75						
7	7	48	48	8.0	0	0	Chord	4/2	2	1	2	2	1	76						
7	7	48	48	4.0	0	0	Chord	4/2	2	2	1	1	1	77						
8	8	56	56	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	78						
8	8	58	58	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	79						
8	8	60	60	4.0	1	1	Chord	4/2	1	1	1	1	1	80						
8	8	56	56	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	81						
8	8	57	57	1.0	1/4	1/4	Chord	4/2	1	2	1/4	1/4	1	82						
8	8	58	58	3.0	1/2	1/2	Chord	4/2	1	2	3/4	1/2	3/2	83						
8	8	61	61	1.0	5/4	5/4	Chord	4/2	1	2	1/4	1/4	1	84						
8	8	62	62	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	85						
8	8	62	62	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	86						
