mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	8/4	1	1	0				𝅗𝅥=45	90.0	𝅗𝅥	45.0	0.0
1	1	0	0	4.0	0	0	Chord	8/4	1	2	1	1	1	0					
1	1	4	4	2.0	1	1	Chord	8/4	1	2	1/2	1/2	1	1					
1	1	6	6	2.0	3/2	3/2	Chord	8/4	1	2	1/2	1/2	1	2					
1	1	2	2	0.5	1/2	1/2	Chord	8/4	2	1	1/8	1/8	1	3					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	8/4	2	1	1/8	1/8	1	4					
1	1	3	3	0.5	3/4	3/4	Chord	8/4	2	1	1/8	1/8	1	5					
1	1	7/2	7/2	0.5	7/8	7/8	Chord	8/4	2	1	1/8	1/8	1	6					
1	1	4	4	0.5	1	1	Chord	8/4	2	1	1/8	1/8	1	7					
1	1	9/2	9/2	0.5	9/8	9/8	Chord	8/4	2	1	1/8	1/8	1	8					
1	1	5	5	0.5	5/4	5/4	Chord	8/4	2	1	1/8	1/8	1	9					
1	1	11/2	11/2	0.25	11/8	11/8	Chord	8/4	2	1	1/16	1/16	1	10					
1	1	23/4	23/4	0.25	23/16	23/16	Chord	8/4	2	1	1/16	1/16	1	11					
1	1	6	6	0.5	3/2	3/2	Chord	8/4	2	1	1/8	1/8	1	12					
1	1	13/2	13/2	0.5	13/8	13/8	Chord	8/4	2	1	1/8	1/8	1	13					
1	1	7	7	0.5	7/4	7/4	Chord	8/4	2	1	1/8	1/8	1	14					
1	1	15/2	15/2	0.5	15/8	15/8	Chord	8/4	2	1	1/8	1/8	1	15					
2	2	9	9	0.5	1/4	1/4	Chord	8/4	1	1	1/8	1/8	1	16					
2	2	19/2	19/2	0.5	3/8	3/8	Chord	8/4	1	1	1/8	1/8	1	17					
2	2	10	10	0.5	1/2	1/2	Chord	8/4	1	1	1/8	1/8	1	18					
2	2	21/2	21/2	0.5	5/8	5/8	Chord	8/4	1	1	1/8	1/8	1	19					
2	2	11	11	0.5	3/4	3/4	Chord	8/4	1	1	1/8	1/8	1	20					
2	2	23/2	23/2	0.5	7/8	7/8	Chord	8/4	1	1	1/8	1/8	1	21					
2	2	12	12	0.5	1	1	Chord	8/4	1	1	1/8	1/8	1	22					
2	2	25/2	25/2	0.5	9/8	9/8	Chord	8/4	1	1	1/8	1/8	1	23					
2	2	13	13	0.5	5/4	5/4	Chord	8/4	1	1	1/8	1/8	1	24					
2	2	27/2	27/2	0.25	11/8	11/8	Chord	8/4	1	1	1/16	1/16	1	25					
2	2	55/4	55/4	0.25	23/16	23/16	Chord	8/4	1	1	1/16	1/16	1	26					
2	2	14	14	0.5	3/2	3/2	Chord	8/4	1	1	1/8	1/8	1	27					
2	2	29/2	29/2	0.5	13/8	13/8	Chord	8/4	1	1	1/8	1/8	1	28					
2	2	15	15	0.5	7/4	7/4	Chord	8/4	1	1	1/8	1/8	1	29					
2	2	31/2	31/2	0.5	15/8	15/8	Chord	8/4	1	1	1/8	1/8	1	30					
2	2	8	8	2.0	0	0	Chord	8/4	1	2	1/2	1/2	1	31					
2	2	10	10	2.0	1/2	1/2	Chord	8/4	1	2	1/2	1/2	1	32					
2	2	12	12	2.0	1	1	Chord	8/4	1	2	1/2	1/2	1	33					
2	2	14	14	2.0	3/2	3/2	Chord	8/4	1	2	1/2	1/2	1	34					
2	2	8	8	2.0	0	0	Chord	8/4	2	1	1/2	1/2	1	35					
2	2	9	9	0.5	1/4	1/4	Chord	8/4	2	2	1/8	1/8	1	36					
2	2	19/2	19/2	0.5	3/8	3/8	Chord	8/4	2	2	1/8	1/8	1	37					
2	2	10	10	0.5	1/2	1/2	Chord	8/4	2	2	1/8	1/8	1	38					
2	2	21/2	21/2	0.5	5/8	5/8	Chord	8/4	2	2	1/8	1/8	1	39					
2	2	11	11	2.0	3/4	3/4	Chord	8/4	2	2	1/2	1/2	1	40					
2	2	13	13	2.0	5/4	5/4	Chord	8/4	2	2	1/2	1/2	1	41					
2	2	15	15	1.0	7/4	7/4	Chord	8/4	2	2	1/4	1/4	1	42					
3	3	16	16	2.0	0	0	Chord	8/4	1	1	1/2	1/2	1	43					
3	3	18	18	2.0	1/2	1/2	Chord	8/4	1	1	1/2	1/2	1	44					
3	3	23	23	1.0	7/4	7/4	Chord	8/4	1	1	1/4	1/4	1	45					
3	3	16	16	1.0	0	0	Chord	8/4	1	2	1/4	1/4	1	46					
3	3	17	17	0.5	1/4	1/4	Chord	8/4	1	2	1/8	1/8	1	47					
3	3	35/2	35/2	0.5	3/8	3/8	Chord	8/4	1	2	1/8	1/8	1	48					
3	3	18	18	0.5	1/2	1/2	Chord	8/4	1	2	1/8	1/8	1	49					
3	3	37/2	37/2	0.5	5/8	5/8	Chord	8/4	1	2	1/8	1/8	1	50					
3	3	19	19	0.5	3/4	3/4	Chord	8/4	1	2	1/8	1/8	1	51					
3	3	39/2	39/2	1.0	7/8	7/8	Chord	8/4	1	2	1/4	1/4	1	52					
3	3	41/2	41/2	0.25	9/8	9/8	Chord	8/4	1	2	1/16	1/16	1	53					
3	3	83/4	83/4	0.25	19/16	19/16	Chord	8/4	1	2	1/16	1/16	1	54					
3	3	21	21	1.0	5/4	5/4	Chord	8/4	1	2	1/4	1/4	1	55					
3	3	22	22	1.0	3/2	3/2	Chord	8/4	1	2	1/4	1/4	1	56					
3	3	23	23	0.5	7/4	7/4	Chord	8/4	1	2	1/8	1/8	1	57					
3	3	47/2	47/2	0.5	15/8	15/8	Chord	8/4	1	2	1/8	1/8	1	58					
3	3	18	18	2.0	1/2	1/2	Chord	8/4	2	1	1/2	1/2	1	59					
3	3	20	20	2.0	1	1	Chord	8/4	2	1	1/2	1/2	1	60					
3	3	22	22	2.0	3/2	3/2	Chord	8/4	2	1	1/2	1/2	1	61					
3	3	16	16	0.5	0	0	Chord	8/4	2	2	1/8	1/8	1	62					
3	3	33/2	33/2	0.5	1/8	1/8	Chord	8/4	2	2	1/8	1/8	1	63					
3	3	17	17	0.5	1/4	1/4	Chord	8/4	2	2	1/8	1/8	1	64					
3	3	35/2	35/2	0.5	3/8	3/8	Chord	8/4	2	2	1/8	1/8	1	65					
3	3	18	18	0.5	1/2	1/2	Chord	8/4	2	2	1/8	1/8	1	66					
3	3	37/2	37/2	0.5	5/8	5/8	Chord	8/4	2	2	1/8	1/8	1	67					
3	3	19	19	1.0	3/4	3/4	Chord	8/4	2	2	1/4	1/4	1	68					
3	3	20	20	2.0	1	1	Chord	8/4	2	2	1/2	1/2	1	69					
3	3	22	22	2.0	3/2	3/2	Chord	8/4	2	2	1/2	1/2	1	70					
4	4	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	71					
4	4	25	25	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	72					
4	4	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	73					
4	4	24	24	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	74					
4	4	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	75					
4	4	25	25	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	76					
4	4	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	77					
4	4	26	26	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	78					
4	4	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	79					
4	4	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	80					
4	4	27	27	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	81					
4	4	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	82					
