mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/2	1	1	0					𝅗𝅥=50	100.0	𝅗𝅥	50.0	0.0
1	1	0	0	3.0	0	0	Chord	4/2	1	1	3/4	1/2	3/2	0						
1	1	3	3	1.0	3/4	3/4	Chord	4/2	1	1	1/4	1/4	1	1						
1	1	4	4	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	2						
1	1	6	6	1.0	3/2	3/2	Chord	4/2	1	1	1/4	1/4	1	3						
1	1	7	7	1.0	7/4	7/4	Chord	4/2	1	1	1/4	1/4	1	4						
1	1	0	0	3.0	0	0	Chord	4/2	1	2	3/4	1/2	3/2	5						
1	1	3	3	0.5	3/4	3/4	Chord	4/2	1	2	1/8	1/8	1	6						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/2	1	2	1/8	1/8	1	7						
1	1	4	4	2.0	1	1	Chord	4/2	1	2	1/2	1/2	1	8						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	1	2	1/2	1/2	1	9						
1	1	0	0	4.0	0	0	Chord	4/2	2	1	1	1	1	10						
1	1	4	4	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	11						
1	1	6	6	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	12						
1	1	2	2	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	13						
1	1	4	4	4.0	1	1	Chord	4/2	2	2	1	1	1	14						
2	2	8	8	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	15						
2	2	10	10	2.0	1/2	1/2	Chord	4/2	1	1	1/2	1/2	1	16						
2	2	12	12	2.0	1	1	Chord	4/2	1	1	1/2	1/2	1	17						
2	2	14	14	2.0	3/2	3/2	Chord	4/2	1	1	1/2	1/2	1	18						
2	2	8	8	1.0	0	0	Chord	4/2	1	2	1/4	1/4	1	19						
2	2	9	9	1.0	1/4	1/4	Chord	4/2	1	2	1/4	1/4	1	20						
2	2	10	10	1.0	1/2	1/2	Chord	4/2	1	2	1/4	1/4	1	21						
2	2	11	11	1.0	3/4	3/4	Chord	4/2	1	2	1/4	1/4	1	22						
2	2	12	12	4.0	1	1	Chord	4/2	1	2	1	1	1	23						
2	2	8	8	2.0	0	0	Chord	4/2	2	1	1/2	1/2	1	24						
2	2	10	10	2.0	1/2	1/2	Chord	4/2	2	1	1/2	1/2	1	25						
2	2	12	12	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	26						
2	2	14	14	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	27						
2	2	15	15	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	28						
2	2	8	8	2.0	0	0	Chord	4/2	2	2	1/2	1/2	1	29						
2	2	10	10	2.0	1/2	1/2	Chord	4/2	2	2	1/2	1/2	1	30						
2	2	12	12	2.0	1	1	Chord	4/2	2	2	1/2	1/2	1	31						
2	2	14	14	2.0	3/2	3/2	Chord	4/2	2	2	1/2	1/2	1	32						
3	3	16	16	2.0	0	0	Chord	4/2	1	1	1/2	1/2	1	33						
3	3	18	18	3.0	1/2	1/2	Chord	4/2	1	1	3/4	1/2	3/2	34						
